id,TreEL200607280
info,visteam,AkrEL
info,hometeam,TreEL
info,date,2006/07/28
start,435626,Clay Timpner,0,1,8
start,455723,Derin McMains,0,2,4
start,435625,Nate Schierholtz,0,3,9
start,452245,Eddy Martinez-Esteve,0,4,7
start,447800,Tyler Von Schell,0,5,10
start,448170,Travis Ishikawa,0,6,3
start,452269,Aaron Sisk,0,7,5
start,430653,Justin Knoedler,0,8,2
start,430929,Jake Wald,0,9,6
start,455960,Jesse Floyd,0,0,1
start,451668,Gabe Lopez,1,1,4
start,450363,Bronson Sardinha,1,2,9
start,446858,Kevin Howard,1,3,10
start,455167,Shelley Duncan,1,4,3
start,435405,Caonabo Cosme,1,5,6
start,451629,Justin Christian,1,6,7
start,425479,Vince Faison,1,7,8
start,447670,JT Stotts,1,8,5
start,457499,Tom Rojas,1,9,2
start,330892,Kris Wilson,1,0,1
play,1,0,435626,,,13/G
play,1,0,455723,,,53/G
play,1,0,435625,,,63/G
play,1,1,451668,,,63/G
play,1,1,450363,,,K
play,1,1,446858,,,S9/G
play,1,1,455167,,,W.1-2
play,1,1,435405,,,9/F
play,2,0,452245,,,9/F
play,2,0,447800,,,E5
play,2,0,448170,,,HR/F.1-H
play,2,0,452269,,,63/G
play,2,0,430653,,,53/G
play,2,1,451629,,,T9/L
play,2,1,425479,,,13/G
play,2,1,447670,,,S9/G.3-H
play,2,1,457499,,,63/G.1-2
play,2,1,451668,,,7/F
play,3,0,430929,,,HR/F
play,3,0,435626,,,9/F
play,3,0,455723,,,W
play,3,0,435625,,,64(1)3/GDP/G6
play,3,1,450363,,,E5
play,3,1,446858,,,HR/F.1-H
play,3,1,455167,,,63/G
play,3,1,435405,,,9/F
play,3,1,451629,,,4/L
play,4,0,452245,,,S8/G
play,4,0,447800,,,9/F
play,4,0,448170,,,D9/L.1-3
play,4,0,452269,,,IW
play,4,0,430653,,,HR/F.1-H;2-H;3-H
play,4,0,430929,,,43/G
play,4,0,435626,,,T8/L
play,4,0,455723,,,NP
sub,434521,Michael Brunet,1,0,1
play,4,0,455723,,,2/PF
play,4,1,425479,,,9/F
play,4,1,447670,,,W
play,4,1,457499,,,9/F
play,4,1,451668,,,6/P
play,5,0,435625,,,7/F
play,5,0,452245,,,63/G
play,5,0,447800,,,S9/L
play,5,0,448170,,,W.1-2
play,5,0,452269,,,8/F
play,5,1,450363,,,NP
sub,445956,Mike Musgrave,0,0,1
play,5,1,450363,,,7/L
play,5,1,446858,,,W
play,5,1,455167,,,W.1-2
play,5,1,435405,,,PB.1-2;2-3
play,5,1,435405,,,S8/F.2-3;3-H
play,5,1,451629,,,S7/L.1-2;3-H
play,5,1,425479,,,8/F
play,5,1,447670,,,FC6/G.1X2(64)
play,6,0,430653,,,8/F
play,6,0,430929,,,8/F
play,6,0,435626,,,NP
sub,425899,Charlie Manning,1,0,1
play,6,0,435626,,,4/L
play,6,1,457499,,,9/F
play,6,1,451668,,,4/P
play,6,1,450363,,,NP
sub,457910,Eugene Espineli,0,0,1
play,6,1,450363,,,9/F
play,7,0,455723,,,3/PF
play,7,0,435625,,,8/F
play,7,0,452245,,,53/G
play,7,1,446858,,,6/P
play,7,1,455167,,,NP
sub,455756,RD Spiehs,0,0,1
play,7,1,455167,,,D7/L
play,7,1,435405,,,63/G.2-3
play,7,1,451629,,,43/G
play,8,0,447800,,,S7/L
play,8,0,448170,,,NP
sub,454536,Randy Walter,0,5,12
play,8,0,448170,,,K
play,8,0,452269,,,54(1)3/GDP/G5
play,8,1,425479,,,NP
sub,454536,Randy Walter,0,5,10
play,8,1,447670,,,NP
sub,452724,Billy Sadler,0,0,1
play,8,1,425479,,,S9/L
play,8,1,447670,,,6(1)3/G6/GDP
play,8,1,457499,,,NP
sub,455369,Ramiro Pena,1,9,11
play,8,1,455369,,,W
play,8,1,451668,,,WP.1-2
play,8,1,451668,,,K
play,9,0,430653,,,NP
sub,435408,Omir Santos,1,9,2
play,9,0,430653,,,4/P
play,9,0,430929,,,E1/TH
play,9,0,435626,,,K
play,9,0,455723,,,S9/L.1-3
play,9,0,435625,,,8/F
play,9,1,450363,,,NP
sub,455730,Jason Waddell,0,0,1
play,9,1,450363,,,5/L
play,9,1,446858,,,D7/L
play,9,1,455167,,,NP
sub,461213,Joe Bateman,0,0,1
play,9,1,455167,,,K
play,9,1,435405,,,8/F
id,TreEL200604170
info,visteam,AltEL
info,hometeam,TreEL
info,date,2006/04/17
start,430829,Rich Thompson,0,1,8
start,444839,Craig Stansberry,0,2,4
start,470731,Rafael Alvarez,0,3,10
start,425648,Travis Chapman,0,4,5
start,430561,Simon Pond,0,5,3
start,452721,Adam Boeve,0,6,9
start,444422,Vic Buttler,0,7,7
start,466283,Javier Guzman,0,8,6
start,445106,Octavio Martinez,0,9,2
start,446927,Michael Connolly,0,0,1
start,451629,Justin Christian,1,1,7
start,451668,Gabe Lopez,1,2,4
start,446858,Kevin Howard,1,3,5
start,455167,Shelley Duncan,1,4,3
start,435408,Omir Santos,1,5,2
start,455369,Ramiro Pena,1,6,6
start,435405,Caonabo Cosme,1,7,10
start,460652,Rudy Guillen,1,8,9
start,425479,Vince Faison,1,9,8
start,447741,Steven White,1,0,1
play,1,0,430829,,,K
play,1,0,444839,,,7/F
play,1,0,470731,,,K
play,1,1,451629,,,8/F
play,1,1,451668,,,W
play,1,1,446858,,,2/PF
play,1,1,455167,,,HP.1-2
play,1,1,435408,,,K
play,2,0,425648,,,8/F
play,2,0,430561,,,3/G
play,2,0,452721,,,63/G
play,2,1,455369,,,9/F
play,2,1,435405,,,S7/L
play,2,1,460652,,,53/G.1-2
play,2,1,425479,,,S9/L.2-H
play,2,1,451629,,,T8/F.1-H
play,2,1,451668,,,W
play,2,1,446858,,,S5/G.1-3(E5)(E5/TH);3-H
play,2,1,455167,,,8/F
play,3,0,444422,,,43/G
play,3,0,466283,,,13/G
play,3,0,445106,,,HP
play,3,0,430829,,,W.1-2
play,3,0,444839,,,5/P
play,3,1,435408,,,9/F
play,3,1,455369,,,D7/L
play,3,1,435405,,,W
play,3,1,460652,,,E1/TH.1-2;2-3
play,3,1,425479,,,9/SF.3-H
play,3,1,451629,,,4/P
play,4,0,470731,,,13/G
play,4,0,425648,,,S5/G
play,4,0,430561,,,7/F
play,4,0,452721,,,S7/F.1-2
play,4,0,444422,,,3/G
play,4,1,451668,,,NP
sub,456558,Shane Youman,0,0,1
play,4,1,451668,,,143/G1
play,4,1,446858,,,8/F
play,4,1,455167,,,13/G
play,5,0,466283,,,K
play,5,0,445106,,,K
play,5,0,430829,,,D7/F
play,5,0,444839,,,4/P
play,5,1,435408,,,D8/F
play,5,1,455369,,,S2/BG.2-3
play,5,1,435405,,,8/SF.3-H
play,5,1,460652,,,FC6/G.1X2(64);B-1
play,5,1,425479,,,8/F
play,6,0,470731,,,K
play,6,0,425648,,,K
play,6,0,430561,,,3/G
play,6,1,451629,,,S8/G
play,6,1,451668,,,SB2
play,6,1,451668,,,W
play,6,1,446858,,,FC6/G.1X2(64);2-3;B-1
play,6,1,455167,,,FC6/G.1X2(64);3-H;B-1
play,6,1,435408,,,FC6/G.1X2(64)
play,7,0,452721,,,K
play,7,0,444422,,,W
play,7,0,466283,,,NP
sub,446884,T. J. Beam,1,0,1
play,7,0,466283,,,8/F
play,7,0,445106,,,S9/L.1-2
play,7,0,430829,,,K
play,7,1,455369,,,143/G1
play,7,1,435405,,,7/F
play,7,1,460652,,,43/G
play,8,0,444839,,,8/F
play,8,0,470731,,,7/F
play,8,0,425648,,,43/G
play,8,1,425479,,,NP
sub,430655,Jorge Vasquez,0,0,1
play,8,1,425479,,,S9/L
play,8,1,451629,,,W.1-2
play,8,1,451668,,,K
play,8,1,446858,,,S7/F.1-3;2-H
play,8,1,455167,,,W.1-2
play,8,1,435408,,,W.1-2;2-3;3-H
play,8,1,455369,,,NP
sub,452293,Jonathan Albaladejo,0,0,1
play,8,1,455369,,,7/SF.3-H
play,8,1,435405,,,9/F
play,9,0,430561,,,43/G
play,9,0,452721,,,43/G
play,9,0,444422,,,K
id,TreEL200604180
info,visteam,AltEL
info,hometeam,TreEL
info,date,2006/04/18
start,430829,Rich Thompson,0,1,8
start,444839,Craig Stansberry,0,2,4
start,470731,Rafael Alvarez,0,3,10
start,425648,Travis Chapman,0,4,5
start,430561,Simon Pond,0,5,3
start,452721,Adam Boeve,0,6,9
start,444422,Vic Buttler,0,7,7
start,466283,Javier Guzman,0,8,6
start,450248,Milver Reyes,0,9,2
start,455039,Landon Jacobsen,0,0,1
start,451629,Justin Christian,1,1,7
start,451668,Gabe Lopez,1,2,4
start,446858,Kevin Howard,1,3,5
start,455167,Shelley Duncan,1,4,3
start,450363,Bronson Sardinha,1,5,9
start,455369,Ramiro Pena,1,6,6
start,435408,Omir Santos,1,7,2
start,435405,Caonabo Cosme,1,8,10
start,425479,Vince Faison,1,9,8
start,461325,Tyler Clippard,1,0,1
play,1,0,430829,,,K
play,1,0,444839,,,HR/F
play,1,0,470731,,,13/G
play,1,0,425648,,,7/F
play,1,1,451629,,,S9/L
play,1,1,451668,,,SB2
play,1,1,451668,,,43/G.2-3
play,1,1,446858,,,K
play,1,1,455167,,,W
play,1,1,450363,,,S8/L.1-2;3-H
play,1,1,455369,,,6/P
play,2,0,430561,,,K
play,2,0,452721,,,K
play,2,0,444422,,,K
play,2,1,435408,,,13/G
play,2,1,435405,,,S9/L
play,2,1,425479,,,FC6/G.1X2(6);B-1
play,2,1,451629,,,CS2
play,3,0,466283,,,S8/G
play,3,0,450248,,,64(1)3/GDP/G6
play,3,0,430829,,,K
play,3,1,451629,,,63/G
play,3,1,451668,,,53/G
play,3,1,446858,,,K
play,4,0,444839,,,53/G
play,4,0,470731,,,K
play,4,0,425648,,,K
play,4,1,455167,,,NP
sub,458952,Brandon Chaves,0,4,5
play,4,1,455167,,,K
play,4,1,450363,,,K
play,4,1,455369,,,S7/G
play,4,1,435408,,,FC5/G.1X2(54)
play,5,0,430561,,,43/G
play,5,0,452721,,,8/F
play,5,0,444422,,,S9/L
play,5,0,466283,,,3/L
play,5,1,435405,,,4/P
play,5,1,425479,,,7/F
play,5,1,451629,,,9/F
play,6,0,450248,,,K
play,6,0,430829,,,K
play,6,0,444839,,,7/F
play,6,1,451668,,,6/L
play,6,1,446858,,,8/F
play,6,1,455167,,,K
play,7,0,470731,,,63/G
play,7,0,458952,,,W
play,7,0,430561,,,HR/F.1-H
play,7,0,452721,,,NP
sub,460079,J. B. Cox,1,0,1
play,7,0,452721,,,K
play,7,0,444422,,,W
play,7,0,466283,,,3/G
play,7,1,450363,,,NP
sub,150284,Brandon Knight,0,0,1
play,7,1,450363,,,D8/L
play,7,1,455369,,,S8/F.2-3
play,7,1,435408,,,K
play,7,1,435405,,,K
play,7,1,425479,,,7/F
play,8,0,450248,,,K
play,8,0,430829,,,13/G
play,8,0,444839,,,W
play,8,0,470731,,,CS2
play,8,1,451629,,,43/G
play,8,1,451668,,,S8/G
play,8,1,446858,,,7/F
play,8,1,455167,,,K
play,9,0,470731,,,3/G
play,9,0,458952,,,43/G
play,9,0,430561,,,D7/F
play,9,0,452721,,,63/G
play,9,1,450363,,,NP
sub,457465,Josh Sharpless,0,0,1
play,9,1,450363,,,43/G
play,9,1,455369,,,53/G
play,9,1,435408,,,6/P
id,TreEL200604190
info,visteam,AltEL
info,hometeam,TreEL
info,date,2006/04/19
start,430829,Rich Thompson,0,1,8
start,466283,Javier Guzman,0,2,6
start,444839,Craig Stansberry,0,3,4
start,452721,Adam Boeve,0,4,9
start,430561,Simon Pond,0,5,3
start,444422,Vic Buttler,0,6,7
start,458952,Brandon Chaves,0,7,5
start,454990,Taber Lee,0,8,10
start,445106,Octavio Martinez,0,9,2
start,431149,Matt Peterson,0,0,1
start,451629,Justin Christian,1,1,8
start,451668,Gabe Lopez,1,2,4
start,446858,Kevin Howard,1,3,10
start,455167,Shelley Duncan,1,4,3
start,450363,Bronson Sardinha,1,5,9
start,455369,Ramiro Pena,1,6,6
start,435408,Omir Santos,1,7,2
start,447670,JT Stotts,1,8,5
start,460652,Rudy Guillen,1,9,7
start,408300,Danny Borrell,1,0,1
play,1,0,430829,,,13/G
play,1,0,466283,,,S7/F.BX2(74)
play,1,0,444839,,,HR/F
play,1,0,452721,,,W
play,1,0,430561,,,K
play,1,1,451629,,,S7/G
play,1,1,451668,,,SB2
play,1,1,451668,,,43/G.2-3
play,1,1,446858,,,K
play,1,1,455167,,,63/G
play,2,0,444422,,,K
play,2,0,458952,,,7/F
play,2,0,454990,,,9/F
play,2,1,450363,,,S8/L
play,2,1,455369,,,63/G.1-2
play,2,1,435408,,,9/F.2-3
play,2,1,447670,,,S8/G.3-H
play,2,1,460652,,,CS2
play,3,0,445106,,,43/G
play,3,0,430829,,,S8/L
play,3,0,466283,,,9/F
play,3,0,444839,,,W.1-2
play,3,0,452721,,,K
play,3,1,460652,,,K
play,3,1,451629,,,8/F
play,3,1,451668,,,S7/L
play,3,1,446858,,,8/F
play,4,0,430561,,,63/G
play,4,0,444422,,,T7/L
play,4,0,458952,,,S8/L.3-H
play,4,0,454990,,,S5/G.1-3(E5)(E5/TH)
play,4,0,445106,,,S7/F.1-3;3-H;BX2(74)
play,4,0,430829,,,S4/G
play,4,0,466283,,,53/G
play,4,1,455167,,,9/F
play,4,1,450363,,,8/F
play,4,1,455369,,,K
play,5,0,444839,,,S8/G
play,5,0,452721,,,HR/F.1-H
play,5,0,430561,,,NP
sub,425899,Charlie Manning,1,0,1
play,5,0,430561,,,W
play,5,0,444422,,,K
play,5,0,458952,,,S8/G.1-2
play,5,0,454990,,,S7/G.1-3;2-H
play,5,0,445106,,,64(1)3/GDP/G6
play,5,1,435408,,,7/F
play,5,1,447670,,,HP
play,5,1,460652,,,D7/F.1-H
play,5,1,451629,,,9/F.2-3
play,5,1,451668,,,9/FF
play,6,0,430829,,,43/G
play,6,0,466283,,,9/F
play,6,0,444839,,,63/G
play,6,1,446858,,,NP
sub,449449,Brady Borner,0,0,1
play,6,1,446858,,,8/F
play,6,1,455167,,,S8/G
play,6,1,450363,,,K
play,6,1,455369,,,9/F
play,7,0,452721,,,NP
sub,434521,Michael Brunet,1,0,1
play,7,0,452721,,,S1/G
play,7,0,430561,,,WP.1-2
play,7,0,430561,,,8/F
play,7,0,444422,,,D7/L.2-H
play,7,0,458952,,,HP
play,7,0,454990,,,4(1)3/G4/GDP
play,7,1,435408,,,FLE2/PF
play,7,1,435408,,,W
play,7,1,447670,,,SB2
play,7,1,447670,,,K
play,7,1,460652,,,9/F.2-3
play,7,1,451629,,,63/G
play,8,0,445106,,,63/G
