id,BoiNWL200606220
info,visteam,EugNWL
info,hometeam,BoiNWL
info,date,2006/06/22
play,1,0,453245,,,K
play,1,0,453327,,,3/G.2-3
play,1,0,489322,,,W
play,1,0,459945,,,K
play,1,1,501865,,,63/G
play,1,1,501795,,,S9/G
play,1,1,448293,,,CS2(2?).1-2(E?)
play,1,1,placeholder,,,PO2(??)
play,1,1,448293,,,S7/L
play,1,1,467061,,,WP.1-2
play,1,1,467061,,,K
play,2,0,450600,,,43/G
play,2,0,464368,,,HP
play,2,0,496169,,,13/G.1-2
play,2,0,453319,,,13/G
play,2,1,488859,,,43/G
play,2,1,444453,,,K23
play,2,1,453341,,,8/L
play,3,0,502423,,,S6/G.BX2(64)
play,3,0,453245,,,2/PF
play,3,0,453327,,,W
play,3,0,489322,,,SB2
play,3,0,489322,,,K23
play,3,1,501830,,,S9/L
play,3,1,469196,,,S5/G.1-2
play,3,1,501865,,,T9/F.1-H;2-H
play,3,1,501795,,,W
play,3,1,448293,,,SB2
play,3,1,448293,,,53/G
play,3,1,467061,,,63/G.2-3;3-H
play,3,1,488859,,,K
play,4,0,459945,,,S8/L
play,4,0,450600,,,K
play,4,0,464368,,,PB.1-2
play,4,0,464368,,,K
play,4,0,496169,,,NP
sub,453253,William Muldowney,1,0,1
play,4,0,496169,,,K23
play,4,1,444453,,,NP
sub,446122,Patrick Clayton,0,0,1
play,4,1,444453,,,S7/L
play,4,1,453341,,,PB.1-2
play,4,1,453341,,,W
play,4,1,501830,,,54/SH.1-2;2-3
play,4,1,469196,,,3/G.2-3;3-H
play,4,1,501865,,,4/G
play,5,0,453319,,,K
play,5,0,502423,,,K
play,5,0,453245,,,53/G
play,5,1,501795,,,K
play,5,1,448293,,,31/G
play,5,1,467061,,,HP
play,5,1,488859,,,W.1-2
play,5,1,444453,,,K
play,6,0,453327,,,3/G
play,6,0,489322,,,7/F
play,6,0,459945,,,S7/L
play,6,0,450600,,,43/G
play,6,1,453341,,,NP
sub,501936,Matthew Buschmann,0,0,1
play,6,1,453341,,,S4/G
play,6,1,501830,,,CS2
play,6,1,501830,,,S7/L
play,6,1,469196,,,SB2
play,6,1,469196,,,53/G
play,6,1,501865,,,8/F
play,7,0,464368,,,NP
sub,460283,Jerry Blevins,1,0,1
play,7,0,464368,,,D8/F
play,7,0,496169,,,D7/F.2-H
play,7,0,453319,,,E6
play,7,0,502423,,,S5/G.1-2;2-3
play,7,0,453245,,,E4.1-2;2-H;3-H
play,7,0,453327,,,NP
sub,501896,David Freese,0,3,11
play,7,0,501896,,,HR/F.1-H;2-H
play,7,0,489322,,,NP
sub,453050,Jayson Ruhlman,1,0,1
play,7,0,489322,,,8/F
play,7,0,459945,,,D9/F
play,7,0,450600,,,WP.2-3
play,7,0,450600,,,W
play,7,0,464368,,,WP.1-2
play,7,0,464368,,,K
play,7,0,496169,,,S8/G.2-H;3-H
play,7,0,453319,,,K
play,7,1,placeholder,,,NP
sub,501896,David Freese,0,3,5
play,7,1,501795,,,E3
play,7,1,448293,,,FC6/G.1X2(64);B-1
play,7,1,467061,,,S9/L.1-3
play,7,1,488859,,,6/P
play,7,1,444453,,,K
play,8,0,502423,,,K
play,8,0,453245,,,6/P
play,8,0,501896,,,K
play,8,1,453341,,,NP
sub,455358,Riki Paewai,0,0,1
play,8,1,453341,,,63/G
play,8,1,501830,,,W
play,8,1,469196,,,S7/L.1-2
play,8,1,501865,,,43/G.1-2;2-3
play,8,1,501795,,,31/G
play,9,0,489322,,,NP
sub,503352,Rocky Roquet,1,0,1
play,9,0,489322,,,D9/F.BX3(945)
play,9,0,459945,,,K
play,9,0,450600,,,K
play,9,1,448293,,,NP
sub,459744,Nicholas Tucci,0,0,1
play,9,1,448293,,,13/G
play,9,1,467061,,,W
play,9,1,488859,,,S9/F.1-3
play,9,1,444453,,,WP.1-2
play,9,1,444453,,,K
play,9,1,453341,,,13/G
id,BoiNWL200606230
info,visteam,EugNWL
info,hometeam,BoiNWL
info,date,2006/06/23
start,471055,Santiago Guerrero,0,1,8
start,453245,Tom King,0,2,6
start,453327,Matt Antonelli,0,3,5
start,501896,David Freese,0,4,10
start,489322,Casey Smith,0,5,3
start,464991,Luany Sanchez,0,6,2
start,464368,Willy Crafort,0,7,9
start,489415,Garner Wetzel,0,8,7
start,501793,Nicholas Kliebert,0,9,4
start,488849,Brooks Dunn,0,0,1
start,501865,Matt Camp,1,1,8
start,453341,Joshua Lansford,1,2,5
start,448293,Alfred Joseph,1,3,9
start,453183,Deryck Lewis,1,4,7
start,467061,Elvin Puello,1,5,3
start,502182,Steven Clevenger,1,6,4
start,444453,Russell Canzler,1,7,10
start,503351,Blake Lalli,1,8,2
start,501795,Matt Matulia,1,9,6
start,473240,Jose Pina,1,0,1
play,1,0,471055,,,43/G
play,1,0,453245,,,6/P
play,1,0,453327,,,43/G
play,1,1,501865,,,K
play,1,1,453341,,,W
play,1,1,448293,,,SB2
play,1,1,448293,,,S8/G.2-3
play,1,1,453183,,,D8/G.1-3;3-H
play,1,1,467061,,,53/G.2-3;3-H
play,1,1,502182,,,43/G
play,2,0,501896,,,K
play,2,0,489322,,,3/PF
play,2,0,464991,,,6/P
play,2,1,444453,,,9/F
play,2,1,503351,,,31/G
play,2,1,501795,,,S5/G
play,2,1,501865,,,PO1(E?).1-H
play,2,1,501865,,,S8/G
play,2,1,453341,,,PO1(E?).1-3
play,2,1,453341,,,W
play,2,1,448293,,,S5/G.1-3;3-H
play,2,1,453183,,,D7/L.1-H;3-H
play,2,1,467061,,,63/G
play,3,0,464368,,,8/F
play,3,0,489415,,,9/F
play,3,0,501793,,,9/F
play,3,1,502182,,,NP
sub,455358,Riki Paewai,0,0,1
play,3,1,502182,,,43/G
play,3,1,444453,,,6/L
play,3,1,503351,,,31/G
play,4,0,471055,,,6/P
play,4,0,453245,,,K
play,4,0,453327,,,E6
play,4,0,501896,,,6/L
play,4,1,501795,,,9/F
play,4,1,501865,,,W
play,4,1,453341,,,CS2
play,4,1,453341,,,W
play,4,1,448293,,,W.1-2
play,4,1,453183,,,E5/TH.1-2;2-3
play,4,1,467061,,,NP
sub,446603,Aaron Breit,0,0,1
play,4,1,467061,,,K
play,5,0,489322,,,4/P
play,5,0,464991,,,HR/L
play,5,0,464368,,,S8/G
play,5,0,489415,,,S8/L.1-2
play,5,0,501793,,,NP
sub,493256,Alessandro Maestri,1,0,1
play,5,0,501793,,,K
play,5,0,471055,,,53/G
play,5,1,502182,,,W
play,5,1,444453,,,SB2
play,5,1,444453,,,K
play,5,1,503351,,,K
play,5,1,501795,,,K
play,6,0,453245,,,8/F
play,6,0,453327,,,W
play,6,0,501896,,,SB2
play,6,0,501896,,,HR/F.2-H
play,6,0,489322,,,4/P
play,6,0,464991,,,S9/L
play,6,0,464368,,,K23
play,6,1,501865,,,S8/G
play,6,1,453341,,,SB2
play,6,1,453341,,,W
play,6,1,448293,,,2/BP
play,6,1,453183,,,SB3;SB2
play,6,1,453183,,,8/SF.3-H
play,6,1,467061,,,4/P
play,7,0,489415,,,63/G
play,7,0,501793,,,63/G
play,7,0,471055,,,S6/G
play,7,0,453245,,,FC6/G.1X2(64)
play,7,1,502182,,,S7/L
play,7,1,444453,,,CS2
play,7,1,444453,,,K
play,7,1,503351,,,43/G
play,8,0,453327,,,NP
sub,456533,Michael Cooper,1,0,1
play,8,0,453327,,,63/G
play,8,0,501896,,,8/F
play,8,0,489322,,,K
play,8,1,501795,,,NP
sub,451526,Justin Mattison,0,0,1
play,8,1,501795,,,63/G
play,8,1,501865,,,K
play,8,1,453341,,,43/G
play,9,0,464991,,,K
play,9,0,464368,,,43/G
play,9,0,489415,,,W
play,9,0,501793,,,63/G
id,BoiNWL200607020
info,visteam,YakNWL
info,hometeam,BoiNWL
info,date,2006/07/02
start,489383,Travis Tully,0,1,10
