id,AanAZL200606230
info,visteam,AmaAZL
info,hometeam,AanAZL
info,date,2006/06/23
start,503498,Angel Castillo,1,6,9
start,489135,Jeremy Moore,1,7,7
start,462117,Anel De Los Santos,1,8,2
start,502206,Clayton Fuller,1,9,8
start,473279,Esmerlin Jimenez,1,0,1
play,1,0,469807,,,W
play,1,0,placeholder,,,POCS2(136)
play,1,0,503556,,,K
play,1,0,503567,,,1/P
play,1,1,501921,,,W
play,1,1,464423,,,SB2
play,1,1,464423,,,9/F
play,1,1,502575,,,W
play,1,1,474233,,,S7/L.1-2;2-H
play,1,1,446411,,,W.1-2;2-3
play,1,1,503498,,,K
play,1,1,489135,,,K
play,2,0,503562,,,13/G
play,2,0,452102,,,53/G
play,2,0,453284,,,K
play,2,1,placeholder,,,NP
sub,502115,Donald Walters,0,0,1
play,2,1,462117,,,D7/F
play,2,1,502206,,,W
play,2,1,501921,,,53/SH.1-2;2-3
play,2,1,464423,,,WP.2-3;3-H
play,2,1,464423,,,FC5.3XH(52)
play,2,1,502575,,,SB2
play,2,1,502575,,,8/F
play,3,0,502122,,,9/F
play,3,0,469207,,,W
play,3,0,502320,,,CS2
play,3,0,502320,,,W
play,3,0,469807,,,K
play,3,1,474233,,,S8/L
play,3,1,446411,,,K
play,3,1,503498,,,T8/F.1-H
play,3,1,489135,,,E3.3-H
play,3,1,462117,,,D7/L.1-H
play,3,1,502206,,,NP
sub,501864,Taylor Parker,0,0,1
play,3,1,502206,,,31/G.2-3
play,3,1,501921,,,D7/L.3-H
play,3,1,464423,,,63/G
play,4,0,503556,,,T9/F
play,4,0,503567,,,S8/G.3-H
play,4,0,503562,,,BK.1-2
play,4,0,503562,,,53/G
play,4,0,452102,,,HP
play,4,0,453284,,,5/P
play,4,0,502122,,,K
play,4,1,502575,,,43/G
play,4,1,474233,,,K
play,4,1,446411,,,K
play,5,0,469207,,,S8/G
play,5,0,502320,,,4/P
play,5,0,469807,,,D7/L.1-3
play,5,0,503556,,,K
play,5,0,503567,,,NP
sub,502376,Douglas Brandt,1,0,1
play,5,0,503567,,,W
play,5,0,503562,,,K
play,5,1,503498,,,43/G
play,5,1,489135,,,7/F
play,5,1,462117,,,9/F
play,6,0,452102,,,8/F
play,6,0,453284,,,63/G
play,6,0,502122,,,43/G
play,6,1,502206,,,6/L
play,6,1,501921,,,S6/P
play,6,1,464423,,,S7/L.1-2
play,6,1,502575,,,31/G.1-2;2-3
play,6,1,474233,,,53/G
play,7,0,469207,,,8/F
play,7,0,502320,,,53/G
play,7,0,469807,,,S9/L
play,7,0,503556,,,S5/G.1-2
play,7,0,503567,,,S8/F.1-3;2-H
play,7,0,503562,,,NP
sub,471149,Ismael Carmona,1,0,1
play,7,0,503562,,,SB2
play,7,0,503562,,,S8/G.2-H;3-H
play,7,0,452102,,,SB2
play,7,0,452102,,,K
play,7,1,446411,,,NP
sub,456149,Alejandro Astorga,0,0,1
play,7,1,446411,,,HP
play,7,1,503498,,,S7/L.1-2
play,7,1,489135,,,FC1/B.1X2(16);2-3;B-1
play,7,1,462117,,,K
play,7,1,502206,,,FC6/G.1X2(64)
play,8,0,453284,,,W
play,8,0,502122,,,WP.1-2
play,8,0,502122,,,S7/L.2-3
play,8,0,469207,,,NP
sub,465012,Sammy Leon,1,0,1
play,8,0,469207,,,43/G.1-2;3-H
play,8,0,502320,,,NP
sub,489072,Pedro Lopez,0,9,11
play,8,0,489072,,,S9/G.2-H;B-2
play,8,0,469807,,,S9/G.2-H;B-2
play,8,0,503556,,,5/PF
play,8,0,503567,,,S8/L.2-H
play,8,0,503562,,,NP
sub,456424,Brendan Wilson,1,0,1
play,8,0,503562,,,53/G
play,8,1,501921,,,NP
sub,489072,Pedro Lopez,0,9,6
play,8,1,501921,,,K
play,8,1,464423,,,9/F
play,8,1,502575,,,W
play,8,1,474233,,,T9/F.1-H
play,8,1,446411,,,4/L
play,9,0,452102,,,K
play,9,0,453284,,,S6/P.B-2(E6/TH)
play,9,0,502122,,,NP
sub,444566,Valerio Heredia,0,6,12
play,9,0,502122,,,K
play,9,0,469207,,,K
play,9,1,503498,,,NP
sub,503567,Ryan Lilly,0,3,3
play,9,1,489135,,,NP
sub,444566,Valerio Heredia,0,6,4
play,9,1,462117,,,NP
sub,502267,Kitt Kopach,0,0,1
play,9,1,503498,,,D9/L
play,9,1,489135,,,NP
sub,472569,Norberto Ortiz,1,7,11
play,9,1,472569,,,13/SH.2-3
play,9,1,462117,,,4(B)45(3)/LDP
id,AanAZL200607010
info,visteam,AatAZL
info,hometeam,AanAZL
info,date,2006/07/01
start,463594,Wilber Perez,0,1,4
start,451130,Angel Corporan,0,2,6
start,502670,Lorenzo Macias,0,3,7
start,501060,Carlos Gutierrez,0,4,10
start,469137,Gabriel Ortiz,0,5,2
start,450856,Carlos Morales,0,6,3
start,447740,Ramiro Mendez,0,7,9
start,470468,Walter Correa,0,8,5
start,502052,Angel Sierra,0,9,8
start,451115,Kevin Bunch,0,0,1
start,502206,Clayton Fuller,1,1,8
start,464423,Carlos Colmenares,1,2,6
start,502575,Matthew Sweeney,1,3,5
start,474233,Hank Conger,1,4,10
start,456505,Matt Ryan,1,5,3
start,472569,Norberto Ortiz,1,6,9
start,503498,Angel Castillo,1,7,7
start,462117,Anel De Los Santos,1,8,2
start,459968,Christopher Lewis,1,9,4
start,471193,Vladimir Veras,1,0,1
play,1,0,463594,,,S7/L
play,1,0,placeholder,,,PO1(E?).1-2
play,1,0,451130,,,43/G.2-3
play,1,0,502670,,,E3.3-H
play,1,0,placeholder,,,PO1(E?).1-3
play,1,0,501060,,,HP
play,1,0,469137,,,6(1)3/G6/GDP
play,1,1,502206,,,K
play,1,1,464423,,,HP
play,1,1,502575,,,WP.1-2
play,1,1,502575,,,W
play,1,1,474233,,,S7/G.1-2;2-3
play,1,1,456505,,,W.1-2;2-3;3-H
play,1,1,472569,,,K
play,1,1,503498,,,7/F
play,2,0,450856,,,6/L
play,2,0,447740,,,3/PF
play,2,0,470468,,,3/PF
play,2,1,462117,,,7/F
play,2,1,459968,,,53/G
play,2,1,502206,,,S8/G
play,2,1,464423,,,D8/L.1-H
play,2,1,502575,,,NP
sub,469159,Henry Alberto Rodriguez,0,0,1
play,2,1,502575,,,W
play,2,1,474233,,,FC6/G.1X2(6)
play,3,0,502052,,,K
play,3,0,463594,,,HP
play,3,0,451130,,,K
play,3,0,502670,,,PO1(?3)
play,3,1,456505,,,W
play,3,1,472569,,,S5/G.1-3(E5/TH);B-2
play,3,1,503498,,,K
play,3,1,462117,,,E6.2-H;3-H
play,3,1,459968,,,OA.1X2(24)
play,3,1,459968,,,S8/G
play,3,1,502206,,,SB2
play,3,1,502206,,,WP.2-3
play,3,1,502206,,,W
play,3,1,464423,,,WP.1-2
play,3,1,464423,,,7/F
play,4,0,502670,,,S9/L
play,4,0,501060,,,63/G.1-2
play,4,0,469137,,,63/G.2-3
play,4,0,450856,,,9/F
play,4,1,502575,,,8/L
play,4,1,474233,,,S8/G
play,4,1,456505,,,4(1)3/G4/GDP
play,5,0,447740,,,W
play,5,0,470468,,,K
play,5,0,502052,,,7/F
play,5,0,463594,,,WP.1-2
play,5,0,463594,,,D9/G.2-H
play,5,0,451130,,,WP.2-3
play,5,0,451130,,,K
play,5,1,472569,,,K
play,5,1,503498,,,K
play,5,1,462117,,,K23
play,6,0,502670,,,K
play,6,0,501060,,,K
play,6,0,469137,,,8/F
play,6,1,459968,,,W
play,6,1,502206,,,W.1-2
play,6,1,464423,,,24/SH.1-2;2-3
play,6,1,502575,,,S9/L.2-H;3-H
play,6,1,474233,,,S9/L.1X3;B-2
play,6,1,456505,,,S8/L.2-H;BX2(85)
play,7,0,450856,,,NP
sub,451753,Pedro Herrera,1,0,1
play,7,0,450856,,,9/F
play,7,0,447740,,,K
play,7,0,470468,,,9/F
play,7,1,472569,,,NP
sub,456140,Edgar Tejeda,0,0,1
play,7,1,472569,,,W
play,7,1,503498,,,D7/L.1-3
play,7,1,462117,,,S8/L.2-3;3-H;B-2(E8/TH)
play,7,1,459968,,,53/G
play,7,1,502206,,,FC4.2-3;3XH(42)
play,7,1,464423,,,WP.1-2
play,7,1,464423,,,8/F
play,8,0,502052,,,S7/L
play,8,0,463594,,,K
play,8,0,451130,,,S9/L.1X3(56);B-2
play,8,0,502670,,,K23
play,8,1,502575,,,NP
sub,448661,Eric Sheridan,0,0,1
play,8,1,502575,,,K
play,8,1,474233,,,S8/L
play,8,1,456505,,,64(1)3/GDP/G6
play,9,0,501060,,,NP
sub,459992,Mark Sauls,1,0,1
play,9,0,501060,,,K
play,9,0,469137,,,E4
play,9,0,450856,,,S8/G.1-2
play,9,0,447740,,,K
play,9,0,470468,,,7/F
id,AanAZL200607020
info,visteam,ApaAZL
info,hometeam,AanAZL
info,date,2006/07/02
start,470516,Luis Durango,0,1,7
start,501986,Cedric Hunter,0,2,8
start,501965,Kyler Burke,0,3,9
start,503575,Felix Carrasco,0,4,5
start,501944,Justin Pickett,0,5,3
start,488660,Joshua Alley,0,6,10
start,502418,A. J. Davidiuk,0,7,4
start,460323,Jodam Rivera,0,8,6
start,455357,Clinton Naylor,0,9,2
start,489120,Andrew Miller,0,0,1
start,501921,Alex Fonseca,1,1,4
start,464423,Carlos Colmenares,1,2,6
start,456505,Matt Ryan,1,3,3
start,474233,Hank Conger,1,4,2
start,503498,Angel Castillo,1,5,9
start,446411,Seth Loman,1,6,10
start,459968,Christopher Lewis,1,7,5
start,502206,Clayton Fuller,1,8,7
start,489135,Jeremy Moore,1,9,8
start,452043,Brok Butcher,1,0,1
play,1,0,470516,,,S2/G
play,1,0,501986,,,5/P
play,1,0,501965,,,SB2
play,1,0,501965,,,K
play,1,0,503575,,,S8/F.2-H
play,1,0,501944,,,S6/G.1-2
play,1,0,488660,,,63/G
play,1,1,501921,,,W
play,1,1,464423,,,6(1)3/G6/GDP
play,1,1,456505,,,43/G
play,2,0,502418,,,8/F
play,2,0,460323,,,7/F
play,2,0,455357,,,63/G
play,2,1,474233,,,8/F
play,2,1,503498,,,53/G
play,2,1,446411,,,7/F
play,3,0,470516,,,43/G
play,3,0,501986,,,8/F
play,3,0,501965,,,7/F
play,3,1,459968,,,S8/L
play,3,1,502206,,,64/G.1X2;B-1
play,3,1,placeholder,,,PO1(E?).1-2
play,3,1,489135,,,7/F
play,3,1,501921,,,S7/L.2-H
play,3,1,464423,,,43/G
play,4,0,503575,,,NP
sub,456776,Alexander Torres,1,0,1
play,4,0,503575,,,E5/TH
play,4,0,501944,,,6(1)3/G6/GDP
play,4,0,488660,,,63/G
play,4,1,456505,,,E3/TH.B-2
play,4,1,474233,,,63/G.2-3
play,4,1,503498,,,FC3.3XH(32)
play,4,1,446411,,,S9/F.1-3
play,4,1,459968,,,CSH
play,5,0,502418,,,63/G
play,5,0,460323,,,K
play,5,0,455357,,,W
play,5,0,470516,,,4/P
play,5,1,459968,,,53/G
play,5,1,502206,,,W
play,5,1,489135,,,43/G.1-2
play,5,1,501921,,,63/G
play,6,0,501986,,,43/G
play,6,0,501965,,,41/G
play,6,0,503575,,,W
play,6,0,501944,,,WP.1-2
play,6,0,501944,,,K
play,6,1,464423,,,NP
sub,469167,Jose Ceda,0,0,1
play,6,1,464423,,,W
play,6,1,456505,,,6/P
play,6,1,474233,,,W.1-2
play,6,1,503498,,,W.1-2;2-3
play,6,1,446411,,,K
play,6,1,459968,,,K
play,7,0,488660,,,13/G
play,7,0,502418,,,K
play,7,0,460323,,,K
play,7,1,502206,,,K
play,7,1,489135,,,8/F
play,7,1,501921,,,53/G
play,8,0,455357,,,W
play,8,0,470516,,,NP
sub,451087,Jorge Rodriguez,0,9,12
play,8,0,501986,,,PO1(E?).1-2
play,8,0,470516,,,S5/BG.2-3
play,8,0,501986,,,W.1-2
play,8,0,501965,,,FC4/G.1-2;2-3;3XH(42);B-1
play,8,0,503575,,,K
play,8,0,501944,,,NP
sub,465012,Sammy Leon,1,0,1
