id,VerFSL200604070
info,visteam,St.FSL
info,hometeam,VerFSL
info,date,2006/04/07
play,6,0,448654,,,E5.1-2
play,6,0,448276,,,FC6/G.1X2(64);2-3;B-1
play,6,0,452256,,,S8/L.1-2;3-H
play,6,0,452092,,,7/F
play,6,1,455088,,,K
play,6,1,462569,,,53/G
play,6,1,445172,,,K
play,7,0,467788,,,NP
sub,459390,Adam Thomas,1,0,1
play,7,0,467788,,,K
play,7,0,455687,,,D9/F
play,7,0,460225,,,S8/L
play,7,0,452989,,,PO2(14)
play,7,0,452989,,,K
play,7,1,449082,,,S7/L
play,7,1,111232,,,WP.1-2
play,7,1,111232,,,8/F.2-3
play,7,1,489134,,,53/SH.3-H
play,7,1,460578,,,63/G
play,8,0,452246,,,8/F
play,8,0,448654,,,5/P
play,8,0,448276,,,2/PF
play,8,1,448596,,,NP
sub,455123,Craig Molldrem,0,0,1
play,8,1,448596,,,63/G
play,8,1,469845,,,W
play,8,1,455088,,,SB2
play,8,1,455088,,,K
play,8,1,462569,,,7/F
play,9,0,452256,,,NP
sub,448618,Kyle Wilson,1,0,1
play,9,0,452256,,,3/L
play,9,0,452092,,,K
play,9,0,467788,,,63/G
id,VerFSL200604200
info,visteam,DayFSL
info,hometeam,VerFSL
info,date,2006/04/20
start,453539,Sam Fuld,0,1,8
start,448691,Jemel Spearman,0,2,5
start,458243,Ryan Harvey,0,3,9
start,425482,Nic Jackson,0,4,10
start,444844,Jake Fox,0,5,2
start,456573,Matt Craig,0,6,3
start,445208,Jeff Culpepper,0,7,7
start,489319,Joseph Simokaitis,0,8,6
start,460621,Nate Spears,0,9,4
start,459418,Grant Johnson,0,0,1
start,448596,David Nicholson,1,1,6
start,469845,Jamie Hoffmann,1,2,8
start,455088,Blake Dewitt,1,3,4
start,451614,Cole Bruce,1,4,10
start,462569,Ryan Carter,1,5,7
start,449082,Xavier Paul,1,6,9
start,458239,Travis Denker,1,7,5
start,460578,Jimmy Rohan,1,8,3
start,468368,Gabriel Gutierrez,1,9,2
start,469151,Julio Cesar Pimentel,1,0,1
play,1,0,453539,,,D8/F
play,1,0,448691,,,53/G
play,1,0,458243,,,WP.2-H(E2/TH)
play,1,0,458243,,,D8/F
play,1,0,425482,,,63/G.2-3
play,1,0,444844,,,PB.3-H
play,1,0,444844,,,D7/L
play,1,0,456573,,,WP.2-3
play,1,0,456573,,,W
play,1,0,445208,,,43/G
play,1,1,448596,,,63/G
play,1,1,469845,,,1/L
play,1,1,455088,,,S9/G
play,1,1,451614,,,53/G
play,2,0,489319,,,53/G
play,2,0,460621,,,K
play,2,0,453539,,,31/G
play,2,1,462569,,,4/P
play,2,1,449082,,,63/G
play,2,1,458239,,,53/G
play,3,0,448691,,,S8/L
play,3,0,458243,,,CS2
play,3,0,458243,,,53/G
play,3,0,425482,,,S8/F
play,3,0,444844,,,K
play,3,1,460578,,,63/G
play,3,1,468368,,,9/L
play,3,1,448596,,,6/L
play,4,0,456573,,,S9/G
play,4,0,445208,,,W.1-2
play,4,0,489319,,,13/SH.1-2;2-3
play,4,0,460621,,,8/SF.3-H
play,4,0,453539,,,43/G
play,4,1,469845,,,9/F
play,4,1,455088,,,K
play,4,1,451614,,,63/G
play,5,0,448691,,,K
play,5,0,458243,,,K23
play,5,0,425482,,,W
play,5,0,444844,,,FC5/G.1X2(54)
play,5,1,462569,,,63/G
play,5,1,449082,,,S8/L
play,5,1,458239,,,SB2
play,5,1,458239,,,K
play,5,1,460578,,,63/G
play,6,0,456573,,,W
play,6,0,445208,,,SB2
play,6,0,445208,,,3/G.2-3
play,6,0,489319,,,K
play,6,0,460621,,,4/P
play,6,1,468368,,,K
play,6,1,448596,,,K
play,6,1,469845,,,8/F
play,7,0,453539,,,NP
sub,461743,Zachary Hammes,1,0,1
play,7,0,453539,,,S7/L
play,7,0,448691,,,46(1)3/GDP/G4
play,7,0,458243,,,7/F
play,7,1,455088,,,7/F
play,7,1,451614,,,S8/G
play,7,1,462569,,,9/F
play,7,1,449082,,,S7/L.1-2
play,7,1,458239,,,9/F
play,8,0,425482,,,4/P
play,8,0,444844,,,K
play,8,0,456573,,,K
play,8,1,460578,,,NP
sub,448796,Clint Brannon,0,0,1
play,8,1,460578,,,HR/F
play,8,1,468368,,,13/G
play,8,1,448596,,,31/G
play,8,1,469845,,,53/G
play,9,0,445208,,,NP
sub,449079,Wesley Wright,1,0,1
play,9,0,445208,,,D8/F
play,9,0,489319,,,W+CS3
play,9,0,460621,,,8/F
play,9,0,453539,,,CS2
play,9,1,455088,,,NP
sub,458657,Adalberto Mendez,0,0,1
play,9,1,455088,,,W
play,9,1,451614,,,K
play,9,1,462569,,,8/F
