id,IowPCL200505040
info,visteam,NasPCL
info,hometeam,IowPCL
info,date,2005/05/04
play,6,0,449448,,,HR/F
play,6,0,276345,,,4/L
play,6,1,115370,,,NP
sub,431164,Tyler Johnson,0,8,1
play,6,1,451687,,,NP
sub,150299,Mike Mahoney,0,9,2
play,6,1,115370,,,8/F
play,6,1,451687,,,W
play,6,1,430639,,,W.1-2
play,6,1,434567,,,W.1-2;2-3
play,6,1,111244,,,NP
sub,133140,Scott McClain,1,9,11
play,6,1,133140,,,4/P.2-3;3-H
play,6,1,116248,,,FC6/G.1X2(64)
play,7,0,150299,,,NP
sub,434566,Russ Rohlicek,1,9,1
play,7,0,150299,,,D7/L
play,7,0,435401,,,D9/F.2-3
play,7,0,425659,,,K
play,7,0,279912,,,9/SF.3-H
play,7,0,346867,,,W
play,7,0,407356,,,3/G
play,7,1,150273,,,63/G
play,7,1,430917,,,S5/G
play,7,1,407778,,,S7/L.1-2
play,7,1,115370,,,HR/F.1-H;2-H
play,7,1,451687,,,W
play,7,1,430639,,,46(1)3/GDP/G4
play,8,0,430571,,,K
play,8,0,449448,,,W
play,8,0,431164,,,NP
sub,429580,Bo Hart,0,8,11
play,8,0,150299,,,NP
sub,430917,Mike Fontenot,1,3,4
play,8,0,435401,,,NP
sub,115370,Shane Halter,1,5,5
play,8,0,425659,,,NP
sub,435278,Jermaine Van Buren,1,7,1
play,8,0,279912,,,NP
sub,150225,Mike Moriarty,1,9,6
play,8,0,429580,,,7/F
play,8,0,150299,,,K
play,8,1,434567,,,NP
sub,124171,Gabe White,0,8,1
play,8,1,434567,,,K
play,8,1,150225,,,7/F
play,8,1,116248,,,K
play,9,0,435401,,,6/P
play,9,0,425659,,,63/G
play,9,0,279912,,,6/P
id,IowPCL200505080
info,visteam,MemPCL
info,hometeam,IowPCL
info,date,2005/05/08
start,435401,Skip Schumaker,0,1,8
start,429580,Bo Hart,0,2,4
start,279912,Raul Gonzalez,0,3,9
start,346867,Scott Seabol,0,4,5
start,407356,Brandon Berger,0,5,7
start,449448,John Nelson,0,6,6
start,408219,Chris Duncan,0,7,3
start,150299,Mike Mahoney,0,8,2
start,435039,Anthony Reyes,0,9,1
start,116248,Trenidad Hubbard,1,1,8
start,447789,Dwaine Bacon,1,2,7
start,430917,Mike Fontenot,1,3,5
start,407778,David Kelton,1,4,9
start,115370,Shane Halter,1,5,6
start,451687,James Hoffpauir,1,6,3
start,430639,Richard Lewis,1,7,4
start,150322,Mark Johnson,1,8,2
start,112940,Will Cunnane,1,9,10
start,119984,Darren Oliver,1,0,1
play,1,0,435401,,,K
play,1,0,429580,,,13/G
play,1,0,279912,,,13/G
play,1,1,116248,,,8/F
play,1,1,447789,,,8/F
play,1,1,430917,,,6/P
play,2,0,346867,,,S7/L
play,2,0,407356,,,W.1-2
play,2,0,449448,,,S8/L.1-2;2-3
play,2,0,408219,,,S9/G.1-3;2-H;3-H
play,2,0,150299,,,9/SF.3-H
play,2,0,435039,,,D7/L.1-3
play,2,0,435401,,,S7/F.2-H;3-H
play,2,0,429580,,,53/G.1-2
play,2,0,279912,,,53/G
play,2,1,407778,,,K
play,2,1,115370,,,K
play,2,1,451687,,,43/G
play,3,0,346867,,,HR/F
play,3,0,407356,,,S3/G
play,3,0,449448,,,K+SB2
play,3,0,408219,,,D9/F.2-H
play,3,0,150299,,,HR/F.2-H
play,3,0,435039,,,W
play,3,0,435401,,,NP
sub,112940,Will Cunnane,1,9,1
play,3,0,435401,,,63/G.1-2
play,3,0,429580,,,WP.2-3
play,3,0,429580,,,K
play,3,1,430639,,,K
play,3,1,150322,,,9/F
play,3,1,112940,,,K
play,4,0,279912,,,W
play,4,0,346867,,,PB.1-2
play,4,0,346867,,,7/F
play,4,0,407356,,,W
play,4,0,449448,,,K
play,4,0,408219,,,43/G
play,4,1,116248,,,53/G
play,4,1,447789,,,D9/F
play,4,1,430917,,,8/F
play,4,1,407778,,,S9/L.2-3
play,4,1,115370,,,9/F
play,5,0,150299,,,K
play,5,0,435039,,,HP
play,5,0,435401,,,WP.1-2
play,5,0,435401,,,6/L
play,5,0,429580,,,K
play,5,1,451687,,,S8/L
play,5,1,430639,,,PO1(?3)
play,5,1,430639,,,63/G
play,5,1,150322,,,8/F
play,6,0,279912,,,NP
sub,150041,Phil Norton,1,9,1
play,6,0,279912,,,K
play,6,0,346867,,,K
play,6,0,407356,,,K
play,6,1,150041,,,43/G
play,6,1,116248,,,D7/F
play,6,1,447789,,,S9/F.2-H
play,6,1,430917,,,36(1)3/GDP/G3
play,7,0,449448,,,HR/F
play,7,0,408219,,,8/F
play,7,0,150299,,,53/G
play,7,0,435039,,,9/FF
play,7,1,407778,,,9/F
play,7,1,115370,,,8/F
play,7,1,451687,,,K
play,8,0,435401,,,NP
sub,150304,Kevin McGlinchy,1,6,1
play,8,0,429580,,,NP
sub,133140,Scott McClain,1,9,3
play,8,0,435401,,,43/G
play,8,0,429580,,,S9/L
play,8,0,279912,,,FC6/G.1X2(64);B-2(E4/TH)
