id,AanAZL200506230
info,visteam,AmaAZL
info,hometeam,AanAZL
info,date,2005/06/23
start,444939,Grant Harper,1,7,10
start,450288,Luis Rivera,1,8,9
start,445190,Richard Bambino,1,9,2
start,456482,Gustavo Espinoza,1,0,1
play,1,0,468487,,,9/F
play,1,0,448612,,,S7/L
play,1,0,461416,,,FC3/G.1X2(36);B-1
play,1,0,452035,,,SB2;1-3(E4)(E4)
play,1,0,452035,,,53/G
play,1,1,488889,,,HP
play,1,1,456483,,,E2.1-2;B-1
play,1,1,457756,,,T7/L.1-H;2-H
play,1,1,456505,,,43/G.3-H
play,1,1,489283,,,W
play,1,1,446574,,,S9/L.1-3
play,1,1,444939,,,S6/G.1-2;3-H
play,1,1,450288,,,CS3
play,1,1,450288,,,63/G
play,2,0,446653,,,9/F
play,2,0,489821,,,63/G
play,2,0,459422,,,5/L
play,2,1,445190,,,9/F
play,2,1,488889,,,K
play,2,1,456483,,,43/G
play,3,0,449062,,,7/F
play,3,0,489924,,,63/G
play,3,0,468487,,,7/F
play,3,1,457756,,,K
play,3,1,456505,,,31/G
play,3,1,489283,,,S7/L
play,3,1,446574,,,4/P
play,4,0,448612,,,13/G
play,4,0,461416,,,43/G
play,4,0,452035,,,E6
play,4,0,446653,,,D9/L.1-H
play,4,0,489821,,,13/G
play,4,1,444939,,,S7/L
play,4,1,450288,,,K
play,4,1,445190,,,3/P
play,4,1,488889,,,FC6/G.1X2(64)
play,5,0,459422,,,7/F
play,5,0,449062,,,S5/G
play,5,0,489924,,,53/G.1-2
play,5,0,468487,,,9/F
play,5,1,456483,,,8/F
play,5,1,457756,,,63/G
play,5,1,456505,,,S9/L
play,5,1,489283,,,K
play,6,0,448612,,,S7/L
play,6,0,461416,,,D7/L.1-H
play,6,0,452035,,,NP
sub,488905,Ernest Gill,0,4,11
play,6,0,488905,,,SB3
play,6,0,488905,,,WP.3-H
play,6,0,488905,,,4/P
play,6,0,446653,,,K
play,6,0,489821,,,53/G
play,6,1,446574,,,NP
sub,488905,Ernest Gill,0,4,3
play,6,1,446574,,,W
play,6,1,444939,,,NP
sub,457103,Daniel Baca,0,0,1
play,6,1,444939,,,9/F
play,6,1,450288,,,SB2
play,6,1,450288,,,9/F.2-3
play,6,1,445190,,,43/G
play,7,0,459422,,,NP
sub,456397,Amalio Diaz,1,0,1
play,7,0,459422,,,43/G
play,7,0,449062,,,S8/L
play,7,0,489924,,,S9/L.1-2
play,7,0,468487,,,23/G.1-2;2-3
play,7,0,448612,,,43/G
play,7,1,488889,,,8/F
play,7,1,456483,,,2/G
play,7,1,457756,,,S8/L
play,7,1,456505,,,K
