id,WisMDW200604060
info,visteam,PeoMDW
info,hometeam,WisMDW
info,date,2006/04/06
play,3,0,459949,,,5/PF
play,3,0,461861,,,S5/G
play,3,0,489004,,,K
play,3,0,488922,,,E4.1-2
play,3,0,455139,,,143/G1
play,3,1,488897,,,K
play,3,1,466307,,,63/G
play,3,1,489822,,,13/G
play,4,0,489356,,,9/F
play,4,0,448650,,,K
play,4,0,462944,,,63/G
play,4,1,452727,,,5/P
play,4,1,490563,,,W
play,4,1,463622,,,9/F
play,4,1,451178,,,POCS2(13)
play,5,0,472505,,,K
play,5,0,459949,,,43/G
play,5,0,461861,,,8/F
play,5,1,451178,,,63/G
play,5,1,459431,,,W
play,5,1,472528,,,4/P.?X?(43)
play,6,0,489004,,,NP
sub,475746,Jeffrey Gilmore,1,0,1
play,6,0,489004,,,D7/L
play,6,0,488922,,,K
play,6,0,455139,,,8/F.2-3
play,6,0,489356,,,PB.3-H
play,6,0,489356,,,6/P
play,6,1,488897,,,K
play,6,1,466307,,,D7/F
play,6,1,489822,,,53/G
play,6,1,452727,,,S4/G.2-H
play,6,1,490563,,,9/F
play,7,0,448650,,,7/F
play,7,0,462944,,,S8/L
play,7,0,472505,,,NP
sub,453014,Luis Rivera,0,5,12
play,7,0,472505,,,6(B)6()/LDP.1X2
play,7,1,463622,,,NP
sub,453014,Luis Rivera,0,5,10
play,7,1,451178,,,NP
sub,476481,Michael Phelps,0,0,1
play,7,1,463622,,,13/G
play,7,1,451178,,,K
play,7,1,459431,,,K
play,8,0,459949,,,NP
sub,452248,Rollie Gibson,1,0,1
play,8,0,459949,,,13/G
play,8,0,461861,,,K
play,8,0,489004,,,S9/G
play,8,0,488922,,,S4/G.1-2
play,8,0,455139,,,NP
sub,447717,Ruben Flores,1,0,1
play,8,0,455139,,,W.1-2;2-3
play,8,0,489356,,,WP.1-2;2-3;3-H
play,8,0,489356,,,K
play,8,1,472528,,,43/G
play,8,1,488897,,,W
play,8,1,466307,,,FC1/G.1X2(14);B-1
play,8,1,489822,,,53/G
play,9,0,448650,,,6/P
play,9,0,453014,,,3/PF
play,9,0,472505,,,9/F
play,9,1,452727,,,NP
sub,462943,Edward Campusano,0,0,1
play,9,1,452727,,,K
play,9,1,490563,,,3/G
play,9,1,463622,,,K
id,WisMDW200604130
info,visteam,CedMDW
info,hometeam,WisMDW
info,date,2006/04/13
start,488795,Bradley Coon,0,1,8
start,461871,Hainley Statia,0,2,6
start,444480,Patrick Reilly,0,3,7
start,459411,Travis Schlichting,0,4,5
start,444432,Mark Trumbo,0,5,3
start,444127,Warner A. Madrigal,0,6,9
start,456596,Jordan Renz,0,7,10
start,445962,Brett Martinez,0,8,2
start,458923,Ryan Leahy,0,9,4
start,451189,Kelly Shearer,0,0,1
start,463622,Ronald Garth,1,1,5
start,472528,Luis Valbuena,1,2,4
start,488897,Alex Gary,1,3,7
start,489818,J. B. Tucker,1,4,2
start,459431,Michael Saunders,1,5,8
start,489279,Bryan Sabatella,1,6,10
start,451178,Jeffrey Flaig,1,7,3
start,466307,Eddy Hernandez,1,8,9
start,451587,Jeffrey Dominguez,1,9,6
start,448234,Paul Fagan,0,0,1
play,1,0,488795,,,S6/G
play,1,0,461871,,,W.1-2
play,1,0,444480,,,HP.1-2;2-3
play,1,0,459411,,,HP.1-2;2-3;3-H
play,1,0,444432,,,FC5/G.1-2;2-3;3XH(52);B-1
play,1,0,444127,,,S8/L.1-2;2-H;3-H
play,1,0,456596,,,31/G.1-2;2-3
play,1,0,445962,,,S7/L.2-H;3-H
play,1,0,458923,,,8/F
play,1,1,463622,,,K
play,1,1,472528,,,W
play,1,1,488897,,,WP.1-2
play,1,1,488897,,,53/G
play,1,1,489818,,,W
play,1,1,459431,,,K
play,2,0,488795,,,43/G
play,2,0,461871,,,3/PF
play,2,0,444480,,,K
play,2,1,489279,,,S7/L
play,2,1,451178,,,S9/G.1-3
play,2,1,466307,,,K+CS2
play,2,1,451587,,,K
play,3,0,459411,,,63/G
play,3,0,444432,,,53/G
play,3,0,444127,,,S7/G
