id,GbrGCL200606210
info,visteam,GtiGCL
info,hometeam,GbrGCL
info,date,2006/06/21
play,1,1,489409,,,WP.1-2;2-3;3-H
play,1,1,489409,,,K
play,2,0,455403,,,E6
play,2,0,444487,,,SB2
play,2,0,444487,,,FC3.2X3(35)
play,2,0,449070,,,E4.1-2
play,2,0,491676,,,3/P
play,2,0,501813,,,K
play,2,1,455697,,,S9/F
play,2,1,452671,,,SB2
play,2,1,452671,,,63/G.2-3
play,2,1,448188,,,W
play,2,1,502203,,,9/SF.3-H
play,2,1,445219,,,K
play,3,0,465098,,,K
play,3,0,502073,,,W
play,3,0,502422,,,W.1-2
play,3,0,455371,,,NP
sub,503422,Ysidro Garcia,1,0,1
play,3,0,455371,,,K
play,3,0,455403,,,53/G
play,3,1,503425,,,NP
sub,502385,Dana Arrowood,0,0,1
play,3,1,503425,,,S5/G
play,3,1,467725,,,3(B)3(1)/LDP
play,3,1,449899,,,53/G
play,4,0,444487,,,6/L
play,4,0,449070,,,63/G
play,4,0,491676,,,S6/G
play,4,0,501813,,,63/G
play,4,1,489409,,,53/G
play,4,1,455697,,,13/G
play,4,1,452671,,,K
play,5,0,465098,,,NP
sub,503423,Steve Kent,1,0,1
play,5,0,465098,,,S8/F
play,5,0,502073,,,SB2
play,5,0,502073,,,K
play,5,0,502422,,,CS3
play,5,0,502422,,,W
play,5,0,455371,,,9/F
play,5,1,448188,,,NP
sub,473269,Orlando Rodriguez,0,3,9
play,5,1,448188,,,K
play,5,1,502203,,,K
play,5,1,445219,,,43/G
play,6,0,455403,,,8/F
play,6,0,444487,,,9/F
play,6,0,449070,,,W
play,6,0,491676,,,FC4/G.1X2(46)
play,6,1,503425,,,53/G
play,6,1,467725,,,HP
play,6,1,449899,,,8/F
play,6,1,489409,,,53/G
play,7,0,501813,,,NP
sub,449828,Rubi Koko,1,7,8
play,7,0,473269,,,NP
sub,455697,Eliazar Carmona,1,9,9
play,7,0,501813,,,43/G
play,7,0,473269,,,9/F
play,7,0,502073,,,63/G
play,7,1,455697,,,NP
sub,502102,Duane Below,0,0,1
play,7,1,455697,,,S8/F
play,7,1,452671,,,23/G.1-2
play,7,1,448188,,,43/G.2-3
play,7,1,502203,,,S8/F.3-H
play,7,1,445219,,,S9/F.1-2
play,7,1,503425,,,9/F
play,8,0,502422,,,8/F
play,8,0,455371,,,E5.B-2
play,8,0,455403,,,63/G.2-3
play,8,0,444487,,,S7/F.3-H
play,8,0,449070,,,9/FF
play,8,1,467725,,,NP
sub,502447,Rudy Darrow,0,0,1
play,8,1,467725,,,W
play,8,1,449828,,,K
play,8,1,489409,,,NP
sub,471168,Tony De La Cruz,1,8,11
play,8,1,471168,,,43/G.1-2
play,8,1,455697,,,43/G
play,9,0,491676,,,NP
sub,469233,Takumi Hamaoka,1,8,7
play,9,0,501813,,,NP
sub,474991,Casey Beck,1,0,1
play,9,0,491676,,,4/L
play,9,0,501813,,,W
play,9,0,473269,,,3/G.1-2
play,9,0,502073,,,W
play,9,0,502422,,,NP
sub,503737,Michael Trapani,0,4,12
play,9,0,502422,,,3/G
id,GbrGCL200607030
info,visteam,GphGCL
info,hometeam,GbrGCL
info,date,2006/07/03
start,502408,Darin McDonald,0,1,9
start,502400,Mike Deveaux,0,2,5
start,502133,Adrian Cardenas,0,3,6
start,502369,T. J. Warren,0,4,8
start,502419,Herman Demmink,0,5,4
start,503037,Matthew Reed,0,6,3
start,501796,Alan Robbins,0,7,2
start,452058,Curt Miaso,0,8,7
start,489425,Jermaine Williams,0,9,10
start,475084,Matthew Olson,0,0,1
start,455159,Josh Burrus,1,1,10
start,449156,Jon Owings,1,2,9
start,502203,Adam Coe,1,3,5
start,451080,Cody Johnson,1,4,7
start,452671,Diory Hernandez,1,5,6
start,451098,Steven Garcia,1,6,10
start,445219,Adam Parliament,1,7,3
start,448188,Deivis Rivadeneira,1,8,4
start,455697,Eliazar Carmona,1,9,8
start,501973,Chad Rodgers,1,0,1
play,1,0,502408,,,9/F
play,1,0,502400,,,S3/G
play,1,0,502133,,,S7/L.1-3;B-2
play,1,0,502369,,,63/G.2-3;3-H
play,1,0,502419,,,53/G
play,1,1,455159,,,53/G
play,1,1,449156,,,S1/G
play,1,1,502203,,,S7/L.1-2
play,1,1,451080,,,43/G.1-2;2-3
play,1,1,452671,,,63/G
play,2,0,503037,,,8/F
play,2,0,501796,,,4/P
play,2,0,452058,,,E2.B-1
play,2,0,489425,,,FC4/G.1X2(46)
play,2,1,451098,,,53/G
play,2,1,445219,,,E6
play,2,1,448188,,,7/F
play,2,1,455697,,,8/F
play,3,0,502408,,,E6
play,3,0,502400,,,8/F
play,3,0,502133,,,5/P
play,3,0,502369,,,W.1-2
play,3,0,502419,,,43/G
play,3,1,455159,,,9/F
play,3,1,449156,,,W
play,3,1,502203,,,NP
sub,489409,Nate Weidenaar,1,2,12
play,3,1,502203,,,SB2
play,3,1,502203,,,W
play,3,1,451080,,,WP.2-3
play,3,1,451080,,,S7/L.1-2;3-H
play,3,1,452671,,,6/P
play,3,1,451098,,,K
play,4,0,503037,,,NP
sub,489409,Nate Weidenaar,1,2,9
play,4,0,501796,,,NP
sub,449828,Rubi Koko,1,4,8
play,4,0,452058,,,NP
sub,455697,Eliazar Carmona,1,9,7
play,4,0,489425,,,NP
sub,471178,Jose Ortegano,1,0,1
play,4,0,503037,,,W
play,4,0,501796,,,43/G.1-2
play,4,0,452058,,,1(B)16()/LDP.2X2
play,4,1,445219,,,53/G
play,4,1,448188,,,63/G
play,4,1,455697,,,S8/L
play,4,1,455159,,,FC4/G.1X2(4)
play,5,0,489425,,,63/G
play,5,0,502408,,,K
play,5,0,502400,,,K
play,5,1,489409,,,E9.B-2
play,5,1,502203,,,63/G.2-3
play,5,1,449828,,,K
play,5,1,452671,,,63/G
play,6,0,502133,,,K
play,6,0,502369,,,S5/G
play,6,0,502419,,,S5/G.1-2
play,6,0,503037,,,HR/F.1-H;2-H
play,6,0,501796,,,S8/L
play,6,0,452058,,,9/F
play,6,0,489425,,,9/F
play,6,1,451098,,,NP
sub,502657,Robert Roth,0,0,1
play,6,1,451098,,,W
play,6,1,445219,,,9/F
play,6,1,448188,,,K
play,6,1,455697,,,FC4/G.1X2(46)
play,7,0,502408,,,S8/L
play,7,0,502400,,,9/F
play,7,0,502133,,,K
play,7,0,502369,,,SB2
play,7,0,502369,,,43/G
play,7,1,455159,,,E4
play,7,1,489409,,,W.1-2
play,7,1,502203,,,W.1-2;2-3
play,7,1,449828,,,PB.1-2;2-3;3-H
play,7,1,449828,,,13/G
play,7,1,452671,,,9/F.3XH(92)
play,8,0,502419,,,NP
sub,446597,Kyle Warren,1,0,1
play,8,0,502419,,,5/P
play,8,0,503037,,,W
play,8,0,501796,,,2/PF
play,8,0,452058,,,SB2
play,8,0,452058,,,W
play,8,0,489425,,,8/F
play,8,1,451098,,,NP
sub,503035,Yen-Feng Lin,0,0,1
play,8,1,451098,,,4/L
play,8,1,445219,,,W
play,8,1,448188,,,FC5/G.1X2(54);B-1
play,8,1,455697,,,3/PF
play,9,0,502408,,,NP
sub,457114,Julio Sanchez,1,0,1
play,9,0,502408,,,HP
play,9,0,502400,,,WP.1-2
play,9,0,502400,,,14/SH.2-3
play,9,0,502133,,,8/SF.3-H
play,9,0,502369,,,63/G
play,9,1,455159,,,NP
sub,449899,Trevion Griffin,1,1,11
play,9,1,449899,,,63/G
play,9,1,489409,,,43/G
play,9,1,502203,,,E6
play,9,1,449828,,,9/F
id,GbrGCL200607050
info,visteam,GyaGCL
info,hometeam,GbrGCL
info,date,2006/07/05
start,502279,Donald Hollingsworth,0,1,7
start,466454,Jesus Sanchez,0,2,2
start,487666,Josue Calzado,0,3,8
start,450841,Angel Fermin,0,4,3
start,468538,Gerardo Rodriguez,0,5,10
start,453598,J. T. Lafountain,0,6,5
start,502446,Chase Odenreider,0,7,9
start,501835,Kevin Russo,0,8,4
start,503429,Walter Ibarra,0,9,6
start,445979,Edgar Omana,0,0,1
start,449156,Jon Owings,1,1,9
start,452671,Diory Hernandez,1,2,6
start,455159,Josh Burrus,1,3,10
start,502203,Adam Coe,1,4,5
start,445219,Adam Parliament,1,5,3
start,451098,Steven Garcia,1,6,2
start,469233,Takumi Hamaoka,1,7,7
start,471168,Tony De La Cruz,1,8,4
start,455697,Eliazar Carmona,1,9,8
start,502046,Jeffrey Locke,1,0,1
play,1,0,502279,,,3/G
play,1,0,466454,,,14/BG
play,1,0,487666,,,K.B-1(E2/TH)
play,1,0,450841,,,E2.1-2;B-1
play,1,0,468538,,,S8/L.2-H;BX2(816)
play,1,1,449156,,,E6
play,1,1,452671,,,W.1-2
play,1,1,455159,,,5(2)3/G5/GDP.1-2
play,1,1,502203,,,7/F
play,2,0,453598,,,K
play,2,0,502446,,,43/G
play,2,0,501835,,,8/F
play,2,1,placeholder,,,NP
sub,451990,Jose Valdez,0,0,1
play,2,1,445219,,,53/G
play,2,1,451098,,,K
play,2,1,469233,,,43/G
play,3,0,503429,,,43/G
play,3,0,502279,,,HP
play,3,0,466454,,,SB2
play,3,0,466454,,,S9/L.2-3
play,3,0,487666,,,S7/L.1-2;3-H
play,3,0,450841,,,S8/F.1-H;2-H;BX2(834)
play,3,0,468538,,,8/F
play,3,1,471168,,,9/F
play,3,1,455697,,,63/G
play,3,1,449156,,,S9/L
play,3,1,452671,,,HR/F.1-H
play,3,1,455159,,,K
play,4,0,453598,,,NP
sub,448855,Junior Guerra,1,0,1
play,4,0,502446,,,NP
sub,489409,Nate Weidenaar,1,1,9
play,4,0,453598,,,W
play,4,0,502446,,,13/G.1-2
play,4,0,501835,,,S9/L.2-H
play,4,0,503429,,,6(1)3/G6/GDP
play,4,1,502203,,,NP
sub,467100,Ivan Nova,0,0,1
play,4,1,502203,,,HR/F
play,4,1,445219,,,K
play,4,1,451098,,,S3/G
play,4,1,469233,,,43/G.1-2
play,4,1,471168,,,4/P
play,5,0,502279,,,W
play,5,0,466454,,,SB2
play,5,0,466454,,,WP.2-3
play,5,0,466454,,,2/P
play,5,0,487666,,,9/F
play,5,0,450841,,,53/G
play,5,1,455697,,,9/F
play,5,1,489409,,,S9/L
play,5,1,452671,,,CS2
play,5,1,452671,,,9/F
play,6,0,468538,,,8/F
play,6,0,453598,,,W
play,6,0,502446,,,S6/G.1-2
play,6,0,501835,,,FC5/G.1X2(54);2-3;B-1
play,6,0,503429,,,SBH;SB2
play,6,0,503429,,,S7/L.2-H
play,6,0,502279,,,NP
sub,457114,Julio Sanchez,1,0,1
play,6,0,502279,,,8/F
