id,BluAPP200506240
info,visteam,DanAPP
info,hometeam,BluAPP
info,date,2005/06/24
play,3,1,458593,,,K
play,3,1,446544,,,W
play,3,1,489160,,,7/F
play,4,0,449156,,,T8/F
play,4,0,448855,,,S7/F.3-H
play,4,0,453534,,,K
play,4,0,488822,,,7/F
play,4,0,448274,,,9/F
play,4,1,473224,,,43/G
play,4,1,452064,,,S9/F
play,4,1,455108,,,8/F
play,4,1,489762,,,3/G
play,5,0,488862,,,W
play,5,0,445615,,,343/G3.1-2
play,5,0,461735,,,S9/F.2-H
play,5,0,457449,,,HR/F.1-H
play,5,0,449156,,,NP
sub,455973,Jason Furrow,1,0,1
play,5,0,449156,,,9/F
play,5,0,448855,,,3/G
play,5,1,458568,,,8/F
play,5,1,459933,,,53/G
play,5,1,458593,,,43/G
play,6,0,453534,,,S4/G
play,6,0,488822,,,53/G.1-2
play,6,0,448274,,,D9/L.2-H
play,6,0,488862,,,63/G
play,6,0,445615,,,S9/F.2-H
play,6,0,461735,,,HR/F.1-H
play,6,0,457449,,,3/G
play,6,1,446544,,,NP
sub,465711,Jairo Cuevas,0,0,1
play,6,1,446544,,,9/F
play,6,1,489160,,,HR/F
play,6,1,473224,,,63/G
play,6,1,452064,,,53/G
play,7,0,449156,,,D9/F
play,7,0,448855,,,7/F
play,7,0,453534,,,D9/F.2-H
play,7,0,488822,,,S3/G.2-3
play,7,0,448274,,,NP
sub,458647,Yohan Silva,0,1,12
play,7,0,448274,,,HR/F.1-H;3-H
play,7,0,488862,,,S8/G
play,7,0,445615,,,16(1)3/GDP/G1
play,7,1,455108,,,NP
sub,458647,Yohan Silva,0,1,8
play,7,1,455108,,,K23
play,7,1,489762,,,K
play,7,1,458568,,,9/F
play,8,0,461735,,,NP
sub,489761,Gilberto Martinez,1,3,9
play,8,0,461735,,,K
play,8,0,457449,,,53/G
play,8,0,449156,,,63/G
play,8,1,459933,,,K
play,8,1,489761,,,E6
play,8,1,446544,,,NP
sub,489760,Rene Aqueron,1,4,11
play,8,1,489760,,,PB.1-2
play,8,1,489760,,,S7/F.2-H
play,8,1,489160,,,3/PF
play,8,1,473224,,,WP.1-2
play,8,1,473224,,,BK.2-3
play,8,1,473224,,,43/G
play,9,0,448855,,,NP
sub,489760,Rene Aqueron,1,4,10
play,9,0,453534,,,NP
sub,473990,Ryan Stadanlick,1,0,1
play,9,0,448855,,,S8/G
play,9,0,453534,,,FC1/G.1X2(16);B-1
play,9,0,458647,,,8/F
play,9,0,448274,,,53/G
play,9,1,452064,,,NP
sub,453011,Rudolph Quinonez,0,0,1
play,9,1,452064,,,S8/F
play,9,1,455108,,,7/FF
play,9,1,489762,,,FC3/G.1X2(36);B-1
play,9,1,458568,,,63/G
id,BluAPP200506270
info,visteam,BriAPP
info,hometeam,BluAPP
info,date,2005/06/27
start,488811,Aaron Cunningham,0,1,7
start,467830,Franklin Batista,0,2,4
start,463019,Salvador Sanchez,0,3,8
start,489144,Joshua Morgan,0,4,3
start,464394,Christian Acosta,0,5,5
start,474892,Vernon Carter,0,6,10
start,489411,Kris Welker,0,7,2
start,473196,Alex Lachapel,0,8,9
start,444560,Leonardo Acosta,0,9,6
start,446595,Frank Viola,0,0,1
start,459933,Robert Andrews,1,1,8
start,489760,Rene Aqueron,1,2,4
start,489160,Stuart Musslewhite,1,3,6
start,446544,Andrew Moffitt,1,4,7
start,447840,Kevin Kotch,1,5,10
start,473224,Joel Pacheco,1,6,3
start,452064,Dan Puente,1,7,2
start,455108,Denver Kitch,1,8,5
start,489761,Gilberto Martinez,1,9,9
start,460371,Alberto Bastardo,1,0,1
play,1,0,488811,,,K
play,1,0,467830,,,K
play,1,0,463019,,,K
play,1,1,459933,,,53/G
play,1,1,489760,,,E6
play,1,1,489160,,,K
play,1,1,446544,,,W.1-2
play,1,1,447840,,,K
play,2,0,489144,,,53/G
play,2,0,464394,,,K
