id,KinCAR200504080
info,visteam,WinCAR
info,hometeam,KinCAR
info,date,2005/04/08
start,456889,Jeffrey Ontiveros,0,7,2
start,461247,Patrick Boran,0,8,9
start,445587,Bryan Goelz,0,9,8
start,458906,Jarrett Gardner,0,0,1
start,444514,Nathan Panther,1,1,7
start,449775,Brandon Pinckney,1,2,4
start,430957,Brad Snyder,1,3,10
start,450260,Kevin Kouzmanoff,1,4,5
start,457830,Ryan Goleski,1,5,9
start,430955,David Wallace,1,6,2
start,453892,Ryan Mulhern,1,7,3
start,444320,J. Sherrill,1,8,8
start,471808,Chris De La Cruz,1,9,6
start,460370,Rafael Perez,1,0,1
play,1,0,451506,,,K
play,1,0,445985,,,53/G
play,1,0,445945,,,8/F
play,1,1,444514,,,HR/F
play,1,1,449775,,,7/F
play,1,1,430957,,,8/F
play,1,1,450260,,,K+PB.B-1
play,1,1,457830,,,8/F
play,2,0,452658,,,S8/G
play,2,0,458665,,,S7/L.1-2
play,2,0,456390,,,8/F.1-2;2-3
play,2,0,456889,,,W
play,2,0,placeholder,,,OA.1-2;2-3;3XH(21)
play,2,0,461247,,,PB.2-3;3-H
play,2,0,461247,,,E5.3-H
play,2,0,445587,,,FC6/G.1X2(6)
play,2,1,430955,,,K
play,2,1,453892,,,K
play,2,1,444320,,,9/F
play,3,0,451506,,,S7/G
play,3,0,445985,,,13/G.1-2
play,3,0,445945,,,K
play,3,0,452658,,,53/G
play,3,1,471808,,,K
play,3,1,444514,,,S8/G
play,3,1,449775,,,3/PF
play,3,1,430957,,,HR/F.1-H
play,3,1,450260,,,3/P
play,4,0,458665,,,13/G
play,4,0,456390,,,K
play,4,0,456889,,,S9/G
play,4,0,461247,,,S7/L.1-2
play,4,0,445587,,,WP.1-3(E2/TH);2-H
play,4,0,445587,,,K
play,4,1,457830,,,E5
play,4,1,430955,,,K+CS2
play,4,1,453892,,,K
play,5,0,451506,,,53/G
play,5,0,445985,,,63/G
play,5,0,445945,,,6/P
play,5,1,444320,,,W
play,5,1,471808,,,13/G.1-2
play,5,1,444514,,,NP
sub,452036,Kyle Bono,0,0,1
play,5,1,444514,,,K
play,5,1,449775,,,9/F
play,6,0,452658,,,NP
sub,457826,Tom Mastny,1,0,1
play,6,0,452658,,,53/G
play,6,0,458665,,,K
play,6,0,456390,,,K
play,6,1,430957,,,5/L
play,6,1,450260,,,63/G
play,6,1,457830,,,63/G
play,7,0,456889,,,7/F
play,7,0,461247,,,4/L
play,7,0,445587,,,53/G
play,7,1,430955,,,K
play,7,1,453892,,,K
play,7,1,444320,,,S9/G
play,7,1,471808,,,CS2
play,8,0,451506,,,D8/F
play,8,0,445985,,,14/SH.2-3
play,8,0,445945,,,S7/G.3-H
play,8,0,452658,,,K
play,8,0,458665,,,S8/G.1-2
play,8,0,456390,,,NP
sub,444312,Juan Lara,1,0,1
play,8,0,456390,,,K23
play,8,1,471808,,,W
play,8,1,444514,,,S5/BG.1-2
play,8,1,449775,,,14/SH.1-2;2-3
play,8,1,430957,,,NP
sub,456706,Randall Beam,0,0,1
play,8,1,430957,,,K
play,8,1,450260,,,63/G
play,9,0,456889,,,K
play,9,0,461247,,,53/G
play,9,0,445587,,,K
play,9,1,457830,,,HR/F
play,9,1,430955,,,8/F
play,9,1,453892,,,S6/G
play,9,1,444320,,,K
play,9,1,471808,,,63/G
play,10,0,451506,,,63/G
play,10,0,445985,,,63/G
play,10,0,445945,,,43/G
play,10,1,444514,,,K
play,10,1,449775,,,63/G
play,10,1,430957,,,HP
play,10,1,450260,,,NP
sub,442500,Edgar Martinez,0,0,1
play,10,1,450260,,,K
play,11,0,452658,,,K23
play,11,0,458665,,,8/F
play,11,0,456390,,,K
play,11,1,457830,,,K
play,11,1,430955,,,K
play,11,1,453892,,,S8/G
play,11,1,444320,,,K
play,12,0,456889,,,NP
sub,450348,Jim Ed Warden,1,0,1
play,12,0,456889,,,W
play,12,0,placeholder,,,NP
sub,457881,Clinton Chauncey,0,7,12
play,12,0,461247,,,7/F
play,12,0,445587,,,SB2
play,12,0,445587,,,W
play,12,0,451506,,,D8/F.1-H;2-H
play,12,0,445985,,,W
play,12,0,445945,,,D9/L.1-3;2-H
play,12,0,452658,,,D7/F.2-H;3-H
play,12,0,458665,,,W
play,12,0,456390,,,NP
sub,465629,Edward Mujica,1,0,1
play,12,0,456390,,,7/F
play,12,0,457881,,,K
play,12,1,471808,,,NP
sub,457881,Clinton Chauncey,0,7,2
play,12,1,444514,,,NP
sub,441292,Felix Romero,0,0,1
play,12,1,471808,,,4/P
play,12,1,444514,,,8/F
play,12,1,449775,,,K
id,KinCAR200504120
info,visteam,WilCAR
info,hometeam,KinCAR
info,date,2005/04/12
start,458902,Ignacio Suarez,0,1,6
start,451506,Zachary Borowiak,0,2,4
start,445945,Ian Bladergroen,0,3,3
start,452658,Scott White,0,4,5
start,458665,Chad Spann,0,5,10
start,456390,Michael Hall,0,6,7
start,457881,Clinton Chauncey,0,7,2
start,445587,Bryan Goelz,0,8,9
start,461257,Gregory Stone,0,9,8
start,434669,Luis Mendoza,0,0,1
start,444514,Nathan Panther,1,1,7
start,449775,Brandon Pinckney,1,2,10
start,430957,Brad Snyder,1,3,8
start,450260,Kevin Kouzmanoff,1,4,5
start,457830,Ryan Goleski,1,5,9
start,444515,Shaun Larkin,1,6,3
start,446897,Caleb Brock,1,7,2
start,444340,Micah Schilling,1,8,4
start,471808,Christopher De La Cruz,1,9,6
start,445948,Ronald Bay,1,0,1
play,1,0,458902,,,9/F
play,1,0,451506,,,9/F
play,1,0,445945,,,7/F
play,1,1,444514,,,S7/G
play,1,1,449775,,,S7/G.1-2
play,1,1,430957,,,13/G.1-2;2-3
play,1,1,450260,,,W
play,1,1,457830,,,8/SF.1-2;2-3;3-H
play,1,1,444515,,,K
play,2,0,452658,,,D7/F
play,2,0,458665,,,HR/F.2-H
play,2,0,456390,,,S8/G
play,2,0,457881,,,S7/G.1-2
play,2,0,445587,,,K
play,2,0,461257,,,PB.1-2;2-3
play,2,0,461257,,,K
play,2,0,458902,,,D7/F.2-H;3-H
play,2,0,451506,,,7/F
play,2,1,446897,,,9/F
play,2,1,444340,,,S1/L
play,2,1,471808,,,K
play,2,1,444514,,,CS2
play,3,0,445945,,,S7/G
play,3,0,452658,,,S7/G.1-2
play,3,0,458665,,,7/F
play,3,0,456390,,,8/F
play,3,0,457881,,,K23
play,3,1,444514,,,31/G
play,3,1,449775,,,7/F
play,3,1,430957,,,41/G
play,4,0,445587,,,S7/G
play,4,0,461257,,,13/SH.1-2
play,4,0,458902,,,S8/G.2-3
play,4,0,451506,,,9/F.3XH(92)
play,4,1,450260,,,D7/F
