id,GbrGCL200506250
info,visteam,GyaGCL
info,hometeam,GbrGCL
info,date,2005/06/25
start,468483,Francisco Castillo,0,0,1
start,457788,Jordan Schafer,1,1,8
start,449899,Trevion Griffin,1,2,7
start,462101,Elvis Andrus,1,3,6
start,445219,Adam Parliament,1,4,9
start,460369,Jose Camarena,1,5,3
start,489132,Brandon Monk,1,6,4
start,448171,Ernesto Mejia,1,7,10
start,490633,Greg Creek,1,8,5
start,461427,Phillip Britton,1,9,2
start,476686,Jeff Lyman,1,0,1
play,1,0,462495,,,K
play,1,0,476015,,,HP
play,1,0,460344,,,E1.1-2
play,1,0,490006,,,SB3;SB2
play,1,0,490006,,,S8/G.2-3;3-H
play,1,0,457706,,,6(1)3/G6/GDP
play,1,1,457788,,,K
play,1,1,449899,,,53/G
play,1,1,462101,,,9/F
play,2,0,468474,,,31/G
play,2,0,465041,,,53/G
play,2,0,467798,,,S8/G
play,2,0,457107,,,WP.1-2
play,2,0,457107,,,E4.2-3
play,2,0,462495,,,SB2
play,2,0,462495,,,E4.2-H;3-H
play,2,0,476015,,,D8/L.1-H
play,2,0,460344,,,13/G
play,2,1,445219,,,K
play,2,1,460369,,,S8/L
play,2,1,489132,,,W.1-2
play,2,1,448171,,,WP.1-2;2-3
play,2,1,448171,,,53/G.2-3;3-H
play,2,1,490633,,,7/F
play,3,0,490006,,,53/G
play,3,0,457706,,,S8/G
play,3,0,468474,,,NP
sub,489205,Joel Perez,0,5,12
play,3,0,468474,,,3/G.1-2
play,3,0,465041,,,63/G
play,3,1,placeholder,,,NP
sub,460344,Wilkins De La Rossa,0,3,8
play,3,1,placeholder,,,NP
sub,489205,Joel Perez,0,5,9
play,3,1,461427,,,9/F
play,3,1,457788,,,13/G
play,3,1,449899,,,13/G
play,4,0,467798,,,NP
sub,446597,Kyle Warren,1,0,1
play,4,0,467798,,,9/F
play,4,0,457107,,,53/G
play,4,0,462495,,,9/F
play,4,1,462101,,,HP
play,4,1,445219,,,S8/G.1-2
play,4,1,460369,,,64(1)3/GDP/G6.2-3
play,4,1,489132,,,31/G
play,5,0,476015,,,63/G
play,5,0,460344,,,31/G
play,5,0,490006,,,W
play,5,0,489205,,,9/F
play,5,1,448171,,,NP
sub,453521,Juan Velazquez,0,0,1
play,5,1,448171,,,63/G
play,5,1,490633,,,53/G
play,5,1,461427,,,K
play,6,0,468474,,,NP
sub,446596,Joshua Ward,1,0,1
play,6,0,468474,,,S9/G
play,6,0,465041,,,D8/L.1-3
play,6,0,467798,,,D8/L.2-H;3-H
play,6,0,457107,,,S8/L.2-H
play,6,0,462495,,,PO1(E?).1-2
play,6,0,462495,,,4/L
play,6,0,476015,,,53/G
play,6,0,460344,,,K
play,6,1,457788,,,W
play,6,1,449899,,,W.1-2
play,6,1,462101,,,S8/G.1-3;2-H
play,6,1,445219,,,FC6/G.1X2(64);3-H;B-1
play,6,1,460369,,,WP.1-2
play,6,1,460369,,,K
play,6,1,489132,,,9/F
play,7,0,490006,,,31/G
play,7,0,489205,,,T8/L
play,7,0,468474,,,FC4.3XH(42)
play,7,0,465041,,,S8/G.1-2
play,7,0,467798,,,S8/G.2X3(85)
play,7,1,448171,,,NP
sub,444883,Jorge Morales,0,0,1
play,7,1,448171,,,K
play,7,1,490633,,,43/G
play,7,1,461427,,,S8/L
play,7,1,457788,,,WP.1-2
play,7,1,457788,,,K
id,GbrGCL200507082
info,visteam,GyaGCL
info,hometeam,GbrGCL
info,date,2005/07/08
start,462495,Luis Nunez,0,1,6
start,476015,C. J. Henry,0,2,10
start,468474,Jose Gil,0,3,3
start,490006,Jared Greenwood,0,4,2
start,489205,Joel Perez,0,5,9
start,467798,Jose Tabata,0,6,8
start,453598,Jason Lafountain,0,7,5
start,450841,Angel Fermin,0,8,7
start,457107,Wilmer Pino,0,9,4
start,450185,Guillermo Villalona,0,0,1
start,457788,Jordan Schafer,1,1,7
start,448188,Deivis Rivadeneira,1,2,6
start,462101,Elvis Andrus,1,3,10
start,460369,Jose Camarena,1,4,3
start,448171,Ernesto Mejia,1,5,9
start,490633,Greg Creek,1,6,5
start,490932,Robert Marcial,1,7,4
start,451098,Steven Garcia,1,8,2
start,455697,Eliazar Carmona,1,9,8
start,458678,Michael Broadway,1,0,1
play,1,0,462495,,,9/F
play,1,0,476015,,,K
play,1,0,468474,,,43/G
play,1,1,457788,,,31/G
play,1,1,448188,,,13/G
play,1,1,462101,,,D7/L
play,1,1,460369,,,S8/L.2-H
play,1,1,448171,,,HP.1-2
play,1,1,490633,,,K
play,2,0,490006,,,S7/F
play,2,0,placeholder,,,PO1(E?).1-2
play,2,0,489205,,,S9/G.2-H
play,2,0,467798,,,46(1)3/GDP/G4
play,2,0,453598,,,63/G
play,2,1,490932,,,K
play,2,1,451098,,,W
play,2,1,455697,,,S8/F.1-2
play,2,1,457788,,,D8/F.1-3;2-H
play,2,1,448188,,,K
play,2,1,462101,,,43/G
play,3,0,450841,,,3/P
play,3,0,457107,,,D7/G
play,3,0,462495,,,D8/F.2-H
play,3,0,476015,,,HR/F.2-H
play,3,0,468474,,,W
play,3,0,490006,,,NP
sub,447842,Jamie Richmond,1,0,1
play,3,0,490006,,,K
play,3,0,489205,,,63/G
play,3,1,460369,,,NP
sub,462506,Domingo Cabrera,0,0,1
play,3,1,460369,,,K
play,3,1,448171,,,K
play,3,1,490633,,,W
play,3,1,490932,,,53/G
play,4,0,467798,,,K
play,4,0,453598,,,W
play,4,0,450841,,,D7/F.1-3
play,4,0,457107,,,7/F
play,4,0,462495,,,S8/F.2-H;3-H
play,4,0,476015,,,K
play,4,1,451098,,,K23
play,4,1,455697,,,13/G
play,4,1,457788,,,K
play,5,0,468474,,,K
play,5,0,490006,,,K
play,5,0,489205,,,63/G
play,5,1,448188,,,K
play,5,1,462101,,,K
play,5,1,460369,,,9/F
play,6,0,467798,,,NP
sub,450169,Pedro Rayo,1,0,1
play,6,0,467798,,,9/F
play,6,0,453598,,,W
play,6,0,450841,,,7/F
play,6,0,457107,,,FC4/G.1X2(46)
play,6,1,448171,,,NP
sub,488675,Jesse Bahr,0,0,1
play,6,1,448171,,,S4/G
play,6,1,490633,,,46(1)3/GDP/G4
play,6,1,490932,,,DGR/F7
play,6,1,451098,,,9/F
play,7,0,462495,,,5/PF
play,7,0,476015,,,K23
play,7,0,468474,,,43/G
play,7,1,455697,,,13/G
