id,WisMDW200505060
info,visteam,DayMDW
info,hometeam,WisMDW
info,date,2005/05/06
play,4,0,448790,,,HP.1-2;2-3
play,4,0,455675,,,S9/G.1-3;2-H;3-H;B-2
play,4,0,457926,,,5(B)5(3)/LDP
play,4,0,451778,,,K
play,4,1,449168,,,K
play,4,1,472594,,,63/G
play,4,1,462523,,,W
play,4,1,444125,,,8/F
play,5,0,446339,,,8/F
play,5,0,450819,,,63/G
play,5,0,446041,,,63/G
play,5,1,451573,,,S8/G
play,5,1,445164,,,SB2
play,5,1,445164,,,S7/G.2-3
play,5,1,456698,,,4/P
play,5,1,453444,,,S9/G.1-3;3-H
play,5,1,453531,,,SB2
play,5,1,453531,,,D8/L.2-H;3-H
play,5,1,449168,,,NP
sub,458942,Zach Stott,0,0,1
play,5,1,449168,,,63/G.2-3
play,5,1,472594,,,63/G
play,6,0,461874,,,W
play,6,0,452028,,,4(1)3/G4/GDP
play,6,0,448790,,,HR/L
play,6,0,455675,,,43/G
play,6,1,462523,,,NP
sub,446859,Camilo Vazquez,0,0,1
play,6,1,462523,,,3/PF
play,6,1,444125,,,K
play,6,1,451573,,,W
play,6,1,445164,,,SB2
play,6,1,445164,,,K
play,7,0,457926,,,NP
sub,449055,Kendall Bergdall,1,0,1
play,7,0,457926,,,W
play,7,0,451778,,,43/G.1-2
play,7,0,446339,,,D7/L.2-H
play,7,0,450819,,,NP
sub,450325,Habelito Hernandez,0,5,11
play,7,0,450325,,,63/G.2-3
play,7,0,446041,,,W
play,7,0,461874,,,9/F
play,7,1,456698,,,NP
sub,450325,Habelito Hernandez,0,5,10
play,7,1,456698,,,K
play,7,1,453444,,,K
play,7,1,453531,,,K
play,8,0,452028,,,NP
sub,451591,Chad Fillinger,1,0,1
play,8,0,452028,,,S5/BG
play,8,0,448790,,,K
play,8,0,455675,,,E1/TH.1-2
play,8,0,457926,,,K
play,8,0,451778,,,K
play,8,1,449168,,,K
play,8,1,472594,,,7/F
play,8,1,462523,,,7/F
play,9,0,446339,,,D7/F
play,9,0,450325,,,13/SH.2-3
play,9,0,446041,,,D7/L.3-H;BX3(765)
play,9,0,461874,,,K
play,9,1,444125,,,NP
sub,452716,Blake Hendley,0,0,1
play,9,1,444125,,,K
play,9,1,451573,,,W
play,9,1,445164,,,NP
sub,453963,Thomas Hubbard,1,9,11
play,9,1,453963,,,W.1-2
play,9,1,placeholder,,,NP
sub,464281,Oswaldo Navarro,1,9,12
play,9,1,456698,,,FC6/G.1X2(64);2-3;B-1
play,9,1,453444,,,K
id,WisMDW200505100
info,visteam,WesMDW
info,hometeam,WisMDW
info,date,2005/05/10
start,460686,Brooks Colvin,0,1,4
start,457133,Wilkin Ramirez,0,2,5
start,461838,Josh Lee,0,3,3
start,459438,Brent Dlugach,0,4,6
start,457808,Jody Roughton,0,5,10
start,448226,Luis Sabino,0,6,7
