id,ColSAL200505040
info,visteam,AugSAL
info,hometeam,ColSAL
info,date,2005/05/04
start,452675,Marcos Vechionacci,0,3,6
start,452780,Cody Ehlers,0,4,3
start,444949,Ben Jones,0,5,10
start,456394,Estee Harris,0,6,7
start,462496,William Plaza,0,7,2
start,456033,Jonathan Poterson,0,8,9
start,459437,Jordan Devoir,0,9,5
start,457435,Phil Coke,0,0,1
start,448244,Sam Steidl,1,1,7
start,469845,Jamie Hoffmann,1,2,8
start,455088,Blake Dewitt,1,3,5
start,458239,Travis Denker,1,4,4
start,461315,Lucas May,1,5,6
start,448622,Daniel Batz,1,6,3
start,448596,David Nicholson,1,7,10
start,465698,Juan Apodaca,1,8,2
start,451640,Ryan Russ,1,9,9
start,447763,Jesus Castillo,1,0,1
play,1,0,456656,,,9/F
play,1,0,458533,,,8/F
play,1,0,452675,,,K
play,1,1,448244,,,43/G
play,1,1,469845,,,K
play,1,1,455088,,,S9/F
play,1,1,458239,,,FC6/G.1X2(64)
play,2,0,452780,,,S8/F
play,2,0,444949,,,K
play,2,0,456394,,,S8/F.1-2
play,2,0,placeholder,,,NP
sub,454662,Brian Akin,1,0,1
play,2,0,462496,,,E5.1-2;2-3
play,2,0,456033,,,D9/F.1-H;2-H;3-H;BX3(945)
play,2,0,459437,,,43/G
play,2,1,461315,,,13/G
play,2,1,448622,,,S7/F
play,2,1,448596,,,W.1-2
play,2,1,465698,,,BK.1-2;2-3
play,2,1,465698,,,S7/F.2-H;3-H
play,2,1,451640,,,9/F
play,2,1,448244,,,S7/F.1-2
play,2,1,469845,,,63/G
play,3,0,456656,,,8/F
play,3,0,458533,,,D9/F
play,3,0,452675,,,S9/F.2-H
play,3,0,452780,,,D7/F.1-H
play,3,0,444949,,,8/F
play,3,0,456394,,,63/G
play,3,1,455088,,,31/G
play,3,1,458239,,,63/G
play,3,1,461315,,,53/G
play,4,0,462496,,,4/P
play,4,0,456033,,,D7/F
play,4,0,459437,,,K
play,4,0,456656,,,S6/G.2-3
play,4,0,458533,,,8/F
play,4,1,448622,,,S7/F
play,4,1,448596,,,out./G.1-H;BX3
play,4,1,465698,,,53/G
play,4,1,451640,,,63/G
play,5,0,452675,,,NP
sub,449079,Wesley Wright,1,0,1
play,5,0,452675,,,S9/F
play,5,0,452780,,,W.1-2
play,5,0,444949,,,13/G.1-2;2-3
play,5,0,456394,,,S7/F.2-H;3-H
play,5,0,462496,,,POCS2(136)
play,5,0,462496,,,K23
play,5,1,448244,,,W
play,5,1,469845,,,NP
sub,458899,Brad Blackwell,0,0,1
play,5,1,469845,,,K
play,5,1,455088,,,8/F
play,5,1,458239,,,S8/F.1-2
play,5,1,461315,,,43/G
play,6,0,456033,,,63/G
play,6,0,459437,,,W
play,6,0,456656,,,K
play,6,0,458533,,,HP.1-2
play,6,0,452675,,,4/P
play,6,1,448622,,,S6/G
play,6,1,448596,,,46(1)3/GDP/G4
play,6,1,465698,,,6/L
play,7,0,452780,,,43/G
play,7,0,444949,,,K
play,7,0,456394,,,43/G
play,7,1,451640,,,S6/G
play,7,1,448244,,,6(1)3/G6/GDP
play,7,1,469845,,,W
play,7,1,455088,,,8/F
play,8,0,462496,,,NP
sub,460677,Cory Wade,1,0,1
play,8,0,462496,,,W
play,8,0,456033,,,8/F
play,8,0,459437,,,E6.1-2
play,8,0,456656,,,S7/F.1-2;2-3
play,8,0,458533,,,46(1)3/GDP/G4
play,8,1,458239,,,NP
