id,MisSL200505130
info,visteam,MobSL
info,hometeam,MisSL
info,date,2005/05/13
play,3,1,438423,,,8/F
play,4,0,435220,,,W
play,4,0,434602,,,W.1-2
play,4,0,435222,,,SH.1-2;2-3;B-1
play,4,0,279565,,,9/SF.3-H
play,4,0,455755,,,5/P
play,4,0,462413,,,FC6/G.1X2(64)
play,4,1,452190,,,W
play,4,1,434682,,,S8/L.1-2
play,4,1,459320,,,FC1/G.1-2;2X3(15);B-1
play,4,1,453923,,,8/F.2-3
play,4,1,451664,,,9/F
play,5,0,455683,,,HR/F
play,5,0,435539,,,13/BG
play,5,0,455759,,,HP
play,5,0,435220,,,W.1-2
play,5,0,434602,,,W.1-2;2-3
play,5,0,435222,,,WP.1-2;2-3;3-H
play,5,0,435222,,,7/SF.2-3(E7)(E7/TH);3-H
play,5,0,279565,,,S9/L.3-H
play,5,0,455755,,,NP
sub,150256,Brian O'Connor,1,0,1
play,5,0,455755,,,CS2
play,5,1,425796,,,NP
sub,459333,William Lamura,0,0,1
play,5,1,425796,,,63/G
play,5,1,429801,,,K
play,5,1,435263,,,K
play,6,0,455755,,,D7/L
play,6,0,462413,,,K
play,6,0,455683,,,3/G.2-3
play,6,0,435539,,,S7/L.3-H
play,6,0,455759,,,FC5/G.1X2(54)
play,6,1,438423,,,63/G
play,6,1,452190,,,W
play,6,1,434682,,,7/F
play,6,1,459320,,,S9/L.BX2(96)
play,7,0,435220,,,3/G
play,7,0,434602,,,W
play,7,0,435222,,,E5.1-2
play,7,0,279565,,,K
play,7,0,455755,,,S8/L.1-2;2-H
play,7,0,462413,,,D7/L.1XH;2-H
play,7,1,453923,,,NP
sub,430600,Ryan Meaux,0,0,1
play,7,1,453923,,,S6/G
play,7,1,451664,,,7/F
play,7,1,425796,,,9/L
play,7,1,429801,,,63/G
play,8,0,455683,,,NP
sub,150053,Mike Porzio,1,0,1
play,8,0,455683,,,63/G
play,8,0,435539,,,6/L
play,8,0,455759,,,HR/F
play,8,0,435220,,,9/F
play,8,1,435263,,,3/G
play,8,1,438423,,,7/F
play,8,1,452190,,,63/G
play,9,0,434602,,,NP
sub,457450,Glenn Tucker,1,0,1
play,9,0,434602,,,W
play,9,0,435222,,,E5/TH.1-2
play,9,0,279565,,,4/P
play,9,0,455755,,,S7/G.1-2;2-3
play,9,0,462413,,,K
play,9,0,455683,,,S7/G.1-2;2-3;3-H
play,9,0,435539,,,3/G
play,9,1,434682,,,NP
sub,455666,Dwayne Pollok,0,0,1
play,9,1,434682,,,7/F
play,9,1,459320,,,6/P
play,9,1,453923,,,D8/L
play,9,1,451664,,,D7/L.2-H
play,9,1,425796,,,63/G
id,MisSL200505180
info,visteam,BirSL
info,hometeam,MisSL
info,date,2005/05/18
start,435539,Jerry Owens,0,1,10
start,455759,Christopher Young,0,2,8
start,435220,Ryan Sweeney,0,3,9
start,434602,Casey Rogowski,0,4,3
start,435222,Josh Fields,0,5,5
start,279565,Darren Blakely,0,6,7
start,425842,Jonathan Aceves,0,7,2
start,462413,Angel Gonzalez,0,8,6
start,455683,Antoin Gray,0,9,4
start,458984,Nikolas Lubisich,0,0,1
start,438423,Juan Velazquez,1,1,5
start,451664,Wes Timmons,1,2,10
start,425796,Jeff Francoeur,1,3,8
start,429801,Scott Thorman,1,4,3
start,435263,Brian McCann,1,5,2
start,452190,Michael Rosamond,1,6,9
start,430643,Onil Joseph,1,7,7
start,434682,Luis Hernandez,1,8,6
start,459320,Jonathan Schuerholz,1,9,4
start,453435,Matthew Coenen,1,0,1
play,1,0,435539,,,7/F
play,1,0,455759,,,K
play,1,0,435220,,,3/G
play,1,1,438423,,,63/G
play,1,1,451664,,,D7/F
play,1,1,425796,,,S5/G.2-3
play,1,1,429801,,,SB2
play,1,1,429801,,,FC1.2X3(12);E2/TH);3-H
play,1,1,435263,,,43/G
play,2,0,434602,,,63/G
play,2,0,435222,,,W
play,2,0,279565,,,FC4/G.1X2(46);B-1
play,2,0,425842,,,K23
play,2,1,452190,,,13/G
play,2,1,430643,,,7/F
play,2,1,434682,,,D9/L
play,2,1,459320,,,7/F
play,3,0,462413,,,63/G
play,3,0,455683,,,W
play,3,0,435539,,,FC6/G.1X2(64);B-1
play,3,0,455759,,,SB2
play,3,0,455759,,,W+SB3
play,3,0,435220,,,E6.1-2;3-H
play,3,0,434602,,,43/G
play,3,1,438423,,,53/G
play,3,1,451664,,,7/FF
play,3,1,425796,,,K
play,4,0,435222,,,7/F
play,4,0,279565,,,D7/F
play,4,0,425842,,,13/G.2-3
play,4,0,462413,,,K
play,4,1,429801,,,53/G
play,4,1,435263,,,31/G
play,4,1,452190,,,43/G
play,5,0,455683,,,K
play,5,0,435539,,,S4/BG
play,5,0,455759,,,POCS2(234)
play,5,0,455759,,,K
play,5,1,430643,,,43/G
play,5,1,434682,,,9/F
play,5,1,459320,,,8/F
play,6,0,435220,,,NP
sub,457460,Ryan Basner,1,0,1
play,6,0,435220,,,S8/L
play,6,0,434602,,,E1.1-2
play,6,0,435222,,,13/SH.1-2;2-3
play,6,0,279565,,,IW
play,6,0,425842,,,S9/G.1-3;2-H;3-H
play,6,0,462413,,,S1/BG.1-2;3-H
play,6,0,455683,,,S8/F.1-2;2-H
play,6,0,435539,,,8/F.2-3
play,6,0,455759,,,PO?(E?).1-2;3-H
play,6,0,455759,,,K
play,6,1,438423,,,9/F
play,6,1,451664,,,W
play,6,1,425796,,,S7/F.1-2
play,6,1,429801,,,D8/F.1-H;2-H;B-3(E4/TH)
play,6,1,435263,,,4/P
play,6,1,452190,,,63/G
play,7,0,435220,,,NP
sub,150053,Mike Porzio,1,0,1
play,7,0,435220,,,5/L
play,7,0,434602,,,W
play,7,0,435222,,,SB2
play,7,0,435222,,,9/F
play,7,0,279565,,,7/F
play,7,1,430643,,,NP
sub,408098,Dennis Ulacia,0,0,1
play,7,1,430643,,,S7/L
play,7,1,434682,,,FC1/G.1X2(16);B-1
play,7,1,459320,,,7/F
play,7,1,438423,,,PB.1-2
play,7,1,438423,,,13/G
play,8,0,425842,,,NP
sub,430655,Jorge Vasquez,1,0,1
play,8,0,425842,,,K
play,8,0,462413,,,3/PF
play,8,0,455683,,,NP
sub,445144,Cory Haggerty,0,9,11
play,8,0,445144,,,8/F
play,8,1,451664,,,NP
sub,445144,Cory Haggerty,0,9,4
play,8,1,425796,,,NP
sub,434603,Paulino Reynoso,0,0,1
play,8,1,451664,,,K
play,8,1,425796,,,3/G
play,8,1,429801,,,S8/F
play,8,1,435263,,,D9/F.1-H
play,8,1,452190,,,NP
sub,408057,Bobby Jenks,0,0,1
play,8,1,452190,,,43/G
play,9,0,435539,,,43/G
play,9,0,455759,,,K
play,9,0,435220,,,31/G
play,9,1,430643,,,K
play,9,1,434682,,,K
play,9,1,459320,,,43/G
id,MisSL200505270
info,visteam,MonSL
info,hometeam,MisSL
info,date,2005/05/27
start,442745,Michael Curry,0,1,7
start,448327,Fernando Cortez,0,2,4
start,430321,Delmon Young,0,3,9
start,442146,Rico Washington,0,4,5
start,150450,Brent Butler,0,5,6
start,452668,Elijah Dukes,0,6,8
start,449867,John Raburn,0,7,10
start,448843,Gabriel Martinez,0,8,3
start,445991,Graig Merritt,0,9,2
start,434628,Jason Hammel,0,0,1
start,430643,Onil Joseph,1,1,7
start,348561,John Barnes,1,2,9
start,429801,Scott Thorman,1,3,3
start,425796,Jeff Francoeur,1,4,8
