id,KinCAR200604240
info,visteam,LynCAR
info,hometeam,KinCAR
info,date,2006/04/24
play,3,0,451621,,,4/L
play,3,1,449775,,,HR/F
play,3,1,444340,,,W
play,3,1,440924,,,53/G.1-2
play,3,1,469040,,,S7/F.2-H
play,3,1,452073,,,CS2
play,3,1,452073,,,63/G
play,4,0,452768,,,S3/BG
play,4,0,476704,,,7/F
play,4,0,452658,,,63/G.1-2
play,4,0,456031,,,K
play,4,1,460067,,,D8/F
play,4,1,460115,,,63/G.2-3
play,4,1,457830,,,7/SF.3-H
play,4,1,488740,,,43/G
play,5,0,457958,,,NP
sub,444836,Aaron Laffey,1,0,1
play,5,0,457958,,,3/L
play,5,0,446636,,,63/G
play,5,0,456390,,,W
play,5,0,489227,,,7/F
play,5,1,449775,,,E5/TH
play,5,1,444340,,,K+SB2;1-3(E2)(E2/TH)
play,5,1,440924,,,S7/F.3-H
play,5,1,469040,,,4/P
play,5,1,452073,,,6/P
play,6,0,451621,,,K
play,6,0,452768,,,63/G
play,6,0,476704,,,S5/L
play,6,0,452658,,,5/L
play,6,1,460067,,,NP
sub,451507,Justin Sturge,0,0,1
play,6,1,460067,,,K
play,6,1,460115,,,K
play,6,1,457830,,,8/F
play,7,0,456031,,,D7/F
play,7,0,457958,,,HP
play,7,0,446636,,,FC6/G.1X2(64);2-3;B-1
play,7,0,456390,,,FC4/G.1X2(46);3-H;B-1
play,7,0,489227,,,FC6/G.1X2(6)
play,7,1,488740,,,5/PF
play,7,1,449775,,,43/G
play,7,1,444340,,,HP
play,7,1,440924,,,POCS2(134)
play,8,0,451621,,,63/G
play,8,0,452768,,,43/G
play,8,0,476704,,,63/G
play,8,1,440924,,,K
play,8,1,469040,,,63/G
play,8,1,452073,,,S7/G
play,8,1,460067,,,K
play,9,0,452658,,,S9/G
play,9,0,456031,,,4/P
play,9,0,457958,,,54(1)3/GDP/G5
id,KinCAR200604140
info,visteam,WinCAR
info,hometeam,KinCAR
info,date,2006/04/14
start,456435,Sean Smith,0,1,8
start,468981,Victor Mercedes,0,2,6
start,449803,David Cook,0,3,7
start,446471,Christopher Kelly,0,4,3
start,455113,Donny Lucy,0,5,2
start,496227,Anderson Gomes,0,6,9
start,445144,Cory Haggerty,0,7,4
start,466994,Jose De Los Santos,0,8,5
start,461873,Evan Tartaglia,0,9,10
start,448614,Carlos Torres,0,0,1
start,469040,Argenis Reyes,1,1,4
start,452073,Brian Finegan,1,2,6
start,460067,Trevor Crowe,1,3,8
start,460115,Stephen Head,1,4,3
start,457830,Ryan Goleski,1,5,9
start,488740,Jordan Brown,1,6,7
start,456594,Matthew Whitney,1,7,5
start,446382,Brian Barton,1,8,10
start,444430,Wyatt Toregas,1,9,2
start,460029,Jensen Lewis,1,0,1
play,1,0,456435,,,S6/G
play,1,0,468981,,,WP.1-2
play,1,0,468981,,,43/G.2-3
play,1,0,449803,,,S7/G.3-H
play,1,0,446471,,,S8/G.1-2
play,1,0,455113,,,43/G.1-2;2-3
play,1,0,496227,,,S8/F.2-H;3-H
play,1,0,445144,,,13/G
play,1,1,469040,,,E6
play,1,1,452073,,,FC5/G.1X2(54);B-1
play,1,1,460067,,,W.1-2
play,1,1,460115,,,7/F
play,1,1,457830,,,W.1-2;2-3
play,1,1,488740,,,13/G
play,2,0,466994,,,K
play,2,0,461873,,,7/F
play,2,0,456435,,,K
play,2,1,456594,,,HR/F
play,2,1,446382,,,8/F
play,2,1,444430,,,S9/L
play,2,1,469040,,,FC6/G.1X2(64);B-1
play,2,1,452073,,,8/F
play,3,0,468981,,,63/G
play,3,0,449803,,,W
play,3,0,446471,,,HR/F.1-H
play,3,0,455113,,,D9/F
play,3,0,496227,,,53/G
play,3,0,445144,,,D9/F.2-H
play,3,0,466994,,,K
play,3,1,460067,,,W
play,3,1,460115,,,S9/F.1-2
play,3,1,457830,,,K
play,3,1,488740,,,S9/F.1-2;2-3
play,3,1,456594,,,K
play,3,1,446382,,,K
play,4,0,461873,,,5/PF
play,4,0,456435,,,S9/F
play,4,0,468981,,,FC4/G.1X2(46);B-1
play,4,0,449803,,,9/F
play,4,1,444430,,,E6
play,4,1,469040,,,FC4/G.1X2(4);B-1
play,4,1,452073,,,FC5/G.1X2(54);B-1
play,4,1,460067,,,S8/G.1-3
play,4,1,460115,,,8/F
play,5,0,446471,,,53/G
play,5,0,455113,,,S7/F
play,5,0,496227,,,D7/G.1-H;BX3(765)
play,5,0,445144,,,7/F
play,5,1,457830,,,K
play,5,1,488740,,,31/G
play,5,1,456594,,,K
play,6,0,466994,,,NP
sub,460264,Christopher Niesel,1,0,1
play,6,0,466994,,,K
play,6,0,461873,,,K
play,6,0,456435,,,53/G
play,6,1,446382,,,NP
sub,455060,John Hurd,0,0,1
play,6,1,446382,,,K
play,6,1,444430,,,K
play,6,1,469040,,,53/G
play,7,0,468981,,,43/G
play,7,0,449803,,,43/G
play,7,0,446471,,,HR/F
play,7,0,455113,,,K
play,7,1,452073,,,8/F
play,7,1,460067,,,W
play,7,1,460115,,,7/FF.1-2
play,7,1,457830,,,3/P
play,8,0,496227,,,4/L
play,8,0,445144,,,W
play,8,0,466994,,,K
play,8,0,461873,,,K
play,8,1,488740,,,43/G
play,8,1,456594,,,W
play,8,1,446382,,,S8/F.1-2
play,8,1,444430,,,D7/F.1-3;2-H
play,8,1,469040,,,63/G.2-3;3-H
play,8,1,452073,,,43/G
play,9,0,456435,,,NP
sub,444933,Jesus Soto,1,0,1
play,9,0,456435,,,53/G
play,9,0,468981,,,7/FF
play,9,0,449803,,,53/G
play,9,1,460067,,,NP
sub,452747,Matthew Zaleski,0,0,1
play,9,1,460067,,,8/F
play,9,1,460115,,,S4/G
play,9,1,457830,,,7/FF
play,9,1,488740,,,K
id,KinCAR200604150
info,visteam,WinCAR
info,hometeam,KinCAR
info,date,2006/04/15
start,456435,Sean Smith,0,1,8
start,468981,Victor Mercedes,0,2,6
start,449803,David Cook,0,3,7
start,446471,Christopher Kelly,0,4,3
start,455113,Donny Lucy,0,5,2
start,496227,Anderson Gomes,0,6,9
start,452260,Rod Allen,0,7,10
start,466994,Jose De Los Santos,0,8,5
start,456551,Garrett Guest,0,9,4
start,452240,Adam Russell,0,0,1
start,469040,Argenis Reyes,1,1,4
start,449775,Brandon Pinckney,1,2,6
start,460067,Trevor Crowe,1,3,8
start,460115,Stephen Head,1,4,3
start,446382,Brian Barton,1,5,9
start,488740,Jordan Brown,1,6,7
start,456594,Matthew Whitney,1,7,5
start,444340,Micah Schilling,1,8,10
start,440924,Armando Camacaro,1,9,2
start,455111,Chuck Lofgren,1,0,1
play,1,0,456435,,,S7/F
play,1,0,468981,,,2/G(BATINT)
play,1,0,449803,,,5/PF
play,1,0,446471,,,CS2
play,1,1,469040,,,53/G
play,1,1,449775,,,4/L
play,1,1,460067,,,W
play,1,1,460115,,,CS2
play,2,0,446471,,,8/F
play,2,0,455113,,,43/G
play,2,0,496227,,,K
play,2,1,460115,,,63/G
play,2,1,446382,,,HP
play,2,1,488740,,,S7/L.1-2
play,2,1,456594,,,HR/F.1-H;2-H
play,2,1,444340,,,K
play,2,1,440924,,,63/G
play,3,0,452260,,,53/G
play,3,0,466994,,,S6/G
play,3,0,456551,,,W.1-2
play,3,0,456435,,,6/P
play,3,0,468981,,,4/L
play,3,1,469040,,,S8/G
play,3,1,449775,,,9/L
play,3,1,460067,,,5(B)53(1)/LDP
play,4,0,449803,,,W
play,4,0,446471,,,K
play,4,0,455113,,,2/PF
play,4,0,496227,,,CS2
play,4,1,460115,,,7/F
play,4,1,446382,,,D8/F.BX2(86)
play,4,1,488740,,,K
play,5,0,496227,,,3/PF
play,5,0,452260,,,S8/G
play,5,0,466994,,,9/F
play,5,0,456551,,,POCS2(136)
play,5,1,456594,,,13/G
play,5,1,444340,,,53/G
play,5,1,440924,,,S1/G.B-2(E1/TH)
play,5,1,469040,,,K
play,6,0,456551,,,W
play,6,0,456435,,,23/SH.1-2
play,6,0,468981,,,6/P
play,6,0,449803,,,NP
sub,452083,Kyle Collins,1,0,1
play,6,0,449803,,,K
play,6,1,449775,,,S5/G
play,6,1,460067,,,S8/F.1-3
play,6,1,460115,,,36(1)3/GDP/G3.3-H
play,6,1,446382,,,HP
play,6,1,488740,,,NP
sub,454434,Demetrius Banks,0,0,1
play,6,1,488740,,,W.1-2
play,6,1,456594,,,FC6/G.1X2(64)
play,7,0,446471,,,53/G
play,7,0,455113,,,S8/F
play,7,0,496227,,,53/G.1-2
