id,MisSL200604060
info,visteam,HunSL
info,hometeam,MisSL
info,date,2006/04/06
play,5,0,451258,,,5/PF
play,5,1,452162,,,S7/F
play,5,1,457461,,,NP
sub,453835,Ray Serrano,1,9,11
play,5,1,453835,,,6/P
play,5,1,453923,,,K+PO1(23)
play,6,0,445928,,,NP
sub,489336,Will Startup,1,9,1
play,6,0,445928,,,K
play,6,0,445143,,,8/F
play,6,0,473239,,,S7/F
play,6,0,460044,,,43/G
play,6,1,445988,,,K
play,6,1,488862,,,63/G
play,6,1,457454,,,9/F
play,7,0,455674,,,S4/BG
play,7,0,458501,,,64(1)3/GDP/G6
play,7,0,449065,,,K
play,7,1,150306,,,9/F
play,7,1,452169,,,53/G
play,7,1,430643,,,K
play,8,0,435459,,,NP
sub,453450,Paul Bush,1,7,1
play,8,0,451258,,,NP
sub,461345,Carl Loadenthal,1,9,7
play,8,0,435459,,,W
play,8,0,451258,,,8/F
play,8,0,445928,,,K
play,8,0,445143,,,9/F
play,8,1,452162,,,NP
sub,449820,Leonel Rosales,0,9,1
play,8,1,452162,,,K
play,8,1,461345,,,E4/TH.B-2
play,8,1,453923,,,W
play,8,1,445988,,,43/G.1-2;2-3
play,8,1,488862,,,E9.2-H;3-H
play,8,1,457454,,,IW.1-2
play,8,1,150306,,,9/F
play,9,0,473239,,,5/P
play,9,0,449820,,,NP
sub,444531,Steve Baker,0,9,11
play,9,0,444531,,,4/P
play,9,0,455674,,,6/P
play,9,1,452169,,,NP
sub,454612,Paul Abraham,0,9,1
play,9,1,452169,,,63/G
play,9,1,453450,,,NP
sub,452190,Michael RosamondJr.,1,7,11
play,9,1,452190,,,HR/F
id,MisSL200604120
info,visteam,MobSL
info,hometeam,MisSL
info,date,2006/04/12
start,455674,Adam Bourassa,0,1,8
start,473239,Juan Ciriaco,0,2,6
start,449065,Kennard Jones,0,3,7
start,435459,George Kottaras,0,4,2
start,451258,Brett Bonvechio,0,5,5
start,444531,Steve Baker,0,6,9
start,445143,Fernando Valenzuela Jr.,0,7,3
start,458236,Brett Dowdy,0,8,4
start,457437,Jared Wells,0,9,1
start,453923,Gregor Blanco,1,1,8
start,445988,Martin Prado,1,2,4
start,488862,Yunel Escobar,1,3,6
start,457454,Jarrod Saltalamacchia,1,4,2
start,150306,Dax Norris,1,5,3
start,452169,Matt Esquivel,1,6,9
start,430643,Onil Joseph,1,7,7
start,452162,Josh Arteaga,1,8,5
start,457460,Ryan Basner,1,9,1
play,1,0,455674,,,K
play,1,0,473239,,,9/F
play,1,0,449065,,,K
play,1,1,453923,,,S7/L
play,1,1,445988,,,SB2
play,1,1,445988,,,S4/G.2-3
play,1,1,488862,,,64(1)3/GDP/G6.3-H
play,1,1,457454,,,K
play,2,0,435459,,,4/P
play,2,0,451258,,,43/G
play,2,0,444531,,,53/G
play,2,1,150306,,,E1/TH.B-2
play,2,1,452169,,,9/F
play,2,1,430643,,,5/P
play,2,1,452162,,,63/G
play,3,0,445143,,,K
play,3,0,458236,,,9/F
play,3,0,457437,,,63/G
play,3,1,457460,,,K
play,3,1,453923,,,S7/F
play,3,1,445988,,,S9/F.1-2
play,3,1,488862,,,4(1)3/G4/GDP
play,4,0,455674,,,41/G
play,4,0,473239,,,W
play,4,0,449065,,,SB2
play,4,0,449065,,,63/G
play,4,0,435459,,,9/F
play,4,1,457454,,,HP
play,4,1,150306,,,5/P
play,4,1,452169,,,64(1)3/GDP/G6
play,5,0,451258,,,D8/F
play,5,0,444531,,,D9/L.2-3
play,5,0,445143,,,S9/F.2-H;3-H
play,5,0,458236,,,S4/G.1-2
play,5,0,457437,,,FC2/B.1-2;2X3(26);B-1
play,5,0,455674,,,S9/F.1-2;2-3
play,5,0,473239,,,8/SF.3-H
play,5,0,449065,,,NP
sub,430666,Phil Stockman,1,9,1
play,5,0,449065,,,W.1-2;2-3
play,5,0,435459,,,K
play,5,1,430643,,,K
play,5,1,452162,,,53/G
play,5,1,430666,,,9/F
play,6,0,451258,,,4/P
play,6,0,444531,,,4/PF
play,6,0,445143,,,S8/F
play,6,0,458236,,,8/L
play,6,1,453923,,,W
play,6,1,445988,,,53/G.1-2
play,6,1,488862,,,E6.2-3(E5)(E5)
play,6,1,457454,,,K
play,6,1,150306,,,NP
sub,454612,Paul Abraham,0,9,1
play,6,1,150306,,,W.1-2
play,6,1,452169,,,K
play,7,0,454612,,,NP
sub,456130,Matt Hagen,0,9,11
play,7,0,456130,,,K
play,7,0,455674,,,K
play,7,0,473239,,,K
play,7,1,430643,,,NP
sub,444315,Geoffrey Jones,0,9,1
play,7,1,430643,,,63/G
play,7,1,452162,,,K
play,7,1,430666,,,NP
sub,453835,Ray Serrano,1,9,11
play,7,1,453835,,,K
play,8,0,449065,,,NP
sub,457450,Glenn Tucker,1,9,1
play,8,0,449065,,,7/F
play,8,0,435459,,,K
play,8,0,451258,,,9/F
play,8,1,453923,,,K
play,8,1,445988,,,K
play,8,1,488862,,,W
play,8,1,457454,,,9/F
play,9,0,444531,,,3/L
play,9,0,445143,,,8/F
play,9,0,458236,,,E5/TH
play,9,0,444315,,,NP
sub,445928,Drew Macias,0,9,11
play,9,0,445928,,,23/G
play,9,1,150306,,,NP
sub,445612,Dale Thayer,0,9,1
play,9,1,150306,,,K
play,9,1,452169,,,63/G
play,9,1,430643,,,8/F
id,MisSL200604130
info,visteam,MobSL
