id,BluAPP200606281
info,visteam,EliAPP
info,hometeam,BluAPP
info,date,2006/06/28
play,2,1,502335,,,1/L
play,2,1,503484,,,K
play,3,0,468527,,,63/G
play,3,0,502583,,,K
play,3,0,457775,,,K
play,3,1,463717,,,2/PF
play,3,1,466445,,,63/G
play,3,1,488780,,,S8/G
play,3,1,457780,,,WP.1-3
play,3,1,457780,,,7/F
play,4,0,502523,,,D9/F
play,4,0,489101,,,K
play,4,0,489071,,,8/L
play,4,0,502213,,,K
play,4,1,502664,,,31/G
play,4,1,462984,,,D7/F
play,4,1,489762,,,S7/L.2-3
play,4,1,502335,,,D9/F.1XH;3-H
play,4,1,503484,,,WP.2-3
play,4,1,503484,,,63/G
play,5,0,456168,,,S9/G.B-3(E9)
play,5,0,456823,,,FC1.3XH(12)
play,5,0,468527,,,K
play,5,0,502583,,,POCS2(136)
play,5,1,463717,,,NP
sub,462992,Claudio Rodriguez,0,0,1
play,5,1,463717,,,3/G
play,5,1,466445,,,S7/G
play,5,1,488780,,,K
play,5,1,457780,,,CS2
play,6,0,457775,,,NP
sub,460151,Joshua Faiola,1,0,1
play,6,0,502583,,,S8/G
play,6,0,457775,,,W.1-2
play,6,0,502523,,,8/F
play,6,0,489101,,,K
play,6,0,489071,,,S7/G.1-2;2-3
play,6,0,502213,,,6/P
play,6,1,457780,,,K
play,6,1,502664,,,8/F
play,6,1,462984,,,53/G
play,7,0,456168,,,NP
sub,456941,Bruce Gallaway,1,0,1
play,7,0,456168,,,K
play,7,0,456823,,,53/G
play,7,0,468527,,,K
id,BluAPP200607061
info,visteam,KinAPP
info,hometeam,BluAPP
info,date,2006/07/06
start,444481,Emmanuel Garcia,0,1,6
start,462111,Alejandro Zuaznabar,0,2,5
start,445162,Sean Henry,0,3,8
start,447737,Junior Contreras,0,4,3
start,448646,Sean McCraw,0,5,2
start,458054,David Wabick,0,6,10
start,460697,Brahiam Maldonado,0,7,7
start,444555,Raul Reyes,0,8,9
start,491904,Todd Lietz,0,9,4
start,466428,Julio Polanco,0,0,1
start,465753,Pedro Florimon Jr.,1,1,6
start,466445,Pedro Silveren,1,2,4
start,501794,Anthony Martinez,1,3,3
start,457780,Kieron Pope,1,4,7
start,458593,Joey Howell,1,5,8
start,470459,Winter Polo,1,6,9
