id,IowPCL200604060
info,visteam,AlbPCL
info,hometeam,IowPCL
info,date,2006/04/06
sub,430911,David Aardsma,1,9,1
play,9,0,218694,,,S8/G
play,9,0,434593,,,9/F
play,9,0,407828,,,K+WP.1-2
play,9,0,133120,,,53/G
id,IowPCL200604100
info,visteam,NasPCL
info,hometeam,IowPCL
info,date,2006/04/10
start,448242,Tony Gwynn,0,1,8
start,150466,Brent Abernathy,0,2,4
start,457130,Vinny Rottino,0,3,7
start,443558,Nelson Cruz,0,4,9
start,407576,Mike Rivera,0,5,2
start,448833,Chris Barnwell,0,6,6
start,434525,Brad Nelson,0,7,3
start,425649,Enrique Cruz,0,8,5
start,123294,Justin Thompson,0,9,1
start,429712,Felix Pie,1,1,8
start,444135,Ryan Theriot,1,2,6
start,431171,Casey McGehee,1,3,5
start,282879,Michael Restovich,1,4,9
start,451547,Brandon Sing,1,5,3
start,434567,Geovany Soto,1,6,2
start,425473,Jamal Strong,1,7,7
start,459714,Buck Coats,1,8,4
start,448179,Rich Hill,1,9,1
play,1,0,448242,,,K
play,1,0,150466,,,63/G
play,1,0,457130,,,HR/F
play,1,0,443558,,,3/L
play,1,1,429712,,,8/F
play,1,1,444135,,,S9/L
play,1,1,431171,,,S7/L.1-3;BX2(764)
play,1,1,282879,,,9/F
play,2,0,407576,,,S7/G
play,2,0,448833,,,E4.1-2
play,2,0,434525,,,8/F.2-3
play,2,0,425649,,,K+SBH;SB2
play,2,0,123294,,,53/G
play,2,1,451547,,,8/F
play,2,1,434567,,,S7/G
play,2,1,425473,,,S7/L.1-2
play,2,1,459714,,,K
play,2,1,448179,,,W.1-2;2-3
play,2,1,429712,,,HR/F.1-H;2-H;3-H
play,2,1,444135,,,S7/F
play,2,1,431171,,,NP
sub,430885,Wilton Chavez,0,9,1
play,2,1,431171,,,D9/F.1-H
play,2,1,282879,,,W
play,2,1,451547,,,K
play,3,0,448242,,,S9/G
play,3,0,150466,,,53/G.1-3
play,3,0,457130,,,K
play,3,0,443558,,,5/L
play,3,1,434567,,,5/L
play,3,1,425473,,,K
play,3,1,459714,,,8/F
play,4,0,407576,,,K
play,4,0,448833,,,9/F
play,4,0,434525,,,K
play,4,1,448179,,,K
play,4,1,429712,,,8/F
play,4,1,444135,,,K
play,5,0,425649,,,8/F
play,5,0,430885,,,K
play,5,0,448242,,,43/G
play,5,1,431171,,,53/G
play,5,1,282879,,,K
play,5,1,451547,,,7/F
play,6,0,150466,,,53/G
play,6,0,457130,,,4/P
play,6,0,443558,,,8/F
play,6,1,434567,,,W
play,6,1,425473,,,46(1)3/GDP/G4
play,6,1,459714,,,9/F
play,7,0,407576,,,NP
sub,425777,Brandon Emanuel,1,9,1
play,7,0,407576,,,63/G
play,7,0,448833,,,D8/F
play,7,0,434525,,,K
play,7,0,425649,,,K
play,7,1,425777,,,NP
sub,425559,Brett Evert,0,9,1
play,7,1,425777,,,NP
sub,430917,Mike Fontenot,1,9,11
play,7,1,430917,,,HR/F
play,7,1,429712,,,8/F
play,7,1,444135,,,43/G
play,7,1,431171,,,K
play,8,0,425559,,,NP
sub,282333,Mark Watson,1,9,1
play,8,0,425559,,,NP
sub,425858,Dave Krynzel,0,9,11
play,8,0,425858,,,S7/G
play,8,0,448242,,,D9/L.1-3
play,8,0,150466,,,E5.2-3;3-H;B-2
play,8,0,457130,,,7/SF.3-H
play,8,0,443558,,,NP
sub,430604,Roberto Novoa,1,9,1
play,8,0,443558,,,K23
play,8,0,407576,,,FLE3/PF
play,8,0,407576,,,4/P
play,8,1,282879,,,NP
sub,430606,Mike Adams,0,9,1
play,8,1,282879,,,K
play,8,1,451547,,,143/G1
play,8,1,434567,,,63/G
play,9,0,448833,,,8/F
play,9,0,434525,,,W
play,9,0,425649,,,S9/F.1-2
play,9,0,430606,,,NP
sub,400075,Jermaine Clark,0,9,11
play,9,0,400075,,,S9/F.1-3;2-H
play,9,0,448242,,,3634/GDP/G3.3-H
play,9,1,425473,,,NP
sub,407817,Allan Simpson,0,9,1
play,9,1,425473,,,13/G
play,9,1,459714,,,W
play,9,1,430604,,,NP
sub,407846,Jeff Deardorff,1,9,11
play,9,1,407846,,,K
play,9,1,429712,,,WP.1-2
play,9,1,429712,,,IW
play,9,1,444135,,,3/G
play,10,0,150466,,,NP
sub,430911,David Aardsma,1,9,1
play,10,0,150466,,,43/G
play,10,0,457130,,,K
play,10,0,443558,,,K
play,10,1,431171,,,9/L
play,10,1,282879,,,S6/G
play,10,1,451547,,,K
play,10,1,434567,,,FC6/G.1X2(64)
play,11,0,407576,,,9/F
play,11,0,448833,,,K
play,11,0,434525,,,K
play,11,1,425473,,,HP
play,11,1,459714,,,SH.1-2;B-1
play,11,1,430911,,,NP
sub,324432,Augie Ojeda,1,9,11
play,11,1,429712,,,NP
sub,457130,Vinny Rottino,0,3,5
play,11,1,444135,,,NP
sub,407576,Mike Rivera,0,5,3
play,11,1,431171,,,NP
sub,448833,Chris Barnwell,0,6,1
play,11,1,282879,,,NP
sub,434525,Brad Nelson,0,7,7
play,11,1,451547,,,NP
sub,425649,Enrique Cruz,0,8,6
play,11,1,434567,,,NP
sub,150322,Mark Johnson,0,9,2
play,11,1,324432,,,SH.1-2;2-3;B-1
play,11,1,429712,,,S8/F.1-2;2-3;3-H
id,IowPCL200604110
info,visteam,NasPCL
info,hometeam,IowPCL
info,date,2006/04/11
start,448242,Tony GwynnJr.,0,1,7
start,425858,Dave Krynzel,0,2,8
start,457130,Vinny Rottino,0,3,5
start,443558,Nelson Cruz,0,4,9
start,434525,Brad Nelson,0,5,3
start,400075,Jermaine Clark,0,6,4
start,150322,Mark Johnson,0,7,2
start,448833,Chris Barnwell,0,8,6
start,282656,Ben Sheets,0,9,1
start,429712,Felix Pie,1,1,8
start,444135,Ryan Theriot,1,2,9
start,430917,Mike Fontenot,1,3,4
start,407846,Jeff Deardorff,1,4,7
start,451547,Brandon Sing,1,5,3
start,431171,Casey McGehee,1,6,5
start,324432,Augie Ojeda,1,7,6
start,434567,Geovany Soto,1,8,2
start,472490,Jae Kuk Ryu,1,9,1
play,1,0,448242,,,W
play,1,0,425858,,,13/SH.1-2
play,1,0,457130,,,53/G.2-3
play,1,0,443558,,,HR/F.3-H
play,1,0,434525,,,D9/F
play,1,0,400075,,,PB.2-H(E2/TH)
play,1,0,400075,,,W
play,1,0,150322,,,K
play,1,1,429712,,,53/G
play,1,1,444135,,,S7/L
play,1,1,430917,,,9/F
play,1,1,407846,,,SB2
play,1,1,407846,,,WP.2-3
play,1,1,407846,,,K
play,2,0,448833,,,53/G
play,2,0,282656,,,S8/L
play,2,0,448242,,,K
play,2,0,425858,,,8/F
play,2,1,451547,,,K
play,2,1,431171,,,K
play,2,1,324432,,,7/F
play,3,0,457130,,,8/F
play,3,0,443558,,,D8/F
play,3,0,434525,,,K
play,3,0,400075,,,D7/F.2-H
play,3,0,150322,,,WP.2-3
play,3,0,150322,,,43/G
play,3,1,434567,,,8/F
play,3,1,472490,,,K
play,3,1,429712,,,K
play,4,0,448833,,,9/F
play,4,0,282656,,,K
play,4,0,448242,,,63/G
play,4,1,444135,,,53/G
play,4,1,430917,,,S7/F
play,4,1,407846,,,WP.1-2
play,4,1,407846,,,K
play,4,1,451547,,,4/P
play,5,0,425858,,,D8/F
play,5,0,457130,,,63/G
play,5,0,443558,,,K
play,5,0,434525,,,43/G
play,5,1,431171,,,K
play,5,1,324432,,,31/G
play,5,1,434567,,,K
play,6,0,400075,,,NP
sub,456133,Ryan O'Malley,1,9,1
play,6,0,400075,,,7/L
play,6,0,150322,,,3/G
play,6,0,448833,,,K
play,6,1,456133,,,K
play,6,1,429712,,,63/G
play,6,1,444135,,,S9/G
play,6,1,430917,,,NP
sub,444518,Chris Demaria,0,9,1
play,6,1,430917,,,K
play,7,0,444518,,,63/G
play,7,0,448242,,,63/G
play,7,0,425858,,,K
play,7,1,407846,,,K
play,7,1,451547,,,5/PF
play,7,1,431171,,,S9/L
play,7,1,324432,,,D9/L.1-H
play,7,1,434567,,,K
play,8,0,457130,,,NP
sub,444135,Ryan Theriot,1,2,6
play,8,0,443558,,,NP
sub,282333,Mark Watson,1,7,1
play,8,0,434525,,,NP
sub,425473,Jamal Strong,1,9,9
play,8,0,457130,,,3/PF
play,8,0,443558,,,S7/G
play,8,0,434525,,,SB2
play,8,0,434525,,,W
play,8,0,400075,,,7/F
play,8,0,150322,,,K
play,8,1,425473,,,NP
sub,449777,Mitch Stetter,0,9,1
play,8,1,425473,,,6/P
play,8,1,429712,,,9/F
play,8,1,444135,,,53/G
play,9,0,448833,,,NP
sub,425777,Brandon Emanuel,1,7,1
play,9,0,448833,,,K
play,9,0,449777,,,NP
sub,425649,Enrique Cruz,0,9,11
play,9,0,425649,,,63/G
play,9,0,448242,,,13/G
play,9,1,430917,,,NP
sub,430606,Mike Adams,0,9,1
play,9,1,430917,,,K
play,9,1,407846,,,S7/L
play,9,1,451547,,,S7/F.1-2
play,9,1,431171,,,13/G.1-2;2-3
play,9,1,425777,,,NP
sub,282879,Michael Restovich,1,7,11
play,9,1,282879,,,8/F
id,IowPCL200604120
info,visteam,NasPCL
info,hometeam,IowPCL
info,date,2006/04/12
start,400075,Jermaine Clark,0,1,4
start,425858,Dave Krynzel,0,2,8
start,457130,Vinny Rottino,0,3,7
start,443558,Nelson Cruz,0,4,9
start,407576,Mike Rivera,0,5,2
start,150466,Brent Abernathy,0,6,3
start,448833,Chris Barnwell,0,7,6
start,425649,Enrique Cruz,0,8,5
start,430608,Ben Hendrickson,0,9,1
start,429712,Felix Pie,1,1,8
start,444135,Ryan Theriot,1,2,6
start,430917,Mike Fontenot,1,3,4
start,282879,Michael Restovich,1,4,9
start,451547,Brandon Sing,1,5,3
start,431171,Casey McGehee,1,6,5
start,407846,Jeff Deardorff,1,7,7
start,434567,Geovany Soto,1,8,2
start,400113,Les Walrond,1,9,1
play,1,0,400075,,,43/G
play,1,0,425858,,,S8/G
play,1,0,457130,,,SB2
play,1,0,457130,,,K
play,1,0,443558,,,63/G
play,1,1,429712,,,K
play,1,1,444135,,,23/G
play,1,1,430917,,,S7/L
play,1,1,282879,,,9/F
play,2,0,407576,,,S7/L
play,2,0,150466,,,S7/G.1-2
play,2,0,448833,,,9/F
play,2,0,425649,,,4/P
play,2,0,placeholder,,,PO1(?3)
play,2,1,451547,,,63/G
play,2,1,431171,,,W
play,2,1,407846,,,64(1)3/GDP/G6
play,3,0,430608,,,63/G
play,3,0,400075,,,D8/F
play,3,0,425858,,,K
play,3,0,457130,,,8/F
play,3,1,434567,,,W
play,3,1,400113,,,3/SH.1-2
play,3,1,429712,,,W
play,3,1,444135,,,9/F.2X3(95)
play,4,0,443558,,,S7/L
play,4,0,407576,,,K
play,4,0,150466,,,FC4/G.1X2(46);B-1
play,4,0,448833,,,WP.1-2
play,4,0,448833,,,8/F
play,4,1,430917,,,S8/L
play,4,1,282879,,,K
