id,LanCAL200504120
info,visteam,SanCAL
info,hometeam,LanCAL
info,date,2005/04/12
play,3,0,451794,,,D9/L
play,3,0,455008,,,9/F.2-3
play,3,0,461759,,,D8/L.3-H
play,3,0,456659,,,S7/G.2-3;B-2(E7/TH)
play,3,0,435562,,,3/G.2-3;3-H
play,3,0,460607,,,S9/G.3-H
play,3,0,435558,,,S7/G.1-2
play,3,0,456035,,,NP
sub,454622,Ryan Holsten,1,0,1
play,3,0,456035,,,FC6/G.1X2(64)
play,3,1,470364,,,63/G
play,3,1,462950,,,K
play,3,1,451790,,,S8/F
play,3,1,452211,,,53/G
play,4,0,473029,,,9/FF
play,4,0,451794,,,13/G
play,4,0,455008,,,T8/F
play,4,0,461759,,,43/G
play,4,1,452080,,,6/P
play,4,1,448686,,,63/G
play,4,1,471083,,,43/G
play,5,0,456659,,,S8/F
play,5,0,435562,,,S8/F.1-2
play,5,0,460607,,,8/F.2-3
play,5,0,435558,,,S7/F.1-H;3-H;B-2
play,5,0,456035,,,K
play,5,0,473029,,,S8/F.2-H;BX2(826)
play,5,1,446652,,,9/L
play,5,1,449806,,,D7/F
play,5,1,470364,,,9/F
play,5,1,462950,,,NP
sub,451576,Derek Bruce,1,9,11
play,5,1,451576,,,S7/F.2-3
play,5,1,451790,,,D7/F.1-3;3-H
play,5,1,452211,,,WP.2-3;3-H
play,5,1,452211,,,W
play,5,1,452080,,,OA.1-2(E2/TH);3-H
play,5,1,452080,,,K
play,6,0,451794,,,NP
sub,451576,Derek Bruce,1,9,6
play,6,0,455008,,,NP
sub,454563,Alexander Cremidan,1,0,1
play,6,0,451794,,,63/G
play,6,0,455008,,,9/F
play,6,0,461759,,,6/P
play,6,1,448686,,,S7/F
play,6,1,471083,,,WP.1-2
play,6,1,471083,,,WP.2-3
play,6,1,471083,,,K
play,6,1,446652,,,NP
sub,454541,Joseph Pickens,0,0,1
play,6,1,446652,,,8/SF.3-H
play,6,1,449806,,,53/G
play,7,0,456659,,,6/P
play,7,0,435562,,,S7/F
play,7,0,460607,,,S1/G.1-2
play,7,0,435558,,,8/F.2-3
play,7,0,456035,,,S8/F.1-2;3-H
play,7,0,473029,,,E5.1-2;2-3
play,7,0,451794,,,3/L
play,7,1,470364,,,53/G
play,7,1,451576,,,K
play,7,1,451790,,,9/F
play,8,0,455008,,,NP
sub,449094,Jered Liebeck,1,0,1
play,8,0,455008,,,K
play,8,0,461759,,,53/G
play,8,0,456659,,,S9/F
play,8,0,435562,,,D9/F.1-3
play,8,0,460607,,,W
play,8,0,435558,,,9/F
play,8,1,452211,,,NP
sub,456576,Christopher Shank,0,0,1
play,8,1,452211,,,63/G
play,8,1,452080,,,S9/F
play,8,1,448686,,,WP.1-2
play,8,1,448686,,,K
play,8,1,471083,,,S7/G.2-H
play,8,1,446652,,,K
play,9,0,456035,,,NP
sub,457835,Dustin Glant,1,0,1
play,9,0,456035,,,53/G
play,9,0,473029,,,K
play,9,0,451794,,,S8/F
play,9,0,455008,,,K
play,9,1,449806,,,NP
sub,455946,Justin Crowder,0,0,1
play,9,1,449806,,,6/P
play,9,1,470364,,,43/G
play,9,1,451576,,,43/G
id,LanCAL200504170
info,visteam,StoCAL
info,hometeam,LanCAL
info,date,2005/04/17
start,451794,Dustin Majewski,0,1,9
start,435562,Richie Robnett,0,2,8
start,460607,Vasili Spanos,0,3,3
start,435558,Daric Barton,0,4,10
start,435559,Kurt Suzuki,0,5,2
start,456035,Danny Putnam,0,6,7
start,473029,Francis Gomez,0,7,6
start,445158,Eduardo Cornejo,0,8,4
start,455008,John McCurdy,0,9,5
start,448253,Jason Windsor,0,0,1
start,450294,Erik Schindewolf,1,1,4
start,449805,Jeff Cook,1,2,9
start,452080,Chris Carter,1,3,3
start,446652,Alex Frazier,1,4,7
start,471083,Miguel Montero,1,5,2
start,448686,Jay Garthwaite,1,6,10
start,454453,Edgar Varela,1,7,5
start,462950,Danny Richar,1,8,6
start,470364,Lino Garcia,1,9,8
start,452241,Garrett Mock,1,0,1
play,1,0,451794,,,S7/L
play,1,0,435562,,,S1/G.1-3(E1)(E1/TH)
play,1,0,460607,,,54(1)3/GDP/G5.3-H
play,1,0,435558,,,8/F
play,1,1,450294,,,S9/G
play,1,1,449805,,,64(1)3/GDP/G6
play,1,1,452080,,,K
play,2,0,435559,,,K
play,2,0,456035,,,43/G
play,2,0,473029,,,S6/G
play,2,0,445158,,,7/F
play,2,1,446652,,,K
play,2,1,471083,,,S7/G
play,2,1,448686,,,9/F
play,2,1,454453,,,43/G
play,3,0,455008,,,S8/G
play,3,0,451794,,,HR/F.1-H
play,3,0,435562,,,W
play,3,0,460607,,,SB2
play,3,0,460607,,,S8/G.2-H
play,3,0,435558,,,HP.1-2
play,3,0,435559,,,64(1)3/GDP/G6.2-3
play,3,0,456035,,,S9/G.3-H
play,3,0,473029,,,HR/F.1-H
play,3,0,445158,,,53/G
play,3,1,462950,,,9/F
play,3,1,470364,,,13/G
play,3,1,450294,,,8/F
play,4,0,455008,,,8/F
play,4,0,451794,,,3/G
play,4,0,435562,,,63/G
play,4,1,449805,,,S7/G
play,4,1,452080,,,S9/G.1-3
play,4,1,446652,,,HR/L.1-H;3-H
play,4,1,471083,,,7/F
play,4,1,448686,,,S5/G
play,4,1,454453,,,S7/G.1-2
play,4,1,462950,,,S8/G.1-3(E8)(E8);2-H;B-2
play,4,1,470364,,,S7/L.2-3;3-H
play,4,1,450294,,,FC6/G.1X2(6);3-H;B-1
play,4,1,449805,,,FC4/G.1X2(46)
play,5,0,460607,,,K
play,5,0,435558,,,3/G
play,5,0,435559,,,D7/L
play,5,0,456035,,,K
play,5,1,452080,,,S9/G
play,5,1,446652,,,4/P
play,5,1,471083,,,E4.1-2
play,5,1,448686,,,S9/G.1-3;2-H;B-2(E9)
play,5,1,454453,,,K
play,5,1,462950,,,K
play,6,0,473029,,,53/G
play,6,0,445158,,,6/L
play,6,0,455008,,,S8/G
play,6,0,451794,,,NP
sub,459692,Carlton Wells,1,0,1
play,6,0,451794,,,W.1-2
play,6,0,435562,,,K
play,6,1,470364,,,NP
sub,456575,Christopher Dunwell,0,0,1
play,6,1,470364,,,8/F
play,6,1,450294,,,S7/G
play,6,1,449805,,,S7/G.1-3
play,6,1,452080,,,64(1)3/GDP/G6
play,7,0,460607,,,S9/G
play,7,0,435558,,,6/P
play,7,0,435559,,,W.1-2
play,7,0,456035,,,64(1)3/GDP/G6
play,7,1,446652,,,8/F
play,7,1,471083,,,31/G
play,7,1,448686,,,S7/L.BX2(74)
play,8,0,473029,,,E3
play,8,0,445158,,,FC1/G.1X2(16);B-1
play,8,0,455008,,,S9/G.1-3
play,8,0,451794,,,4(1)3/G4/GDP
play,8,1,454453,,,NP
sub,454537,Jared Burton,0,0,1
play,8,1,454453,,,53/G
play,8,1,462950,,,S1/BG.B-3(E1/TH)
