id,BilPIO200506270
info,visteam,GrePIO
info,hometeam,BilPIO
info,date,2005/06/27
play,1,0,placeholder,,,PO1(??)
play,1,0,489277,,,63/G
play,1,0,453029,,,S9/F
play,1,0,459928,,,S9/L.1-2
play,1,0,458693,,,S8/F.1-3;2-H
play,1,0,456795,,,S8/F.1-3;3-H;B-2
play,1,0,457937,,,W
play,1,0,489712,,,K
play,1,1,458721,,,3/G
play,1,1,446904,,,K23
play,1,1,460354,,,K
play,2,0,465674,,,S7/F
play,2,0,460700,,,S7/L.1-2
play,2,0,489277,,,4/P
play,2,0,453029,,,SB3;SB2
play,2,0,453029,,,K
play,2,0,459928,,,W
play,2,0,458693,,,D9/F.1-H;2-H;3-H
play,2,0,456795,,,NP
sub,459967,Samuel Lecure,1,0,1
play,2,0,456795,,,S8/G.2-H
play,2,0,457937,,,K
play,2,1,454653,,,D9/F
play,2,1,448657,,,S8/G.2-H
play,2,1,448812,,,4(1)3/G4/GDP
play,2,1,460083,,,W
play,2,1,446224,,,4/L
play,3,0,489712,,,63/G
play,3,0,465674,,,63/G
play,3,0,460700,,,K
play,3,1,452325,,,53/G
play,3,1,458721,,,8/F
play,3,1,446904,,,3/G
play,4,0,489277,,,NP
sub,459999,Jeffrey Stevens,1,0,1
play,4,0,489277,,,K
play,4,0,453029,,,S9/G
play,4,0,459928,,,S9/G.1-H
play,4,0,458693,,,7/F
play,4,0,456795,,,HR/F.1-H
play,4,0,457937,,,W
play,4,0,489712,,,K
play,4,1,460354,,,S5/G
play,4,1,454653,,,WP.1-2
play,4,1,454653,,,9/F.2-3
play,4,1,448657,,,K
play,4,1,448812,,,63/G
play,5,0,465674,,,K
play,5,0,460700,,,S8/F
play,5,0,489277,,,E3.1-3
play,5,0,453029,,,K
play,5,0,459928,,,PB.1-2;3-H
play,5,0,459928,,,S7/L.2-3
play,5,0,458693,,,5/L
play,5,1,460083,,,K
play,5,1,446224,,,2/PF
play,5,1,452325,,,S8/G
play,5,1,458721,,,S6/G.1-2
play,5,1,446904,,,K
play,6,0,456795,,,HP
play,6,0,457937,,,K
play,6,0,489712,,,9/F
play,6,0,465674,,,K
play,6,1,460354,,,NP
sub,445191,Joseph Batten,0,2,4
play,6,1,460354,,,53/G
play,6,1,454653,,,K
play,6,1,448657,,,8/F
play,7,0,460700,,,8/F
play,7,0,445191,,,E4
play,7,0,453029,,,K
play,7,0,459928,,,NP
sub,457929,Thomas Lanier,1,0,1
play,7,0,459928,,,S9/L.1-2
play,7,0,458693,,,S9/F.1-2;2-H
play,7,0,456795,,,D8/F.1-3;2-H
play,7,0,457937,,,63/G
play,7,1,448812,,,NP
sub,447841,Luis Lajara,0,4,7
play,7,1,448812,,,8/F
play,7,1,460083,,,8/F
play,7,1,446224,,,7/F
play,8,0,489712,,,D8/F
play,8,0,465674,,,K
play,8,0,460700,,,HP
play,8,0,445191,,,E3/TH.1-3;2-H
play,8,0,453029,,,W.1-2
play,8,0,447841,,,S8/F.1-2;2-3;3-H
play,8,0,458693,,,7/F
play,8,0,456795,,,NP
sub,489347,Houston Summers,0,6,11
play,8,0,489347,,,1/L
play,8,1,452325,,,NP
sub,489347,Houston Summers,0,6,10
play,8,1,458721,,,NP
sub,463737,Miliade Venas,0,0,1
play,8,1,452325,,,S4/G
