id,ChaIL200505090
info,visteam,OttIL
info,hometeam,ChaIL
info,date,2005/05/09
play,8,0,430899,,,8/F
play,8,0,124388,,,K
play,8,1,115263,,,NP
sub,450223,Rodney Ormond,0,0,1
play,8,1,115263,,,W
play,8,1,150399,,,K
play,8,1,462441,,,FC6/G.1X2(64);B-1
play,8,1,434601,,,CS2
play,9,0,434630,,,NP
sub,434117,Jeff Bajenaru,1,0,1
play,9,0,434630,,,K
play,9,0,407855,,,53/G
play,9,0,408244,,,31/G
id,ChaIL200505120
info,visteam,OttIL
info,hometeam,ChaIL
info,date,2005/05/12
start,406428,Tim RainesJr.,0,1,8
start,408244,Bernie Castro,0,2,4
start,425488,Walter Young,0,3,10
start,439421,Alejandro Freire,0,4,3
start,440056,Bobby Darula,0,5,7
start,430899,Napoleon Calzado,0,6,9
start,124388,Enrique Wilson,0,7,6
start,434630,Eli Whiteside,0,8,2
start,407855,Ed Rogers,0,9,5
start,150106,Tony Fiore,0,0,1
start,462441,Scott Bikowski,1,1,7
start,434601,Pedro Lopez,1,2,6
start,150032,Roosevelt Brown,1,3,10
start,435042,Brian Anderson,1,4,8
start,406550,Jamie Burke,1,5,3
start,400021,Joe Borchard,1,6,9
start,115263,Ricky Gutierrez,1,7,5
start,150399,Trace Coquillette,1,8,4
start,459377,Wally Rosa,1,9,2
start,424668,Jon Adkins,1,0,1
play,1,0,406428,,,D8/F
play,1,0,408244,,,31/SH.2-3
play,1,0,425488,,,63/G.3-H
play,1,0,439421,,,S5/G
play,1,0,440056,,,7/F
play,1,1,462441,,,K
play,1,1,434601,,,D7/L
play,1,1,150032,,,43/G.2-3
play,1,1,435042,,,K
play,2,0,430899,,,13/G
play,2,0,124388,,,53/G
play,2,0,434630,,,9/F
play,2,1,406550,,,8/F
play,2,1,400021,,,K
play,2,1,115263,,,2/PF
play,3,0,407855,,,K
play,3,0,406428,,,63/G
play,3,0,408244,,,D8/L
play,3,0,425488,,,43/G
play,3,1,150399,,,K
play,3,1,459377,,,K23
play,3,1,462441,,,D8/L
play,3,1,434601,,,S5/G.2-3
play,3,1,150032,,,FC5/G.1X2(54)
play,4,0,439421,,,W
play,4,0,440056,,,W.1-2
play,4,0,430899,,,S8/F.1-2;2-3
play,4,0,124388,,,K
play,4,0,434630,,,FC5/G.1-2;2-3;3XH(52);B-1
play,4,0,407855,,,7/F
play,4,1,435042,,,W
play,4,1,406550,,,31/G.1-2
play,4,1,400021,,,K
play,4,1,115263,,,S7/F.2-H
play,4,1,150399,,,K
play,5,0,406428,,,23/G
play,5,0,408244,,,S4/BG
play,5,0,425488,,,S7/G.1-3;BX2(74)
play,5,0,439421,,,K
play,5,1,459377,,,13/BG
play,5,1,462441,,,43/G
play,5,1,434601,,,63/G
play,6,0,440056,,,43/G
play,6,0,430899,,,8/F
play,6,0,124388,,,8/F
play,6,1,150032,,,S8/L
play,6,1,435042,,,46(1)3/GDP/G4
play,6,1,406550,,,W
play,6,1,400021,,,K
play,7,0,434630,,,5/L
play,7,0,407855,,,8/F
play,7,0,406428,,,S8/G
play,7,0,408244,,,CS2
play,7,1,115263,,,NP
sub,433258,Aaron Rakers,0,0,1
play,7,1,115263,,,HP
play,7,1,150399,,,S7/G.1-3
play,7,1,459377,,,6(1)3/G6/GDP.3-H
play,7,1,462441,,,K
play,8,0,425488,,,NP
sub,408097,Arnie Munoz,1,0,1
play,8,0,408244,,,S1/BG
play,8,0,425488,,,HP.1-2
play,8,0,439421,,,53/G.1-2;2-3
play,8,0,440056,,,S8/L.2-3;3-H
play,8,0,430899,,,NP
sub,434599,Matt Smith,1,0,1
play,8,0,430899,,,HR/F.1-H;3-H
play,8,0,124388,,,7/F
play,8,0,434630,,,8/F
play,8,1,434601,,,D7/L
play,8,1,150032,,,K
play,8,1,435042,,,D8/F.2-H
play,8,1,406550,,,E9.2-3
play,8,1,400021,,,54(1)3/GDP/G5
play,9,0,407855,,,S8/L
play,9,0,406428,,,9/F
play,9,0,408244,,,SB2
play,9,0,408244,,,SB3
play,9,0,408244,,,WP.3-H
play,9,0,408244,,,S8/L
play,9,0,425488,,,SB2
play,9,0,425488,,,S9/L.2-3
play,9,0,439421,,,WP.1-2;3-H
id,ChaIL200505130
info,visteam,BufIL
info,hometeam,ChaIL
info,date,2005/05/13
start,408252,Brandon Phillips,0,1,6
start,425506,Jody Gerut,0,2,8
start,136726,Mike Kinkade,0,3,5
start,434939,Ryan Garko,0,4,2
start,124696,Ernie Young,0,5,9
start,407577,Andy Abad,0,6,10
start,431138,John Rodriguez,0,7,7
start,425866,Jake Gautreau,0,8,4
start,150130,Dusty Wathan,0,9,3
start,110891,Jason Bere,0,0,1
start,462441,Scott Bikowski,1,1,10
start,434601,Pedro Lopez,1,2,6
start,150032,Roosevelt Brown,1,3,7
start,435042,Brian Anderson,1,4,8
start,406550,Jamie Burke,1,5,2
start,119853,Greg Norton,1,6,3
start,400021,Joe Borchard,1,7,9
start,115263,Ricky Gutierrez,1,8,5
start,150399,Trace Coquillette,1,9,4
start,425554,Josh Stewart,1,0,1
play,1,0,408252,,,D8/L
play,1,0,425506,,,9/F
play,1,0,136726,,,8/F.2-3
play,1,0,434939,,,4/P
play,1,1,462441,,,63/G
play,1,1,434601,,,8/F
play,1,1,150032,,,8/F
play,2,0,124696,,,K
play,2,0,407577,,,9/F
play,2,0,431138,,,K
play,2,1,435042,,,K
play,2,1,406550,,,6/L
play,2,1,119853,,,31/G
play,3,0,425866,,,D9/L
play,3,0,150130,,,HP
play,3,0,408252,,,9/F.2-3
play,3,0,425506,,,S8/L.1-2;3-H
play,3,0,136726,,,D7/L.1-3;2-H
play,3,0,434939,,,7/F
play,3,0,124696,,,IW
play,3,0,407577,,,5/P
play,3,1,400021,,,S8/L
play,3,1,115263,,,S7/L.1-2
play,3,1,150399,,,3/P
play,3,1,462441,,,S9/L.1-2;2-H
play,3,1,434601,,,D7/L.1-3;2-H
play,3,1,150032,,,D8/F.2-H;3-H
play,3,1,435042,,,K
play,3,1,406550,,,9/F
play,4,0,431138,,,T8/F
play,4,0,425866,,,8/SF.3-H
play,4,0,150130,,,8/F
play,4,0,408252,,,K
play,4,1,119853,,,S9/L
play,4,1,400021,,,S9/L.1-2
play,4,1,115263,,,W.1-2;2-3
play,4,1,150399,,,HR/F.1-H;2-H;3-H
play,4,1,462441,,,8/F
play,4,1,434601,,,E5
play,4,1,150032,,,36(1)3/GDP/G3
play,5,0,425506,,,K
play,5,0,136726,,,8/F
play,5,0,434939,,,7/F
play,5,1,435042,,,NP
sub,430954,Kazuhito Tadano,0,0,1
play,5,1,435042,,,5/P
play,5,1,406550,,,D9/F
play,5,1,119853,,,D9/L.2-H
play,5,1,400021,,,S7/L.2-3
play,5,1,115263,,,46(1)3/GDP/G4
play,6,0,124696,,,K
play,6,0,407577,,,8/F
play,6,0,431138,,,3/G
play,6,1,150399,,,K
play,6,1,462441,,,K
play,6,1,434601,,,9/F
play,7,0,425866,,,NP
sub,446362,Joshua Fields,1,0,1
play,7,0,425866,,,K
play,7,0,150130,,,9/F
play,7,0,408252,,,E1/TH.B-3
play,7,0,425506,,,W
play,7,0,136726,,,E5.1-2;3-H
play,7,0,434939,,,FC5/G.2X3(5)
play,7,1,150032,,,8/F
play,7,1,435042,,,53/G
play,7,1,406550,,,4/P
play,8,0,124696,,,K
play,8,0,407577,,,K
play,8,0,431138,,,43/G
play,8,1,119853,,,W
play,8,1,400021,,,K
play,8,1,115263,,,D9/L.1-3
play,8,1,150399,,,D9/L.2-H;3-H
play,8,1,462441,,,K
play,8,1,434601,,,5/P
play,9,0,425866,,,NP
sub,425553,David Sanders,1,0,1
play,9,0,425866,,,HR/F
play,9,0,150130,,,9/F
play,9,0,408252,,,53/G
play,9,0,425506,,,D7/L
play,9,0,136726,,,E6.2-3
play,9,0,434939,,,DI.1-2
play,9,0,434939,,,53/G
id,ChaIL200505140
info,visteam,BufIL
info,hometeam,ChaIL
info,date,2005/05/14
start,408252,Brandon Phillips,0,1,6
start,425506,Jody Gerut,0,2,10
start,136726,Mike Kinkade,0,3,9
start,434939,Ryan Garko,0,4,2
start,407577,Andy Abad,0,5,7
start,124696,Ernie Young,0,6,8
start,150325,Jeff Liefer,0,7,3
start,425866,Jake Gautreau,0,8,5
start,446928,Joe Inglett,0,9,4
start,425386,Jeremy Guthrie,0,0,1
start,115263,Ricky Gutierrez,1,1,5
start,434601,Pedro Lopez,1,2,6
start,150032,Roosevelt Brown,1,3,7
start,435042,Brian Anderson,1,4,8
start,406550,Jamie Burke,1,5,3
start,119853,Greg Norton,1,6,10
start,400021,Joe Borchard,1,7,9
start,150399,Trace Coquillette,1,8,4
start,459377,Wally Rosa,1,9,2
start,120447,Robert Person,1,0,1
play,1,0,408252,,,K
play,1,0,425506,,,3/G
play,1,0,136726,,,43/G
play,1,1,115263,,,53/G
play,1,1,434601,,,63/G
play,1,1,150032,,,S9/L
play,1,1,435042,,,9/F
play,2,0,434939,,,9/F
play,2,0,407577,,,43/G
play,2,0,124696,,,S7/G
play,2,0,150325,,,S9/L.1-2
play,2,0,425866,,,S7/L.1-2;2-H
play,2,0,446928,,,7/F
play,2,1,406550,,,4/P
play,2,1,119853,,,63/G
play,2,1,400021,,,S6/G
play,2,1,150399,,,K
play,3,0,408252,,,K
play,3,0,425506,,,S9/L
play,3,0,136726,,,FC4/G.1X2(46);B-1
play,3,0,434939,,,CS2
play,3,1,459377,,,63/G
play,3,1,115263,,,HP
play,3,1,434601,,,8/F
play,3,1,150032,,,5/P
play,4,0,434939,,,7/F
play,4,0,407577,,,W
play,4,0,124696,,,HR/F.1-H
play,4,0,150325,,,S9/L
play,4,0,425866,,,K+SB2
play,4,0,446928,,,43/G
play,4,1,435042,,,8/F
play,4,1,406550,,,K
play,4,1,119853,,,S8/G
play,4,1,400021,,,5/P
play,5,0,408252,,,3/P
play,5,0,425506,,,HR/F
play,5,0,136726,,,63/G
play,5,0,434939,,,9/F
play,5,1,150399,,,HR/F
play,5,1,459377,,,4/L
play,5,1,115263,,,S7/L
play,5,1,434601,,,8/F.1-2
play,5,1,150032,,,W
play,5,1,435042,,,HR/F.1-H;2-H
play,5,1,406550,,,9/F
play,6,0,407577,,,NP
sub,408097,Arnie Munoz,1,0,1
play,6,0,407577,,,D8/F
play,6,0,124696,,,K23
play,6,0,150325,,,K
play,6,0,425866,,,6/P
play,6,1,119853,,,S9/L
play,6,1,400021,,,3/P
play,6,1,150399,,,4/P
play,6,1,459377,,,S8/G.1-3
play,6,1,115263,,,4/P
play,7,0,446928,,,NP
sub,442480,Jake Thrower,0,9,11
play,7,0,442480,,,K23
play,7,0,408252,,,S9/L
play,7,0,425506,,,PO1(E?).1-3
play,7,0,425506,,,W
play,7,0,136726,,,NP
sub,434599,Matt Smith,1,0,1
play,7,0,136726,,,6(1)3/G6/GDP
play,7,1,434601,,,NP
sub,442480,Jake Thrower,0,9,4
play,7,1,434601,,,D8/L
play,7,1,150032,,,7/F
play,7,1,435042,,,W
play,7,1,406550,,,FC5/G.1X2(54);2-3;B-1
play,7,1,119853,,,K
play,8,0,434939,,,S8/G
play,8,0,407577,,,W.1-2
play,8,0,124696,,,8/F
play,8,0,150325,,,NP
sub,425553,David Sanders,1,0,1
play,8,0,150325,,,FC4/G.1X2(46);2-3;B-1
play,8,0,425866,,,8/F
play,8,1,400021,,,NP
sub,408046,Andrew Brown,0,0,1
play,8,1,400021,,,K
play,8,1,150399,,,W
play,8,1,459377,,,K+WP.1-2
play,8,1,115263,,,13/G
play,9,0,442480,,,NP
