id,MidTEX200505040
info,visteam,TulTEX
info,hometeam,MidTEX
info,date,2005/05/04
start,460183,Lloyd Turner,1,8,5
start,456577,Mark Kiger,1,9,4
start,454538,Drew Dickinson,1,0,1
play,1,0,461811,,,K
play,1,0,431246,,,63/G
play,1,0,462405,,,S8/L
play,1,0,443767,,,S8/G.1-2
play,1,0,464240,,,S7/G.1-2;2-H
play,1,0,430590,,,4/P
play,1,1,461769,,,S9/G
play,1,1,435560,,,8/F
play,1,1,444843,,,S9/L.1-2
play,1,1,450196,,,W.1-2;2-3
play,1,1,459322,,,43/G.1-2;2-3;3-H
play,1,1,452712,,,K
play,2,0,150306,,,53/G
play,2,0,454472,,,W
play,2,0,468010,,,E5.1-2
play,2,0,461811,,,FC1/G.1X2(16);2-3;B-1
play,2,0,431246,,,SB2
play,2,0,431246,,,K23
play,2,1,placeholder,,,NP
sub,443767,Carlos Rodriguez,0,4,9
play,2,1,placeholder,,,NP
sub,464240,Ray Navarrete,0,5,7
play,2,1,placeholder,,,NP
sub,455986,Mark Saccomanno,0,6,3
play,2,1,placeholder,,,NP
sub,468010,Junior Zamora,0,9,5
play,2,1,462390,,,53/G
play,2,1,460183,,,8/F
play,2,1,456577,,,163/G1
play,3,0,462405,,,4/P
play,3,0,443767,,,13/G
play,3,0,464240,,,63/G
play,3,1,461769,,,43/G
play,3,1,435560,,,31/G
play,3,1,444843,,,3/G
play,4,0,455986,,,8/F
play,4,0,150306,,,53/G
play,4,0,454472,,,7/F
play,4,1,450196,,,K
play,4,1,459322,,,S9/G
play,4,1,452712,,,9/F
play,4,1,462390,,,S8/G.1-2
play,4,1,460183,,,143/G1
play,5,0,468010,,,63/G
play,5,0,461811,,,D9/L
play,5,0,431246,,,W
play,5,0,462405,,,7/F
play,5,0,443767,,,NP
sub,450195,Shawn Kohn,1,0,1
play,5,0,443767,,,K
play,5,1,456577,,,D9/L
play,5,1,461769,,,SH.2-3;B-1
play,5,1,435560,,,E3.1-2;3-H
play,5,1,444843,,,NP
sub,447808,Philip Barzilla,0,0,1
play,5,1,444843,,,FC1/G.1X2(16);2-3;B-1
play,5,1,450196,,,S9/G.1-3;3-H;BX2(96)
play,5,1,459322,,,D7/G.3-H
play,5,1,452712,,,53/G
