MLBAM,First,Last,Bats,Throws,M,D,Y
456156,Jose,Jimenez,B,R,5,09,1987
453435,Matthew,Coenen,L,L,3,13,1980
456154,Eric,Hollis,B,R,9,26,1982
456159,Wilfred,Lopez,B,R,8,23,1986
453438,Samuel,Smith,R,R,8,23,1979
502254,Brandon,Caipen,R,R,8,04,1983
123387,Brett,Tomko,R,R,4,07,1973
502255,Casey,Weathers,R,R,06,10,1985
456388,Emile,Thiel,R,R,2,15,1987
451467,Roberto,Batista,R,R,8,5,1983
502701,Alexander,Burkard,L,L,01,04,1989
460609,Jose,Rios,R,R,4,6,1984
471200,Julio,Bolivar,R,R,2,28,1987
502250,Evan,Anundsen,R,R,5,17,1988
471759,Bartolo,Francisco,R,R,8,24,1982
446242,Anton,Maxwell,L,L,06,23,1985
446243,Daniel,Payne,L,L,09,08,1985
446240,Matthew,Loberg,R,R,8,31,1982
446246,Abe,Woody,R,R,11,09,1982
446244,Sean,Walker,R,R,10,31,1982
446245,David,Wilson,L,L,7,11,1986
446248,Bryan,Augenstein,R,R,07,11,1986
593781,Joel,Dicent,R,R,8,4,1991
476960,Julio,Rivera,R,R,7,20,1987
476965,Michael,Tarsi,R,L,08,11,1986
503079,Tim,Lawrence,R,R,5,17,1983
112897,Deivi,Cruz,R,R,11,06,1972
461328,Brian,Montalbo,B,R,11,22,1981
545149,Jason,Altenhof,L,R,08,20,1986
534595,Jason,Christian,L,R,06,16,1987
545146,Kyle,Shelton,R,R,05,15,1986
545144,Marcus,Moore,R,R,06,01,1970
545141,Joe,Blackburn,R,R,09,04,1985
458215,Ronny,Delgado,R,R,5,4,1984
543817,Keith,Stein,L,R,10,17,1985
150382,Matt,Herges,L,R,4,01,1970
570822,Julio,Perez,R,R,01,16,1992
543814,Joel,Staples,R,R,05,26,1987
543813,Taylor,Stanton,R,R,01,15,1988
570825,Jhoanel,Jimenez,B,R,6,19,1990
543811,Christian,Staehely,R,R,09,28,1985
570827,Alberto,Valdemora,R,R,12,07,1989
570829,Jean,Ozoria,R,R,03,16,1992
543819,Zachary,Stewart,R,R,09,28,1986
543818,Robert,Stevens,R,R,03,30,1987
111548,Emil,Brown,R,R,12,29,1974
502078,Aaron,Fuhrman,L,L,4,02,1988
475431,Joseph,August,L,L,09,23,1986
462569,Ryan,Carter,R,R,1,04,1983
475439,Ritchie,Price,B,R,7,13,1984
435540,Drew,McMillan,R,R,1,25,1980
115094,Shawn,Green,L,L,11,10,1972
516408,Suammy,Baez,R,R,09,28,1988
518148,Carlos,Urena,R,R,11,17,1989
449777,Mitch,Stetter,L,L,1,16,1981
449776,Drew,Anderson,L,R,6,09,1981
449775,Brandon,Pinckney,R,R,4,12,1982
449774,Evan,MacLane,L,L,11,04,1982
449772,Jason,Richardson,R,R,6,11,1980
425467,Beau,Kemp,R,R,10,31,1980
425466,Willie,Eyre,R,R,7,21,1978
425469,Ryan,Baker,R,R,3,20,1978
425468,Rob,Bowen,B,R,2,24,1981
276054,Brady,Clark,R,R,4,18,1973
276055,Adam,Dunn,L,R,11,09,1979
276053,Brandon,Larson,R,R,5,24,1976
276051,Pat,Flury,R,R,3,14,1973
429821,Mark,Malaska,L,L,1,17,1978
424485,Barry,Wesson,R,R,4,06,1977
593519,Brain,Inoa,B,R,2,21,1991
593518,Pedro,Gonzalez,R,R,1,28,1992
150167,Shea,Hillenbrand,R,R,7,27,1975
593516,Ruben,Rijkhof,R,R,4,25,1992
593515,Wladimir,Telles,R,R,2,5,1993
150164,Joe,Depastino,R,R,9,4,1973
593513,Erlin,Santos,R,R,1,22,1991
489570,Tim,Mattison,R,R,6,22,1982
150161,Izzy,Alcantara,R,R,5,06,1971
150160,Junior,Spivey,R,R,1,28,1975
518088,Luis,Castillo,B,R,11,28,1989
518734,Chris,Gradoville,R,R,07,10,1984
446593,Travis,Trammell,R,R,8,19,1981
119456,Chad,Mottola,R,R,10,15,1971
465526,Jesus,Vega,R,R,4,10,1982
572082,James,Robinson,R,R,02,13,1988
572084,Ryan,Robowski,L,L,02,03,1988
572085,Michael,Rockett,R,R,07,26,1987
477569,Fernando,Salas,R,R,05,30,1985
477568,Heriberto,Salas,R,R,,,
477567,Ricardo,Saenz,R,R,,,
477566,Eduardo,Sabido,R,R,5,7,1986
517455,Pepe,Sibid,R,R,02,02,1988
477562,Noe,Romo,L,L,9,21,1979
477560,Salvador,Rodriguez,L,R,12,29,1974
449805,Jeff,Cook,L,R,10,4,1980
449804,Robert,Valido,R,R,5,16,1985
449806,Brian,Rose,R,R,9,17,1980
449800,Jeff,Little,R,R,4,30,1980
449555,Remigio,Diaz,R,R,2,04,1968
449802,James,Wallace,R,R,10,9,1986
515270,Johan,Romero,R,R,12,13,1989
515271,Carlos,Rojas,R,R,05,22,1990
425686,Hideki,Matsui,L,R,6,12,1974
449809,Patrice,Lepage,L,R,7,10,1984
449808,Kevin,Rios,R,R,7,21,1981
448600,Daniel,Pohlman,R,R,1,01,1982
448601,Douglas,Reinhardt,R,R,10,22,1985
408039,So,Taguchi,R,R,7,02,1969
408038,JD,Closser,B,R,1,15,1980
448604,Chad,Rothford,B,R,04,27,1985
448605,Justin,Ruggiano,R,R,4,12,1982
448606,Jared,Sanders,R,R,11,19,1981
489311,Michael,Sharpe,L,R,3,10,1983
448609,Tony,Sipp,L,L,7,12,1983
489313,Matt,Sheely,R,R,8,30,1986
489312,Anthony,Shawler,R,R,05,16,1987
489315,Tim,Sherlock,L,L,11,30,1986
489314,Jeremy,Shelby,R,R,08,14,1987
489317,Joshua,Short,R,R,04,01,1987
489316,Sean,Shoffit,L,R,6,09,1985
116338,Torii,Hunter,R,R,7,18,1975
570779,Hector,Rodriguez,R,R,11,05,1989
459877,Garrett,Patterson,L,L,5,11,1982
570773,Sony,Javier,R,R,06,15,1991
570774,Keury,De La Cruz,L,L,11,28,1991
570775,Oscar,Perez,R,R,11,09,1991
570776,Aly,Gonzalez,R,R,02,09,1991
570777,Jose,Jacome,R,R,03,14,1989
460295,Reidier,Gonzalez,R,R,11,01,1985
460297,James,Hall,L,R,5,19,1984
476595,Lucas,Luetge,L,L,03,24,1987
460291,Jonathan,Ellis,R,R,10,03,1982
460293,Scott,Fairbanks,R,R,4,26,1981
460292,William,Evers,R,R,8,31,1982
442710,Jeff,Hundley,L,L,2,19,1977
442712,Jason,Bowers,R,R,1,27,1978
123272,Jim,Thome,L,R,8,27,1970
499721,Alfonzo,Fortunato,R,R,12,11,1984
503479,Alvin,Garcia,R,R,3,13,1987
499723,Yancarlo,Franco,R,R,8,29,1988
499722,Angel,Franco,,,,,
595381,Nick,Robinson,L,R,03,05,1988
573142,Nickolas,Sarianides,R,R,08,29,1989
573143,Daniel,Sarisky,R,R,05,25,1988
573140,Nicholas,Santomauro,L,R,06,13,1988
121955,Rudy,Seanez,R,R,10,20,1968
573146,Scott,Schneider,R,R,06,07,1988
573147,James,Schroeder,R,R,12,13,1986
570482,Giovanny,Urshela,R,R,10,11,1991
570483,Dioris,Robles,R,R,05,21,1992
570480,Jose,Osoria,R,R,02,17,1992
570481,Erik,Gonzalez,R,R,08,31,1991
570487,Isaias,Encarnacion,L,L,07,10,1991
570484,Aderlin,Tejeda,R,R,11,23,1991
570485,Orlando,Pereira,R,R,09,10,1991
122975,Scott,Sullivan,R,R,3,13,1971
570488,Phillip,Valdez,R,R,11,16,1991
570489,Arismendy,Alcantara,B,R,10,29,1991
451129,Joaquin,Guzman,B,R,9,22,1986
425226,Brian,Tallet,L,L,9,21,1977
488959,John,Herrera,R,R,3,08,1983
501809,Jacob,Smith,R,R,6,05,1983
492849,Miguel,Rodriguez,B,R,7,25,1986
492845,Yang Carlos,Perez,B,R,6,23,1985
448147,Nick,Blackburn,R,R,2,24,1982
488952,Corby,Heckman,R,R,10,30,1981
488953,David,Henninger,R,R,8,23,1983
492841,Michael,Martinez,B,R,9,16,1982
492840,Toribio,Guerrero,B,R,2,28,1985
592174,Kelson,Brown,R,R,11,07,1987
488957,Carlos,Hernandez,L,L,03,04,1987
542984,Nicholas,Bucci,R,R,07,16,1990
541583,Jose,Hernandez,R,R,01,21,1988
408040,Marc,Deschenes,R,R,1,06,1973
448795,Joshua,Brady,R,R,10,24,1980
467028,Alfredo,Francisco,R,R,8,27,1984
490627,Darek,Stanfield,R,R,8,20,1982
490626,Marion,Knowles,R,R,3,8,1983
490625,Tanner,McElroy,R,R,8,21,1981
471156,Rene,Frias,L,L,5,05,1987
553867,Roberto,Espinoza,R,R,8,28,1988
456637,Quincy,Ascencion,R,R,11,01,1982
553865,Gustavo,Velasquez,R,R,10,03,1991
456635,Sheldon,Fulse,B,R,11,10,1981
553863,Rickys,Ramirez,L,L,04,06,1990
553862,Andres E.,Perez,R,R,02,08,1991
456630,Davis,Romero,L,L,3,30,1983
501803,Marcos,Villezcas,B,R,12,10,1983
541587,Carlos,Perdomo,R,R,04,25,1990
454441,Travis,Hanson,L,R,1,24,1981
553869,Elias,Diaz,R,R,11,17,1990
485679,Victor,Sanchez,L,L,10,25,1986
488830,Hector,Delgadillo,R,R,1,02,1983
451120,Pedro,Vasquez,B,R,6,29,1986
541585,Yosber,Monzon,R,R,11,04,1989
454447,Bryan,King,R,R,5,20,1981
451126,Mark,James,R,R,7,24,1987
467122,Ramon,Castro,R,R,10,05,1986
467120,Ricardo,Montilla,R,R,04,23,1988
467121,Ivan,Gomera,L,L,7,26,1985
467126,Juan,German,R,R,12,25,1985
451125,Mayke,Cabrera,L,R,2,10,1981
467124,Richard,Maduro,R,R,10,25,1985
467125,Ramon,Soto,R,R,11,03,1987
501494,Mario,Castro,R,R,9,03,1987
467128,Hugo,Cachutt,R,R,9,25,1987
501496,Ronald,Ferreras,R,R,2,08,1987
501491,Francisco,Rondon,L,L,4,19,1988
501490,Julio,Rojas,L,R,7,22,1988
501493,Victor,Vizcaino,R,R,7,06,1987
501492,Gabriel,Tatis,R,R,5,18,1985
444571,Eliezer,Zambrano,B,R,9,16,1986
471158,Jhon,Salas,B,R,11,04,1984
408297,Kenny,Baugh,R,R,2,5,1979
514632,Jose,Diaz,R,R,04,20,1989
514631,Fernando,Celis,R,R,03,27,1989
514637,Juan,Lozano,L,L,09,14,1989
514636,Raul,Leiva,B,R,01,30,1990
514635,Dick,Guanipa,R,R,06,20,1990
523588,Jorge,Crespo,R,R,02,03,1987
514639,Jose,Ortega,R,R,10,12,1988
514638,Clemente,Mendoza,R,R,07,24,1990
408299,Omar,Infante,R,R,12,26,1981
