id,ColSAL200604280
info,visteam,AshSAL
info,hometeam,ColSAL
info,date,2006/04/28
play,8,0,452014,,,K+WP.1-2;2-3;3-H
play,8,0,451594,,,WP.2-3;3-H
play,8,0,451594,,,S6/G.3-H
play,8,0,458913,,,SB2
play,8,0,458913,,,9/F
play,8,1,474443,,,NP
sub,445950,Chad Bailey,0,0,1
play,8,1,474443,,,W
play,8,1,488906,,,64(1)3/GDP/G6
play,8,1,461315,,,W
play,8,1,451096,,,8/F
play,9,0,455126,,,NP
sub,451711,Jesus Rodriguez,1,0,1
play,9,0,455126,,,9/F
play,9,0,488716,,,7/F
play,9,0,446087,,,K
play,9,1,452199,,,NP
sub,457576,Brett Strickland,0,0,1
play,9,1,452199,,,K
play,9,1,468401,,,43/G
play,9,1,472544,,,D7/F
play,9,1,447749,,,43/G
id,ColSAL200604110
info,visteam,ChaSAL
info,hometeam,ColSAL
info,date,2006/04/11
start,457706,Austin Jackson,0,1,8
start,460344,Wilkins De La Rosa,0,2,7
start,467798,Jose Tabata,0,3,9
start,446089,Kyle Larsen,0,4,3
start,476015,C. Henry,0,5,6
start,468474,Jose Gil,0,6,2
start,489080,Christopher Malec,0,7,10
start,468470,Reegie Corona,0,8,5
start,457108,Mario Holmann,0,9,4
start,462502,Rolando Japa,0,0,1
start,488906,Adam Godwin,1,1,8
start,469125,Jesus Soto,1,2,4
start,468401,Eduardo Perez,1,3,5
start,451096,Sergio Pedroza,1,4,9
start,461315,Lucas May,1,5,7
start,472544,David Sutherland,1,6,2
start,452199,Russell Mitchell,1,7,3
start,465698,Juan Apodaca,1,8,2
start,474443,Ivan De Jesus,1,9,6
start,465701,Marlon Arias,0,0,1
play,1,0,457706,,,S1/G
play,1,0,460344,,,SB2
play,1,0,460344,,,K
play,1,0,467798,,,13/G
play,1,0,446089,,,7/F
play,1,1,488906,,,S1/BG
play,1,1,469125,,,SB2;SB2;1-3(E2/TH)
play,1,1,469125,,,WP.3-H
play,1,1,469125,,,63/G
play,1,1,468401,,,K
play,1,1,451096,,,W
play,1,1,461315,,,SB2
play,1,1,461315,,,W
play,1,1,472544,,,4/P
play,2,0,476015,,,HR/F7
play,2,0,468474,,,S7/F
play,2,0,489080,,,K
play,2,0,468470,,,S8/G.1-2
play,2,0,457108,,,9/F.2-3
play,2,0,457706,,,K
play,2,1,452199,,,43/G
play,2,1,465698,,,K
play,2,1,474443,,,S9/G
play,2,1,488906,,,SB2
play,2,1,488906,,,K
play,3,0,460344,,,K
play,3,0,467798,,,S9/G
play,3,0,446089,,,S7/G.1-2
play,3,0,476015,,,SB3;SB2
play,3,0,476015,,,K
play,3,0,468474,,,53/G
play,3,1,469125,,,53/G
play,3,1,468401,,,63/G
play,3,1,451096,,,S9/G
play,3,1,461315,,,WP.1-2
play,3,1,461315,,,6/P
play,4,0,489080,,,53/G
play,4,0,468470,,,9/F
play,4,0,457108,,,K
play,4,1,472544,,,7/F
play,4,1,452199,,,D7/F
play,4,1,465698,,,S7/F.2-3
play,4,1,474443,,,E5.1-3;3-H;B-2
play,4,1,488906,,,7/SF.3-H
play,4,1,469125,,,K
play,5,0,457706,,,K
play,5,0,460344,,,13/G
play,5,0,467798,,,K
play,5,1,468401,,,NP
sub,458577,James Conroy,0,0,1
play,5,1,468401,,,3/G
play,5,1,451096,,,S9/L
play,5,1,461315,,,6(1)3/G6/GDP
play,6,0,446089,,,NP
sub,457428,James McDonald,1,0,1
play,6,0,446089,,,K
play,6,0,476015,,,53/G
play,6,0,468474,,,9/F
play,6,1,472544,,,63/G
play,6,1,452199,,,W
play,6,1,465698,,,K
play,6,1,474443,,,FC5/G.1X2(54)
play,7,0,489080,,,7/F
play,7,0,468470,,,7/F
play,7,0,457108,,,K
play,7,1,488906,,,43/G
play,7,1,469125,,,6/P
play,7,1,468401,,,S7/F
play,7,1,451096,,,43/G
play,8,0,457706,,,NP
sub,451534,Jordan Pratt,1,0,1
play,8,0,457706,,,63/G
play,8,0,460344,,,K+WP.B-1
play,8,0,467798,,,K
play,8,0,446089,,,43/G
play,8,1,461315,,,8/F
play,8,1,472544,,,S7/F
play,8,1,452199,,,NP
sub,489564,Juan Rivera,1,6,12
play,8,1,452199,,,8/F
play,8,1,465698,,,9/F
play,9,0,476015,,,NP
sub,489564,Juan Rivera,1,6,10
play,9,0,468474,,,NP
sub,465719,Francisco Felix,1,0,1
play,9,0,476015,,,6/P
play,9,0,468474,,,43/G
play,9,0,489080,,,D9/F
play,9,0,468470,,,6/P
id,ColSAL200604120
info,visteam,ChaSAL
info,hometeam,ColSAL
info,date,2006/04/12
start,457706,Austin Jackson,0,1,8
start,457108,Mario Holmann,0,2,4
start,467798,Jose Tabata,0,3,9
start,446089,Kyle Larsen,0,4,3
start,476015,C. J. Henry,0,5,6
start,468474,Jose Gil,0,6,10
start,458624,Joseph Muich,0,7,2
start,456394,Estee Harris,0,8,7
start,489080,Christopher Malec,0,9,5
start,491704,Wilkins Arias,0,0,1
start,488906,Adam Godwin,1,1,8
start,469125,Jesus Soto,1,2,4
start,468401,Eduardo Perez,1,3,5
start,451096,Sergio Pedroza,1,4,9
start,461315,Lucas May,1,5,10
start,489065,Andrew Locke,1,6,7
start,452199,Russell Mitchell,1,7,3
start,447749,Anthony Harper,1,8,2
start,489564,Juan Rivera,1,9,6
start,489052,Brent Leach,0,0,1
play,1,0,457706,,,K
play,1,0,457108,,,9/F
play,1,0,467798,,,K
play,1,1,488906,,,W
play,1,1,placeholder,,,POCS2(134)
play,1,1,469125,,,7/F
play,1,1,468401,,,2/P
play,2,0,446089,,,5/L
play,2,0,476015,,,S8/L
play,2,0,468474,,,FC6/G.1X2(64);B-2(E4/TH)
play,2,0,458624,,,63/G
play,2,1,451096,,,K
play,2,1,461315,,,7/L
play,2,1,489065,,,63/G
play,3,0,456394,,,6/P
play,3,0,489080,,,53/G
play,3,0,457706,,,W
play,3,0,457108,,,POCS2(136)
play,3,1,452199,,,43/G
play,3,1,447749,,,K
play,3,1,489564,,,K
play,4,0,457108,,,W
play,4,0,467798,,,CS2
play,4,0,467798,,,D9/L
play,4,0,446089,,,K
play,4,0,476015,,,SB3
play,4,0,476015,,,K
play,4,1,488906,,,13/G
play,4,1,469125,,,7/F
play,4,1,468401,,,W
play,4,1,451096,,,D8/F.1-H
play,4,1,461315,,,31/G
play,5,0,468474,,,8/F
play,5,0,458624,,,S9/G
play,5,0,456394,,,K
play,5,0,489080,,,FC4/G.1X2(46)
play,5,1,489065,,,W
play,5,1,452199,,,SB2
play,5,1,452199,,,8/F
play,5,1,447749,,,K
play,5,1,489564,,,NP
sub,447731,Cory Stuart,0,0,1
play,5,1,489564,,,S7/G.2-3
play,5,1,488906,,,W.1-2
play,5,1,469125,,,WP.1-2;2-3;3-H
play,5,1,469125,,,K
play,6,0,457706,,,NP
sub,448750,David Pfeiffer,1,0,1
play,6,0,457706,,,K
play,6,0,457108,,,K
play,6,0,467798,,,K
play,6,1,468401,,,NP
sub,446885,Jason Stephens,0,0,1
play,6,1,468401,,,63/G
play,6,1,451096,,,31/G
play,6,1,461315,,,HR/F7
