id,TreEL200505060
info,visteam,AltEL
info,hometeam,TreEL
info,date,2005/05/06
play,9,0,434562,,,S8/G.1-2;2-H;3-H
play,9,0,453461,,,K
play,9,0,457859,,,K
id,TreEL200505120
info,visteam,ReaEL
info,hometeam,TreEL
info,date,2005/05/12
start,456422,Michael Bourn,0,1,9
start,434562,Chris Roberson,0,2,8
start,441117,Ryan Fleming,0,3,7
start,457859,Randy Ruiz,0,4,3
start,407913,Jim Deschaine,0,5,10
start,425494,Juan Richardson,0,6,10
start,458504,Daniel Gonzalez,0,7,6
start,472923,Carlos Leon,0,8,5
start,454554,Jose Cortez,0,9,2
start,446011,Seung Hak Lee,0,0,1
start,453911,Kevin Thompson,1,1,7
start,462375,Andy Cannizaro,1,2,6
start,466320,Melky Cabrera,1,3,8
start,455167,Shelly Duncan,1,4,3
start,449080,Eric Duncan,1,5,5
start,150202,Dee Brown,1,6,10
start,450363,Bronson Sardinha,1,7,9
start,447670,JT Stotts,1,8,4
start,440785,Jason Brown,1,9,10
start,408300,Danny Borrell,1,0,1
play,1,0,456422,,,5/PF
play,1,0,434562,,,7/F
play,1,0,441117,,,K
play,1,1,453911,,,W
play,1,1,462375,,,7/F
play,1,1,466320,,,SB2
play,1,1,466320,,,K
play,1,1,455167,,,K
play,2,0,457859,,,S7/F
play,2,0,407913,,,64(1)3/GDP/G6
play,2,0,425494,,,E6
play,2,0,458504,,,W.1-2
play,2,0,472923,,,4/P
play,2,1,449080,,,8/F
play,2,1,150202,,,K
play,2,1,450363,,,K
play,3,0,454554,,,K
play,3,0,456422,,,13/G
play,3,0,434562,,,D9/F
play,3,0,441117,,,WP.2-3
play,3,0,441117,,,HR/F.3-H
play,3,0,457859,,,3/G
play,3,1,447670,,,9/F
play,3,1,440785,,,6/P
play,3,1,453911,,,T7/L
play,3,1,462375,,,9/F
play,4,0,407913,,,43/G
play,4,0,425494,,,W
play,4,0,458504,,,64(1)3/GDP/G6
play,4,1,466320,,,K
play,4,1,455167,,,7/F
play,4,1,449080,,,K
play,5,0,472923,,,13/G
play,5,0,454554,,,63/G
play,5,0,456422,,,E1
play,5,0,434562,,,63/G
play,5,1,150202,,,7/F
play,5,1,450363,,,7/F
play,5,1,447670,,,W
play,5,1,440785,,,9/F
play,6,0,441117,,,K
play,6,0,457859,,,HR/F
play,6,0,407913,,,8/F
play,6,0,425494,,,NP
sub,453459,Charlie Isaacson,1,0,1
play,6,0,425494,,,K
play,6,1,453911,,,8/F
play,6,1,462375,,,43/G
play,6,1,466320,,,63/G
play,7,0,458504,,,K
play,7,0,472923,,,W
play,7,0,454554,,,NP
sub,436020,Carlos Artiles,1,0,1
play,7,0,454554,,,54(1)3/GDP/G5
play,7,1,455167,,,D8/F
play,7,1,449080,,,K
play,7,1,150202,,,WP.2-3
play,7,1,150202,,,W
play,7,1,450363,,,D9/F.1-H;3-H
play,7,1,447670,,,NP
sub,446855,Travis Minix,0,0,1
play,7,1,447670,,,K+WP.2-3
play,7,1,440785,,,NP
sub,435408,Omir Santos,1,9,11
play,7,1,435408,,,43/G
play,8,0,456422,,,NP
sub,435408,Omir Santos,1,9,2
play,8,0,434562,,,NP
sub,444863,Enrique Cruz,1,5,4
play,8,0,441117,,,NP
sub,447670,JT Stotts,1,8,5
play,8,0,456422,,,K
play,8,0,434562,,,T8/L
play,8,0,441117,,,W
play,8,0,457859,,,NP
sub,430682,Eduardo Sierra,1,0,1
play,8,0,457859,,,K
play,8,0,407913,,,HP.1-2
play,8,0,425494,,,3/P
play,8,1,453911,,,NP
sub,430936,Brian Hitchcox,0,6,4
play,8,1,462375,,,NP
sub,472923,Carlos Leon,0,8,5
play,8,1,453911,,,D7/L
play,8,1,462375,,,K
play,8,1,466320,,,S9/F.2-H
play,8,1,455167,,,8/F
play,8,1,444863,,,S9/F.1-3
play,8,1,150202,,,NP
sub,470279,Yoel Hernandez,0,0,1
play,8,1,150202,,,43/G
play,9,0,458504,,,NP
sub,447788,Justin Pope,1,0,1
play,9,0,458504,,,43/G
play,9,0,472923,,,S7/F
play,9,0,454554,,,23/SH.1-2
play,9,0,456422,,,13/G
play,9,1,450363,,,53/G
play,9,1,447670,,,43/G
play,9,1,435408,,,63/G
play,10,0,434562,,,8/F
play,10,0,441117,,,S6/G
play,10,0,457859,,,53/G.1-2
play,10,0,407913,,,K
play,10,1,453911,,,T8/F
play,10,1,462375,,,K
play,10,1,466320,,,IW
play,10,1,455167,,,K
play,10,1,444863,,,W.1-2
play,10,1,150202,,,13/G
play,11,0,430936,,,S6/G
play,11,0,458504,,,NP
sub,451668,Gabe Lopez,1,2,4
play,11,0,472923,,,NP
sub,444863,Enrique Cruz,1,5,6
play,11,0,458504,,,13/SH.1-2
play,11,0,472923,,,T9/F.2-H
play,11,0,454554,,,K
play,11,0,456422,,,K
play,11,1,450363,,,NP
sub,430563,Erick Burke,0,0,1
play,11,1,450363,,,D9/L
play,11,1,447670,,,2/SH.2-3
play,11,1,435408,,,K
play,11,1,453911,,,NP
sub,425550,Ryan Cameron,0,0,1
play,11,1,453911,,,63/G
id,TreEL200505170
info,visteam,NwhEL
info,hometeam,TreEL
info,date,2005/05/17
start,431153,Ron Acuna,0,1,7
start,456126,Carlo Cota,0,2,4
start,150070,Kevin Barker,0,3,10
start,467571,Maikel Jova,0,4,9
start,434597,Raul Tablado,0,5,6
start,445139,Rob Cosby,0,6,5
start,457836,Vito Chiaravalloti,0,7,3
start,456124,Erik Kratz,0,8,2
start,434598,Miguel Negron,0,9,8
start,457468,Joshua Banks,0,0,1
start,453911,Kevin Thompson,1,1,7
start,451668,Gabe Lopez,1,2,4
start,466320,Melky Cabrera,1,3,8
start,455167,Shelly Duncan,1,4,3
start,449080,Eric Duncan,1,5,5
start,150202,Dee Brown,1,6,10
start,435408,Omir Santos,1,7,2
start,450363,Bronson Sardinha,1,8,9
start,447670,JT Stotts,1,9,6
start,451774,Matthew Desalvo,1,0,1
play,1,0,431153,,,K
play,1,0,456126,,,8/F
play,1,0,150070,,,43/G
play,1,1,453911,,,53/G
play,1,1,451668,,,9/F
play,1,1,466320,,,8/F
play,2,0,467571,,,S7/L
play,2,0,434597,,,9/F
play,2,0,445139,,,HP.1-2
play,2,0,457836,,,64(1)3/GDP/G6
play,2,1,455167,,,K
play,2,1,449080,,,K
play,2,1,150202,,,K
play,3,0,456124,,,S4/G
play,3,0,434598,,,K
play,3,0,431153,,,FC1/G.1X2(16);B-1
play,3,0,456126,,,9/F
play,3,1,435408,,,43/G
play,3,1,450363,,,9/F
play,3,1,447670,,,13/G
play,4,0,150070,,,K23
play,4,0,467571,,,S9/L
play,4,0,434597,,,CS2
play,4,0,434597,,,D7/L
play,4,0,445139,,,W
play,4,0,457836,,,WP.1-2;2-3
play,4,0,457836,,,W
play,4,0,456124,,,8/F
play,4,1,453911,,,S8/G
play,4,1,451668,,,D7/L.1-H
play,4,1,466320,,,S9/L.2-3
play,4,1,455167,,,S9/G.1-3;3-H
play,4,1,449080,,,K
play,4,1,150202,,,HR/F.1-H;3-H
play,4,1,435408,,,NP
sub,456108,Edward Buzachero,0,0,1
play,4,1,435408,,,W
play,4,1,450363,,,S8/G.1-2
play,4,1,447670,,,K
play,4,1,453911,,,K
play,5,0,434598,,,K
play,5,0,431153,,,W
play,5,0,456126,,,K
play,5,0,150070,,,FC4/G.1X2(46)
play,5,1,451668,,,K
play,5,1,466320,,,W
play,5,1,455167,,,6/P
play,5,1,449080,,,K
play,6,0,467571,,,S8/G
play,6,0,434597,,,K
play,6,0,445139,,,9/F
play,6,0,457836,,,W.1-2
play,6,0,456124,,,HP.1-2;2-3
play,6,0,434598,,,WP.1-2;2-3;3-H
play,6,0,434598,,,9/F
play,6,1,150202,,,NP
sub,461347,James Vermilyea,0,0,1
play,6,1,150202,,,K
play,6,1,435408,,,163/G1
play,6,1,450363,,,7/F
play,7,0,431153,,,NP
sub,453459,Charlie Isaacson,1,0,1
play,7,0,431153,,,K
play,7,0,456126,,,53/G
play,7,0,150070,,,W
play,7,0,467571,,,W.1-2
play,7,0,434597,,,K
play,7,1,447670,,,W
play,7,1,453911,,,K
play,7,1,451668,,,7/F
