id,VerFSL200504080
info,visteam,St.FSL
info,hometeam,VerFSL
info,date,2005/04/08
start,461383,Anthony Monegan,0,1,7
start,453895,Brendan Ryan,0,2,6
start,452646,Cody Haerther,0,3,10
start,448175,Matthew Dryer,0,4,5
start,455003,Tyler Parker,0,5,8
start,458000,Terry Evans,0,6,9
start,446529,John Santor,0,7,3
start,431166,Matt Pagnozzi,0,8,2
start,453849,Calvin Hayes,0,9,4
start,456421,Stuart Pomeranz,0,0,1
start,473234,Tony Abreu,1,1,4
start,464341,Chin-lung Hu,1,2,6
start,449159,Anthony Raglani,1,3,9
start,451188,Andy LaRoche,1,4,5
start,451588,Cory Dunlap,1,5,3
start,431143,Edwin Bellorin,1,6,2
start,451125,Mayke Cabrera,1,7,10
start,448605,Justin Ruggiano,1,8,8
start,445944,Dominique Laurin,1,9,7
start,451170,Chuck Tiffany,1,0,1
play,1,0,461383,,,63/G
play,1,0,453895,,,K
play,1,0,452646,,,63/G
play,1,1,473234,,,W
play,1,1,464341,,,SB2
play,1,1,464341,,,63/G.2-3
play,1,1,449159,,,7/SF.3-H
play,1,1,451188,,,S8/L
play,1,1,451588,,,FC6/G.1X2(6)
play,2,0,448175,,,K
play,2,0,455003,,,K
play,2,0,458000,,,K
play,2,1,431143,,,63/G
play,2,1,451125,,,7/F
play,2,1,448605,,,63/G
play,3,0,446529,,,8/F
play,3,0,431166,,,K
play,3,0,453849,,,W
play,3,0,461383,,,13/G
play,3,1,445944,,,K
play,3,1,473234,,,2/PF
play,3,1,464341,,,3/G
play,4,0,453895,,,D8/L
play,4,0,452646,,,K
play,4,0,448175,,,FC1.2X2(16)
play,4,0,455003,,,PO1(13)
play,4,1,449159,,,3/G
play,4,1,451188,,,S8/L
play,4,1,451588,,,8/F
play,4,1,431143,,,D9/L.1-3
play,4,1,451125,,,WP.2-3;3-H
play,4,1,451125,,,13/G
play,5,0,455003,,,W
play,5,0,458000,,,2/PF
play,5,0,446529,,,4/P
play,5,0,431166,,,SB2
play,5,0,431166,,,W
play,5,0,453849,,,7/F
play,5,1,448605,,,S8/L
play,5,1,445944,,,SB2
play,5,1,445944,,,3/SH.2-3
play,5,1,473234,,,WP.3-H
play,5,1,473234,,,3/L
play,5,1,464341,,,S8/G
play,5,1,449159,,,9/F
play,6,0,461383,,,13/G
play,6,0,453895,,,E6
play,6,0,452646,,,7/F
play,6,0,448175,,,K
play,6,1,451188,,,D7/L
play,6,1,451588,,,D9/L.2-H
play,6,1,431143,,,4/L.2-3(E4)(E4/TH)
play,6,1,451125,,,S8/L.3-H
play,6,1,448605,,,S8/L.1-2
play,6,1,445944,,,K
play,6,1,473234,,,43/G
play,7,0,455003,,,NP
sub,458260,Danny Muegge,1,0,1
play,7,0,455003,,,31/G
play,7,0,458000,,,43/G
play,7,0,446529,,,13/G
play,7,1,464341,,,NP
sub,456109,Scott Schweitzer,0,0,1
play,7,1,464341,,,9/F
play,7,1,449159,,,W
play,7,1,451188,,,HR/F.1-H
play,7,1,451588,,,S8/L
play,7,1,431143,,,4/P
play,7,1,451125,,,43/G
play,8,0,431166,,,31/G
play,8,0,453849,,,S9/G
play,8,0,461383,,,S5/G.1-3(E5)(E5/TH);B-2
play,8,0,453895,,,W
play,8,0,452646,,,12(3)3/GDP/G1
play,8,1,448605,,,NP
sub,458666,Rich Scalamandre,0,0,1
play,8,1,448605,,,D8/F
play,8,1,445944,,,K
play,8,1,473234,,,53/G
play,8,1,464341,,,43/G
play,9,0,448175,,,NP
sub,439913,Mike Rodriguez,1,0,1
play,9,0,448175,,,8/F
play,9,0,455003,,,K
play,9,0,458000,,,5/P
id,VerFSL200504190
info,visteam,PalFSL
info,hometeam,VerFSL
info,date,2005/04/19
start,461383,Anthony Monegan,0,1,7
start,453895,Brendan Ryan,0,2,6
start,452646,Cody Haerther,0,3,10
start,448175,Matthew Dryer,0,4,5
start,463015,Ben Rosenthal,0,5,2
