id,MidTEX200604160
info,visteam,CorTEX
info,hometeam,MidTEX
info,date,2006/04/16
play,9,1,435561,,,6/L
id,MidTEX200604190
info,visteam,CorTEX
info,hometeam,MidTEX
info,date,2006/04/19
start,461811,Josh Anderson,0,1,8
start,450314,Ben Zobrist,0,2,6
start,452254,Hunter Pence,0,3,9
start,407399,J. R. House,0,4,2
start,455650,Josh Bonifay,0,5,5
start,456757,John Fagan,0,6,3
start,433593,Jorge Cortes,0,7,7
start,277409,Jared Sandberg,0,8,10
start,448298,Osvaldo Fernando,0,9,4
start,452676,Mitch Talbot,0,0,1
start,448590,Kevin Melillo,1,1,4
start,444912,Ronnie Merrill,1,2,6
start,456035,Danny Putnam,1,3,7
start,450196,Brant Colamarino,1,4,3
start,435559,Kurt Suzuki,1,5,2
start,461759,Jed Morris,1,6,9
start,460607,Vasili Spanos,1,7,10
start,435561,Brian Snyder,1,8,5
start,460183,Lloyd Turner,1,9,8
start,446849,Ray Aguilar,1,0,1
play,1,0,461811,,,8/L
play,1,0,450314,,,S7/G
play,1,0,452254,,,7/F
play,1,0,407399,,,K
play,1,1,448590,,,43/G
play,1,1,444912,,,S9/G
play,1,1,456035,,,43/G.1-2
play,1,1,450196,,,BK.2-3
play,1,1,450196,,,WP.3-H
play,1,1,450196,,,W
play,1,1,435559,,,53/G
play,2,0,455650,,,S5/G
play,2,0,456757,,,WP.1-2
play,2,0,456757,,,43/G
play,2,0,433593,,,K
play,2,0,277409,,,K
play,2,1,461759,,,6/P
play,2,1,460607,,,63/G
play,2,1,435561,,,W
play,2,1,460183,,,HP.1-2
play,2,1,448590,,,BK.1-2;2-3
play,2,1,448590,,,D9/L.2-H;3-H
play,2,1,444912,,,K
play,3,0,448298,,,S8/L
play,3,0,461811,,,POCS2(136)
play,3,0,461811,,,K
play,3,0,450314,,,63/G
play,3,1,456035,,,31/G
play,3,1,450196,,,K
play,3,1,435559,,,S7/G
play,3,1,461759,,,13/G
play,4,0,452254,,,S6/G
play,4,0,407399,,,8/F
play,4,0,455650,,,S7/L.1-2
play,4,0,456757,,,T9/L.1-H;2-H
play,4,0,433593,,,43/G
play,4,0,277409,,,K
play,4,1,460607,,,S5/G
play,4,1,435561,,,W.1-2
play,4,1,460183,,,64(1)3/GDP/G6.2-3
play,4,1,448590,,,K
play,5,0,448298,,,63/G
play,5,0,461811,,,43/G
play,5,0,450314,,,S9/L
play,5,0,452254,,,FC4/G.1X2(46)
play,5,1,444912,,,S9/G
play,5,1,456035,,,13/G.1-2
play,5,1,450196,,,W
play,5,1,435559,,,54(1)3/GDP/G5
play,6,0,407399,,,NP
sub,454537,Jared Burton,1,0,1
play,6,0,407399,,,D7/L
play,6,0,455650,,,9/F
play,6,0,456757,,,S7/L.2-3
play,6,0,433593,,,S9/L.1-2;3-H
play,6,0,277409,,,W.1-2;2-3
play,6,0,448298,,,FC3/G.1-2;2-3;3XH(32);B-1
play,6,0,461811,,,NP
sub,455946,Justin Crowder,1,0,1
play,6,0,461811,,,6/P
play,6,1,461759,,,NP
sub,450249,Paul Estrada,0,0,1
play,6,1,461759,,,HR/F
play,6,1,460607,,,K
play,6,1,435561,,,43/G
play,6,1,460183,,,8/F
play,7,0,450314,,,NP
sub,450195,Shawn Kohn,1,0,1
play,7,0,450314,,,13/G
play,7,0,452254,,,3/P
play,7,0,407399,,,W
play,7,0,455650,,,HR/F.1-H
play,7,0,456757,,,K
