id,BoiNWL200506260
info,visteam,EugNWL
info,hometeam,BoiNWL
info,date,2005/06/26
play,5,1,445208,,,S9/G.1-2;3-H
play,5,1,448293,,,NP
sub,467687,William Ponce,0,0,1
play,5,1,448293,,,3/G.1-2;2-3
play,5,1,472505,,,43/G
play,6,0,488773,,,43/G
play,6,0,457698,,,K
play,6,0,489339,,,9/F
play,6,1,470466,,,NP
sub,459987,Cesar Ramos,0,0,1
play,6,1,470466,,,K
play,6,1,460609,,,3/P
play,6,1,488922,,,5/P
play,7,0,489714,,,NP
sub,451627,Nick Thompson,1,0,1
play,7,0,489714,,,S7/G
play,7,0,471055,,,FC6/G.1X2(64);B-1
play,7,0,455107,,,9/F
play,7,0,489245,,,FC5/G.1X2(54)
play,7,1,461861,,,NP
sub,489077,John Madden,0,0,1
play,7,1,461861,,,563/G5
play,7,1,453947,,,K
play,7,1,467061,,,K23
play,8,0,488660,,,E6
play,8,0,460323,,,K
play,8,0,488773,,,CS2
play,8,0,488773,,,7/F
play,8,1,445208,,,K
play,8,1,448293,,,43/G
play,8,1,472505,,,K
play,9,0,457698,,,K
play,9,0,489339,,,K
play,9,0,489714,,,9/F
play,9,1,470466,,,NP
sub,457925,Neil Jamison,0,0,1
play,9,1,470466,,,5/L
play,9,1,460609,,,8/F
play,9,1,488922,,,63/G
id,BoiNWL200506300
info,visteam,EugNWL
info,hometeam,BoiNWL
info,date,2005/06/30
start,489287,Mike Sansoe,0,1,8
start,458516,Kelvin Vazquez,0,2,4
start,488773,Brian Cavanaugh,0,3,10
start,460026,Nicholas Hundley,0,4,2
start,457698,Drew Davidson,0,5,7
start,489339,Chad Steiner,0,6,5
start,471055,Santiago Guerrero,0,7,9
start,455107,Daryl Jones,0,8,3
start,489245,Billy Richardson,0,9,6
start,456899,Jon Link,0,0,1
start,488922,Davy Gregg,1,1,8
start,461861,Mark Reed,1,2,10
start,467061,Elvin Puello,1,3,3
start,445208,Jeff Culpepper,1,4,9
start,489356,Brandon Taylor,1,5,5
start,473222,Carlos Quinones,1,6,7
start,456989,Jake Muyco,1,7,2
start,488972,Scott Hode,1,8,4
start,470466,Jonathan Mota,1,9,6
start,457728,Roger Evenson,1,0,1
play,1,0,489287,,,S8/G
play,1,0,458516,,,23/SH.1-2
play,1,0,488773,,,3/G.2-3
play,1,0,460026,,,5/L
play,1,1,488922,,,53/G
play,1,1,461861,,,9/F
play,1,1,467061,,,43/G
play,2,0,457698,,,9/F
play,2,0,489339,,,53/G
play,2,0,471055,,,K
play,2,1,445208,,,S9/G
play,2,1,489356,,,8/F.?X?(83)
play,2,1,473222,,,8/F
play,3,0,455107,,,143/G1
play,3,0,489245,,,9/L
play,3,0,489287,,,63/G
play,3,1,456989,,,43/G
play,3,1,488972,,,5/L
play,3,1,470466,,,43/G
play,4,0,458516,,,NP
sub,468408,Jesus Yepez,1,0,1
play,4,0,458516,,,163/G1
play,4,0,488773,,,W
play,4,0,460026,,,PO1(13)
play,4,0,460026,,,E1/TH.B-2
play,4,0,457698,,,S7/G.2XH
play,4,1,488922,,,43/G
play,4,1,461861,,,13/G
play,4,1,467061,,,13/G
play,5,0,489339,,,W
play,5,0,471055,,,FC6/G.1X2(64);B-1
play,5,0,455107,,,46(1)3/GDP/G4
play,5,1,445208,,,63/G
play,5,1,489356,,,S7/G
play,5,1,473222,,,53/G.1-2
play,5,1,456989,,,S8/G.2-H;BX2(826)
play,6,0,489245,,,K
play,6,0,489287,,,63/G
play,6,0,458516,,,W
play,6,0,488773,,,S9/G.1-3
play,6,0,460026,,,W.1-2
play,6,0,457698,,,63/G
play,6,1,488972,,,43/G
play,6,1,470466,,,53/G
play,6,1,488922,,,S4/G.B-3(E4/TH)
play,7,0,489339,,,NP
sub,446924,Victor Ramos,1,0,1
play,7,0,489339,,,K
play,7,0,471055,,,W
play,7,0,455107,,,K+WP.1-2
play,7,0,489245,,,K
play,7,1,461861,,,NP
sub,460155,Adam Gold,0,0,1
play,7,1,461861,,,W
play,7,1,467061,,,W.1-2
play,7,1,445208,,,NP
sub,451094,Phil Polanco,0,0,1
play,7,1,445208,,,13/SH.1-2;2-3
play,7,1,489356,,,IW
play,7,1,473222,,,FC6/G.1-2;2-3;3XH(62);B-1
play,7,1,456989,,,43/G
play,8,0,489287,,,9/F
play,8,0,458516,,,8/F
play,8,0,488773,,,K
play,8,1,488972,,,9/F
play,8,1,470466,,,W
play,8,1,488922,,,CS2
play,8,1,488922,,,S8/G
play,8,1,461861,,,CS2
play,9,0,460026,,,W
play,9,0,457698,,,S1/BG.1-2
play,9,0,489339,,,FC1/G.1-2;2X3(15);B-1
play,9,0,471055,,,T7/F.1-H;2-H
play,9,0,455107,,,K
play,9,0,489245,,,NP
sub,451605,Scott Koerber,1,0,1
play,9,0,489245,,,53/G
play,9,1,467061,,,NP
sub,464946,Alfredo Fernandez,0,0,1
play,9,1,461861,,,63/G
play,9,1,467061,,,K
play,9,1,445208,,,43/G
id,BoiNWL200507040
info,visteam,EveNWL
info,hometeam,BoiNWL
info,date,2005/07/04
start,490563,Robert Hudson,0,1,6
start,472528,Luis Valbuena,0,2,4
start,450285,Ronald Prettyman,0,3,5
start,451178,Jeffrey Flaig,0,4,3
start,449816,Brian Schweiger,0,5,2
start,459431,Michael Saunders,0,6,9
start,458945,Trevor Heid,0,7,8
start,452727,Casey Craig,0,8,7
start,446353,Nicholas Allen,0,0,1
start,488922,Davy Gregg,1,1,8
start,488972,Scott Hode,1,2,4
start,445208,Jeff Culpepper,1,3,9
start,489356,Brandon Taylor,1,4,5
start,467061,Elvin Puello,1,5,3
start,453947,Chris Gaskin,1,6,10
start,472505,Jesus Valdez,1,7,7
start,456540,Jonathan Douillard,1,8,2
start,470466,Jonathan Mota,1,9,6
start,444444,Mitch Atkins,1,0,1
play,1,0,490563,,,8/L
play,1,0,472528,,,63/G
play,1,0,450285,,,S7/L
play,1,0,451178,,,53/G
play,1,1,488922,,,43/G
play,1,1,488972,,,HP
play,1,1,445208,,,46(1)3/GDP/G4
play,2,0,451178,,,3/G
play,2,0,449816,,,S9/F
play,2,0,459431,,,SB2
play,2,0,459431,,,13/G.2-3
play,2,0,458945,,,4/P
play,2,1,489356,,,S8/G
play,2,1,467061,,,64(1)3/GDP/G6
play,2,1,453947,,,63/G
play,3,0,452727,,,T8/F
play,3,0,490563,,,53/G.3-H
play,3,0,472528,,,3/G
play,3,0,450285,,,43/G
play,3,1,472505,,,63/G
play,3,1,456540,,,K
play,3,1,470466,,,9/F
play,4,0,451178,,,9/F
play,4,0,451178,,,S7/G
play,4,0,449816,,,9/F
play,4,0,459431,,,4/L
play,4,1,488922,,,9/F
play,4,1,488972,,,K
play,4,1,445208,,,K
play,5,0,458945,,,8/F
play,5,0,452727,,,K
play,5,0,490563,,,9/F
play,5,1,489356,,,D7/L
play,5,1,467061,,,63/G.2-3
play,5,1,453947,,,5/P
play,5,1,472505,,,53/G
play,6,0,placeholder,,,NP
sub,459894,Jeff Teasley,1,0,1
play,6,0,472528,,,7/F
play,6,0,450285,,,W
play,6,0,451178,,,D7/L.1-H
play,6,0,451178,,,K
play,6,0,449816,,,CS3
play,6,1,456540,,,43/G
play,6,1,470466,,,63/G
play,6,1,488922,,,K
play,7,0,449816,,,7/F
play,7,0,459431,,,HR/F
play,7,0,458945,,,53/G
play,7,0,452727,,,W
play,7,0,490563,,,SB2
play,7,0,490563,,,43/G
play,7,1,488972,,,53/G
play,7,1,445208,,,S8/G
play,7,1,489356,,,1(B)13()/LDP.1X1
play,8,0,placeholder,,,NP
sub,453517,Jon Hunton,1,0,1
play,8,0,472528,,,W
play,8,0,450285,,,K
play,8,0,451178,,,53/G.1-2
play,8,0,451178,,,SB3
play,8,0,451178,,,S7/L.3-H
play,8,0,449816,,,W.1-2
play,8,0,459431,,,T9/F.1-H;2-H
play,8,0,458945,,,K
play,8,1,467061,,,53/G
play,8,1,453947,,,5/L
play,8,1,472505,,,53/G
play,9,0,placeholder,,,NP
sub,451605,Scott Koerber,1,0,1
play,9,0,452727,,,6/P
play,9,0,490563,,,W
play,9,0,472528,,,HP.1-2
play,9,0,450285,,,K
play,9,0,451178,,,8/F
play,9,1,456540,,,NP
sub,445999,Juan Colon,0,0,1
play,9,1,456540,,,43/G
play,9,1,470466,,,43/G
play,9,1,488922,,,63/G
id,BoiNWL200507050
info,visteam,EveNWL
info,hometeam,BoiNWL
info,date,2005/07/05
start,490563,Robert Hudson,0,1,6
start,488853,Reed Eastley,0,2,4
start,451178,Jeffrey Flaig,0,3,3
start,450285,Ronald Prettyman,0,4,5
start,489818,J. B. Tucker,0,5,2
start,447748,Daniel Santin,0,6,2
start,488897,Alex Gary,0,7,9
start,459431,Michael Saunders,0,8,8
start,489279,Bryan Sabatella,0,9,7
start,476206,Justin Thomas,0,0,1
start,448293,Alfred Joseph,1,1,7
start,473222,Carlos Quinones,1,2,9
start,445208,Jeff Culpepper,1,3,8
start,460100,Kyle Reynolds,1,4,6
start,489356,Brandon Taylor,1,5,5
start,461861,Mark Reed,1,6,10
start,456989,Jake Muyco,1,7,2
start,472505,Jesus Valdez,1,8,3
start,460609,Jose Rios,1,9,4
start,468408,Jesus Yepez,1,0,1
play,1,0,490563,,,13/G
play,1,0,488853,,,D9/F
play,1,0,451178,,,53/G
play,1,0,450285,,,S6/G.2XH(62)
play,1,1,448293,,,53/G
play,1,1,473222,,,S8/G
play,1,1,445208,,,64(1)3/GDP/G6
play,2,0,489818,,,S9/G
play,2,0,447748,,,4/P
play,2,0,488897,,,D7/G.1-3
play,2,0,459431,,,63/G.3-H
play,2,0,489279,,,43/G
play,2,1,460100,,,8/F
play,2,1,489356,,,43/G
