id,ChaIL200604140
info,visteam,PawIL
info,hometeam,ChaIL
info,date,2006/04/14
play,4,0,282598,,,D7/L.1-3;2-H
play,4,0,451729,,,NP
sub,430903,Agustin Montero,1,0,1
play,4,0,451729,,,K
play,4,0,407827,,,IW
play,4,0,279570,,,K
play,4,0,227495,,,S8/L.1-3;2-H;3-H
play,4,0,407483,,,SB2
play,4,0,407483,,,K
play,4,1,435220,,,8/L
play,4,1,435222,,,53/G
play,4,1,434602,,,S4/G
play,4,1,121252,,,SB2
play,4,1,121252,,,W
play,4,1,124696,,,SB3;SB2
play,4,1,124696,,,K
play,5,0,425472,,,31/G
play,5,0,456030,,,2/PF
play,5,0,400292,,,K
play,5,1,455755,,,S1/BG
play,5,1,434601,,,8/F
play,5,1,435539,,,W.1-2
play,5,1,462413,,,S9/G.1-2;2-3
play,5,1,435220,,,NP
sub,430839,Mike Bumatay,0,0,1
play,5,1,435220,,,8/SF.2-3;3-H
play,5,1,435222,,,K
play,6,0,282598,,,K
play,6,0,451729,,,K
play,6,0,407827,,,NP
sub,430566,Chad Bentz,1,0,1
play,6,0,407827,,,S8/G
play,6,0,279570,,,W.1-2
play,6,0,227495,,,K
play,6,1,434602,,,S9/L.BX2(96)
play,6,1,121252,,,53/G
play,6,1,124696,,,S7/L
play,6,1,455755,,,S5/G.1-3(E5)(E5/TH);B-2
play,6,1,434601,,,W
play,6,1,435539,,,S8/L.1-3;2-H;3-H;B-2
play,6,1,462413,,,IW
play,6,1,435220,,,W.1-2;2-3;3-H
play,6,1,435222,,,NP
sub,430607,Tim Bausher,0,0,1
play,6,1,435222,,,7/F
play,7,0,407483,,,K
play,7,0,425472,,,63/G
play,7,0,456030,,,53/G
play,7,1,434602,,,63/G
play,7,1,121252,,,43/G
play,7,1,124696,,,4/L
play,8,0,400292,,,NP
sub,425657,Javier Lopez,1,0,1
play,8,0,400292,,,13/G
play,8,0,282598,,,W
play,8,0,451729,,,FC4/G.1X2(46);B-1
play,8,0,407827,,,NP
sub,437593,Tyler Minges,0,7,11
play,8,0,437593,,,S9/G.1-2
play,8,0,279570,,,NP
sub,431158,Jeff Bailey,0,8,11
play,8,0,227495,,,NP
sub,407906,Jeff Farnsworth,1,0,1
play,8,0,431158,,,K
play,8,1,455755,,,NP
sub,437593,Tyler Minges,0,7,9
play,8,1,434601,,,NP
sub,461234,Jim Buckley,0,8,2
play,8,1,455755,,,13/G
play,8,1,434601,,,6/P
play,8,1,435539,,,S1/BG.B-2(E1/TH)
play,8,1,462413,,,SB3
play,8,1,462413,,,S8/L.3-H
play,8,1,435220,,,FC6/G.1X2(6)
play,9,0,227495,,,13/G
play,9,0,407483,,,K+WP.B-1
play,9,0,425472,,,S3/G.1-2
play,9,0,456030,,,53/G.1-2;2-3
play,9,0,400292,,,K
id,ChaIL200604180
info,visteam,TolIL
info,hometeam,ChaIL
info,date,2006/04/18
start,276523,Tike Redman,0,1,8
start,407918,Kevin Hooper,0,2,4
start,435219,Jack Hannahan,0,3,3
start,425634,Mike Hessman,0,4,5
start,430603,Don Kelly,0,5,6
start,407886,Ryan Ludwick,0,6,9
start,430605,Ryan Raburn,0,7,7
start,367893,Jackson Melian,0,8,10
start,425833,Max St-Pierre,0,9,2
start,239795,Chad Durbin,0,0,1
start,435539,Jerry Owens,1,1,8
start,462413,Angel Gonzalez,1,2,4
start,435220,Ryan Sweeney,1,3,9
start,435222,Josh Fields,1,4,5
start,434602,Casey Rogowski,1,5,3
start,123689,Jorge Velandia,1,6,6
start,279565,Darren Blakely,1,7,7
start,434601,Pedro Lopez,1,8,10
start,150303,Pascual Matos,1,9,2
start,446624,Charlie Haeger,1,0,1
play,1,0,276523,,,K
play,1,0,407918,,,K
play,1,0,435219,,,S7/L
play,1,0,425634,,,K
play,1,1,435539,,,D7/L
play,1,1,462413,,,13/G
play,1,1,435220,,,53/G.2-3
play,1,1,435222,,,WP.3-H
play,1,1,435222,,,D7/L
play,1,1,434602,,,W
play,1,1,123689,,,8/F
play,2,0,430603,,,43/G
play,2,0,407886,,,K
play,2,0,430605,,,W
play,2,0,367893,,,63/G
play,2,1,279565,,,K
play,2,1,434601,,,K
play,2,1,150303,,,53/G
play,3,0,425833,,,S8/G
play,3,0,276523,,,8/F
play,3,0,407918,,,S8/L.1-2
play,3,0,435219,,,8/L
play,3,0,425634,,,7/F
play,3,1,435539,,,3/G
play,3,1,462413,,,K
play,3,1,435220,,,2/PF
play,4,0,430603,,,K
play,4,0,407886,,,HP
play,4,0,430605,,,64(1)3/GDP/G6
play,4,1,435222,,,D7/L
play,4,1,434602,,,PO2(1?)
play,4,1,434602,,,K
play,4,1,123689,,,8/F
play,5,0,367893,,,K+PB.B-1
play,5,0,425833,,,K
